time,beta,temp
1,1.747508362,17.14
2,1.718312278,20.18
3,1.68970719,19.99
4,1.661925599,21.24
5,1.635153323,21.16
6,1.609530255,16.38
7,1.585155174,9.48
8,1.562091246,12.33
9,1.54037337,15.77
10,1.520013064,17.04
11,1.501004294,16.74
12,1.483327478,18.33
13,1.466952831,16.28
14,1.4518428,11.8
15,1.437953576,11.75
16,1.425236836,12.71
17,1.413639739,9.55
18,1.403107002,9.47
19,1.393580034,8.04
20,1.384998679,7.22
21,1.377301827,8.94
22,1.370427623,6.93
23,1.364314348,5.23
24,1.358901545,3.24
25,1.354129657,3.71
26,1.349941432,4.14
27,1.346281439,7.97
28,1.343096882,5.81
29,1.340338051,7.53
30,1.337957516,7.67
31,1.335911006,12.07
32,1.334157303,10.65
33,1.332657874,8.2
34,1.331377417,7.33
35,1.330282822,6.35
36,1.329344109,9.83
37,1.328533486,8.15
38,1.327825919,5.96
39,1.327198565,2.42
40,1.326630414,3.8
41,1.326103032,9.92
42,1.325599313,4.83
43,1.325104386,4.22
44,1.324604407,-5.15
45,1.32408765,-1.61
46,1.323543191,4.1
47,1.322961912,5.32
48,1.322335213,9.88
49,1.321656063,10.64
50,1.320917904,5.24
51,1.320115015,3.19
52,1.31924279,5.67
53,1.318296745,3.6
54,1.317273363,-1.8
55,1.316169173,-6.85
56,1.314981177,-8.32
57,1.313706964,-2.19
58,1.312343955,-1.89
59,1.31088993,-6.8
60,1.309342965,-3.42
61,1.307700604,-4
62,1.305960685,1.52
63,1.304121062,0.3
64,1.302179441,2.12
65,1.300133228,3.61
66,1.297979176,3.41
67,1.295714751,-7.47
68,1.293336123,-11.94
69,1.290839806,-13.41
70,1.288221702,-9.31
71,1.285477087,-11.36
72,1.282601029,-10.27
73,1.279588372,-10.14
74,1.276433185,-9.92
75,1.273128912,-4.66
76,1.26966925,-5.23
77,1.266046271,-9.59
78,1.262252361,-7.63
79,1.258279055,-3.37
80,1.254117161,-1.65
81,1.249757066,0.46
82,1.245188385,-3.1
83,1.240400031,-5.46
84,1.235380799,-6.04
85,1.230118215,-15.71
86,1.224600032,-19.39
87,1.21881333,-6.83
88,1.21274586,-3.32
89,1.206385285,-3.15
90,1.199720159,2.24
91,1.192740932,-6.64
92,1.185440138,-15.03
93,1.177813426,-11.27
94,1.169860408,-12.99
95,1.161585957,-16.63
96,1.153000876,-15.94
97,1.144122973,-2.99
98,1.134977117,-14.12
99,1.125596032,-23.79
100,1.11601986,-19.21
101,1.10629499,-15.43
102,1.096473008,-13.33
103,1.08660771,-2.63
104,1.076753415,-0.59
105,1.066961177,1.1
106,1.057276115,2.11
107,1.047734112,-0.56
108,1.038360372,-7.64
109,1.029168434,-0.89
110,1.020159811,-10.88
111,1.011326917,-5.63
112,1.002655298,-2.3
113,0.994128652,1.35
114,0.985731609,-13.39
