time,beta,temp
1,1.592017705,17.73
2,1.596860214,20.22
3,1.601229993,21.81
4,1.60523342,22.61
5,1.608963392,23.45
6,1.612497145,22.73
7,1.615895336,15.29
8,1.619202798,12.93
9,1.622449225,15.2
10,1.625651435,16.03
11,1.628815001,17.47
12,1.63193681,18.8
13,1.635007078,18.99
14,1.638011336,15.93
15,1.640932159,14.02
16,1.643750288,16.32
17,1.64644599,13.42
18,1.64899994,11.62
19,1.651393554,11.09
20,1.653609666,9.45
21,1.655632929,10.84
22,1.657449581,11.2
23,1.659047777,7.24
24,1.660417622,5.84
25,1.661550912,5.01
26,1.662441134,4.32
27,1.663083304,7.87
28,1.663473758,7.8
29,1.663610242,9.33
30,1.663491227,10.14
31,1.663116423,14.87
32,1.662486,16.67
33,1.661600828,11.04
34,1.660462109,8.73
35,1.659071608,6.78
36,1.657430974,9.51
37,1.655542168,11.88
38,1.653406978,12.26
39,1.651027148,5.61
40,1.648404241,5.33
41,1.64553962,10.12
42,1.642434391,8.08
43,1.639089064,7.35
44,1.635504094,0.5
45,1.631679123,-1.22
46,1.62761374,2.94
47,1.623307152,6.77
48,1.618757573,10.48
49,1.613963387,16.23
50,1.60892259,9.03
51,1.603632223,3.7
52,1.598089923,3.78
53,1.592292298,8.34
54,1.586236379,6.7
55,1.57991858,-0.35
56,1.573335409,-5.5
57,1.566483487,-2.33
58,1.559359399,-0.06
59,1.551959699,-4.29
60,1.544281472,-2.54
61,1.536321673,-1.49
62,1.528077624,2.38
63,1.51954704,4.3
64,1.510728218,5.05
65,1.501619556,7.82
66,1.492220337,11.51
67,1.482530085,3
68,1.472549222,-5.26
69,1.462278496,-8.57
70,1.451719869,-5.92
71,1.440875476,-4.52
72,1.429748795,-7.34
73,1.418343988,-6.34
74,1.406666019,-9.5
75,1.394721194,-3.6
76,1.382516492,-0.29
77,1.370060379,-5.15
78,1.35736214,-4.52
79,1.344432625,-3.25
80,1.331283537,-2.33
81,1.317928108,5.23
82,1.304380807,9.12
83,1.290657466,3.44
84,1.276775013,2.3
85,1.26275172,-4.68
86,1.24860705,-11.08
87,1.23436167,-4.05
88,1.220037233,-0.97
89,1.205656528,0.61
90,1.191242825,3.76
91,1.176820842,1.68
92,1.16241519,-8.37
93,1.148051652,-5.8
94,1.133755993,-2.66
95,1.119554411,-5.98
96,1.105473421,-11.88
97,1.091539508,-2.51
98,1.077778795,-3.37
99,1.064217535,-19.89
100,1.050881808,-19.01
101,1.037796822,-10.31
102,1.024987633,-7.4
103,1.012478471,1.5
104,1.000292886,4.23
105,0.988453339,2.05
106,0.976981591,6.93
107,0.965897522,1.53
108,0.955220396,-3.63
109,0.944967628,-1.53
110,0.935155224,-6.11
111,0.925797208,-5.61
112,0.91690607,-2.16
113,0.90849218,2.94
114,0.900563966,-6.31
115,0.893127837,-9.75
116,0.886188003,-12.88
117,0.87974667,-11.6
118,0.873804065,-1.48
119,0.868358368,-1.48
120,0.863405569,-9.05
121,0.858940428,-14.95
122,0.854955749,-10.4
123,0.851443209,-3.03
124,0.848393397,-2.56
125,0.845795767,0.09
126,0.843639639,-4.64
127,0.841913911,-9.5
128,0.840607134,-7.38
129,0.839708588,-5.59
130,0.839207422,-13.52
131,0.839093393,-16.49
132,0.839356726,-10.06
133,0.839987988,-6.53
134,0.840978097,-12.9
135,0.842318204,-16.5
136,0.843998942,-12.15
137,0.846010625,-6.57
138,0.848342511,-3.83
139,0.850982287,-8.65
140,0.853915458,-4.23
141,0.857125277,-2.61
142,0.860591563,2.85
143,0.864291213,4.71
144,0.868197669,7.69
145,0.872280912,3.36
146,0.876508366,2.69
147,0.880844918,-1.12
148,0.885254139,-4.18
149,0.889698901,-4.23
150,0.894142368,-9.17
151,0.898548641,-7.24
152,0.902883573,-6.25
153,0.907114918,0.32
154,0.911212975,-6.93
155,0.915149987,-12.29
156,0.918900539,-7.77
157,0.922440832,-3.55
158,0.925748933,-2.03
159,0.928804062,1.4
160,0.931586889,2.84
161,0.934079441,1.27
162,0.936265274,7.46
163,0.938130487,9.43
164,0.939663356,4.68
165,0.940856343,0.12
166,0.941706381,8.33
167,0.942216071,7.01
168,0.942394305,1.53
169,0.942257724,-1.61
170,0.941829622,3.87
171,0.941141275,7.9
172,0.940229936,5.23
173,0.939138196,9.01
174,0.937911543,6.94
175,0.936596708,1.09
176,0.93523834,-0.64
177,0.933877555,-0.13
178,0.932549227,-0.87
179,0.931280998,6.06
180,0.93009202,9.09
181,0.928992694,5.51
182,0.92798517,5.46
183,0.927063416,10.66
184,0.926214906,10.97
185,0.925421433,9.37
186,0.924660293,12.83
187,0.923906034,10.04
188,0.923131395,5.96
189,0.922309144,7.22
190,0.921412463,8.01
191,0.920416924,9
192,0.919300269,9.42
193,0.918044177,14.01
194,0.916633682,13.97
195,0.915058152,16.31
196,0.913310831,18.48
197,0.911388972,11.31
198,0.909293316,2.37
199,0.907027895,4.75
200,0.904599537,9.71
201,0.902017171,11.5
202,0.899291672,12.52
203,0.896434984,15.74
204,0.893460057,17.18
205,0.890380187,14.57
206,0.887208955,10.5
207,0.883959629,13.49
208,0.88064527,15.18
209,0.877278182,15.75
210,0.873870378,15.32
211,0.870432978,17.03
212,0.866976359,14.35
213,0.863510251,10.47
214,0.86004358,9.12
215,0.856584603,10.25
216,0.853141048,13.55
217,0.849719757,15.47
218,0.846327126,16.4
219,0.842968973,17.39
220,0.839650723,21.45
221,0.83637684,23.27
222,0.833151877,20.5
223,0.829979279,18.09
224,0.826862525,21
225,0.823804162,23.22
226,0.820806492,18.62
227,0.817871251,11.77
228,0.81499957,10.19
229,0.812192288,9.1
230,0.80945003,9.83
231,0.806772601,12.43
232,0.804160118,15.04
233,0.801612085,21.18
234,0.79912818,22.93
235,0.796707988,20.69
236,0.794351123,19.08
237,0.792057222,18.51
238,0.789826296,20.43
239,0.787658307,22.67
240,0.785553336,23.12
241,0.783511796,21.87
242,0.781534049,21.74
243,0.779620425,22.42
244,0.777771549,23.17
245,0.775987733,24.03
246,0.774269592,23.57
247,0.772617351,23.6
248,0.771031282,22.76
249,0.769511456,19.63
250,0.76805785,20.97
251,0.766670308,21.86
252,0.765348407,20.26
253,0.764091752,19.53
254,0.762899653,19.19
255,0.761771365,19.14
256,0.760706002,20.54
257,0.759702477,19.24
258,0.758759726,18.6
259,0.757876651,21.68
260,0.75705188,24.38
261,0.756284194,26.61
262,0.755572476,26.68
263,0.754915199,25.96
264,0.754311361,25.6
265,0.753759661,24.82
266,0.753259144,24.26
267,0.752808842,24.35
268,0.752407952,23.43
269,0.752055905,23.59
270,0.751752181,23.5
271,0.751496461,24.12
272,0.75128882,24.61
273,0.751129324,24.51
274,0.751018437,25.97
275,0.750956839,25.7
276,0.750945286,21.6
277,0.750984934,19.17
278,0.751076991,20.08
279,0.75122312,20.72
280,0.751424844,23.02
281,0.751684075,25.52
282,0.752002743,24.71
283,0.752382945,22.74
284,0.752826772,21.99
285,0.753336554,22.76
286,0.753914389,25.65
287,0.75456247,26.37
288,0.755282971,24.31
289,0.756077989,19.02
290,0.756949604,18.29
291,0.757899756,19.44
292,0.758930342,20.56
293,0.760043188,20.64
294,0.76124006,22.16
295,0.762522833,23.77
296,0.763893317,25.85
297,0.765353474,24.84
298,0.766905519,20.68
299,0.76855181,20.58
300,0.770295181,24.38
301,0.772138823,25.91
302,0.774086443,21.76
303,0.776142207,20.02
304,0.778310993,20.92
305,0.78059818,21.72
306,0.783009849,22.51
307,0.785552529,22.64
308,0.788233231,23.43
309,0.791059559,24.25
310,0.794039125,23.97
311,0.797179905,23.84
312,0.80048981,22.68
313,0.803976693,22.11
314,0.807648231,22.92
315,0.811511874,23.44
316,0.815574679,23.54
317,0.819843569,21.72
318,0.824325003,20.58
319,0.829025545,21.62
320,0.833951544,21.35
321,0.839109827,22.41
322,0.844507532,22.58
323,0.850152785,23.07
324,0.856054696,24.55
325,0.862224032,24.87
326,0.86867372,26.66
327,0.875418956,27.36
328,0.882478058,27.52
329,0.889872567,27.69
330,0.897628107,28
331,0.905774604,27.39
332,0.914346592,26.11
333,0.923383496,25.03
334,0.932929543,26.07
335,0.943033468,25.05
336,0.953748183,24.31
337,0.965128915,25.35
338,0.977231925,23.94
339,0.990110972,23.6
340,1.003813787,25.97
341,1.018376946,26.89
342,1.033820196,21.06
343,1.050140099,19.56
344,1.067304638,20.11
345,1.0852495,22.58
346,1.103877913,24.33
347,1.123063597,17.84
348,1.142659675,13.9
349,1.162509051,11.56
350,1.182457003,13.3
351,1.202363469,15.72
352,1.222111951,15.63
353,1.241615252,15.14
354,1.260817279,16.77
355,1.279691176,18.13
356,1.298235601,20.81
357,1.316468748,20.53
358,1.334422339,15.92
359,1.352133556,15.78
360,1.369637695,17.44
361,1.386959152,19.01
362,1.404102553,20.29
363,1.421043732,21.08
364,1.437722531,21.18
365,1.454038555,21.25
366,1.469853206,19.44
367,1.484997132,19.14
368,1.499284983,21.86
369,1.51253348,17.14
370,1.5245805,8.86
371,1.535300894,10.52
372,1.544617079,14.2
373,1.552501754,15.66
374,1.55897561,15.75
375,1.564099637,15.01
376,1.567965995,13.15
377,1.570687587,11.15
378,1.572388551,12.05
379,1.57319601,17.33
380,1.573234179,15.78
381,1.572618994,12.35
382,1.57145588,13.48
383,1.569836812,14.84
384,1.567840858,12.51
385,1.565533356,9.99
386,1.562967615,13.34
387,1.560185389,12.46
388,1.557219072,10.04
389,1.554092537,9.97
390,1.550822995,13.4
391,1.547422387,16.88
392,1.543898279,15.38
393,1.540255221,19.18
394,1.536494992,17.17
395,1.532617775,10.51
396,1.528622042,8.28
397,1.524505713,7.18
398,1.520265677,3.18
399,1.515897957,3.78
400,1.511398131,9.83
401,1.50676167,12.31
402,1.501983155,9.63
403,1.497056961,8.77
404,1.49197702,4.5
405,1.486737154,7.28
406,1.48133046,6.01
407,1.475749796,10.19
408,1.469988184,9.66
409,1.464037548,0.13
410,1.457890261,-2.35
411,1.451538227,-3.3
412,1.444973122,-2.66
413,1.438186559,-0.99
414,1.431170073,-4.37
415,1.423915267,-7.19
416,1.416413665,-2.2
417,1.408657074,-2.27
418,1.400637637,-2.61
419,1.392347596,6.58
420,1.383779526,10.52
421,1.374927163,6.75
422,1.365784439,0.1
423,1.356346369,-1.58
424,1.346608942,-2.02
425,1.336569223,-1.92
426,1.326225996,5.85
427,1.315579436,10.96
428,1.304631558,-0.68
429,1.293386232,-1.73
430,1.281849709,0.45
431,1.27003052,0.39
432,1.257939718,3.92
433,1.24559099,4.69
434,1.233001037,1.72
435,1.220189257,3.24
436,1.207177769,2.57
437,1.193991889,1.07
438,1.180659641,-0.11
439,1.167211283,0.56
440,1.153679989,4.56
441,1.140100403,7.81
442,1.126509363,8.23
443,1.112944874,5.82
444,1.099445852,-1.4
445,1.086051475,-2.11
446,1.072801303,-1.48
447,1.059733835,0.03
448,1.046887013,1.25
449,1.034296957,3.64
450,1.021998156,7.8
451,1.010023047,4.41
452,0.998401712,3.74
453,0.987161647,6.04
454,0.976327446,7.46
455,0.965921234,0.4
456,0.955962398,-1.28
457,0.946467855,-3.54
458,0.937452002,-7.21
459,0.928926939,-3.55
460,0.920903043,-0.74
461,0.913388702,2.83
462,0.90639084,0.71
463,0.899915343,-9.92
464,0.893966832,-7.6
465,0.888549062,-11.67
466,0.883665334,-14.62
467,0.879318373,-8.52
468,0.875510243,-10.47
469,0.872242863,-2.7
470,0.869517538,-2.3
471,0.867335211,-7.6
472,0.865696295,-8.59
473,0.864600723,-3.81
474,0.86404763,-0.39
475,0.864035178,3.59
476,0.864561021,4.51
477,0.865621074,2.5
478,0.86721041,3.31
479,0.869322425,2.64
480,0.87194899,0.76
481,0.875080185,-0.05
482,0.878704017,1.2
483,0.88280648,2.89
484,0.887370863,-1.25
485,0.8923782,0.73
486,0.897806401,-0.45
487,0.903630327,4.41
488,0.909821261,-0.15
489,0.916347086,-0.45
490,0.923171114,1.81
491,0.93025285,-6.69
492,0.937547212,-6.16
493,0.945004534,-1.74
494,0.952570541,-9.68
495,0.960186942,-5.11
496,0.967791297,2.73
497,0.975318085,7.7
498,0.982699107,1.15
499,0.989864907,-1.65
500,0.996745641,0.39
501,1.003272436,-5.88
502,1.00937884,-6.79
503,1.015002083,-3.82
504,1.020084479,-11.33
505,1.024574724,-8.7
506,1.02842882,-9.11
507,1.031611193,-9.52
508,1.034095531,-15.55
509,1.035865448,-11.76
510,1.036914582,-2.26
511,1.037247284,-4.47
512,1.036878775,-12.02
513,1.035834545,-9.5
514,1.034151305,-3.59
515,1.031875177,-5.27
516,1.029062157,-11.91
517,1.025776641,-9.81
518,1.022090007,-3.84
519,1.018079015,-4.35
520,1.013823217,0.75
521,1.009402747,-2.1
522,1.004895476,-8.91
523,1.000374008,-9.42
524,0.995903584,1.58
525,0.991539532,3.26
526,0.987326454,4.61
527,0.983296589,6.46
528,0.979470172,7.55
529,0.975856201,8.2
530,0.972452743,9.72
531,0.969248988,10.39
532,0.966226469,9.71
533,0.963361242,14.17
534,0.960625443,11.22
535,0.957989026,4.23
536,0.955421621,5.09
537,0.952893772,6.61
538,0.95037805,9.19
539,0.947849978,8.15
540,0.94528855,6.25
541,0.942676615,3.87
542,0.940001027,9.5
543,0.937252104,6.31
544,0.934423831,1.97
545,0.931513098,-0.05
546,0.928519417,3.39
547,0.925444397,9.87
548,0.922291301,12.83
549,0.919064495,12.87
550,0.915769279,16.41
551,0.912411235,11.9
552,0.90899623,6.92
553,0.905530366,10.11
554,0.90201943,11.97
555,0.89846882,14.78
556,0.894883914,16.96
557,0.891269754,19.32
558,0.887630831,13.37
559,0.883971594,10.78
560,0.880296057,13.57
561,0.876608057,16.39
562,0.872911182,13.26
563,0.86920878,13.61
564,0.865504221,15.57
565,0.861800638,17.26
566,0.858101092,17.91
567,0.854408708,16.32
568,0.850726523,12.34
569,0.847057494,10.71
570,0.84340471,9.39
571,0.839771422,8.53
572,0.836160741,9.98
573,0.832576064,11.9
574,0.829020712,10.33
575,0.825498364,10.08
576,0.822012533,11.02
577,0.818567005,12.85
578,0.815165552,12.46
579,0.811812065,11.48
580,0.808510455,15.57
581,0.8052645,18.7
582,0.802078079,20.56
583,0.798954525,20.11
584,0.79589743,20.53
585,0.792909834,21.76
586,0.789994527,21.38
587,0.787153954,19.48
588,0.784390211,19.61
589,0.781705071,19.59
590,0.779099936,14.74
591,0.77657589,13.45
592,0.774133693,15.09
593,0.771773875,19.96
594,0.769496891,20.75
595,0.767302985,22.02
596,0.765192303,21.42
597,0.7631649,14.48
598,0.761220775,11.21
599,0.759359842,10.64
600,0.757582139,15.13
601,0.755887573,18.17
602,0.754275891,20.13
603,0.752747097,21.86
604,0.751300926,21.33
605,0.74993703,21.39
606,0.748655135,21.27
607,0.747454649,22.81
608,0.74633516,20.98
609,0.745296077,14.49
610,0.74433661,14.52
611,0.743455876,16.16
612,0.742653066,18.36
613,0.741926968,20.49
614,0.741276476,21.8
615,0.740700462,20.39
616,0.740197458,23.61
617,0.739766013,23.77
618,0.739404635,23.35
619,0.739111624,25.78
620,0.738885403,25.31
621,0.738724096,25.1
622,0.738625841,24.23
623,0.738588723,24.62
624,0.738610761,24.95
625,0.738689927,23.44
626,0.738824086,22.49
627,0.739011076,23.71
628,0.739248753,21.52
629,0.739534795,22.48
630,0.739866788,25.12
631,0.74024259,25.28
632,0.7406596,25.25
633,0.741115348,23.1
634,0.741607276,24.84
635,0.742132778,22.7
636,0.742689241,20.32
637,0.743273892,20.22
638,0.743883957,21.71
639,0.744516714,22.98
640,0.745169336,21.69
641,0.745838913,20.38
642,0.746522773,21.04
643,0.747218034,21.78
644,0.747922128,23.12
645,0.748632382,24.39
646,0.749346473,22.33
647,0.750062027,18.25
648,0.750777098,20.45
649,0.751489775,21.72
650,0.752198555,23.29
651,0.752902394,25.62
652,0.753600435,27.3
653,0.754292185,27
654,0.754977654,23.5
655,0.755657266,23.63
656,0.756331877,27.26
657,0.757002858,27.95
658,0.757671963,27.19
659,0.75834135,25.44
660,0.759013956,24.18
661,0.75969294,22.78
662,0.760381888,23.45
663,0.761085071,24.2
664,0.76180697,25.62
665,0.762552825,25.77
666,0.763327983,26.16
667,0.764138547,27.38
668,0.764990725,27.66
669,0.765891259,24.91
670,0.766847242,25.13
671,0.767866048,24.75
672,0.768955388,25.71
673,0.770123054,25.84
674,0.771377244,24.7
675,0.772726151,23.46
676,0.774178115,22.67
677,0.775741453,22.68
678,0.777424747,24.24
679,0.779236485,24.38
680,0.781185069,24.96
681,0.783278953,24.19
682,0.785526633,22.6
683,0.787936682,22.96
684,0.790517439,24.41
685,0.793277567,25.13
686,0.796225526,25.51
687,0.799369958,25.37
688,0.802719393,24.53
689,0.806282499,22.62
690,0.810067914,19.71
691,0.814084145,20.76
692,0.818339608,21.71
693,0.822842441,22.5
694,0.827600783,19.93
695,0.832621965,19.03
696,0.837913047,19.5
697,0.843480414,19.73
698,0.849329515,21.06
699,0.85546474,22.89
700,0.861889422,23.34
701,0.868605337,24.33
702,0.875612676,26.06
703,0.882909867,26.47
704,0.890493453,26.83
705,0.898357993,26.93
706,0.90649601,26.92
707,0.914898,27.48
708,0.92355286,27.41
709,0.93244816,26.11
710,0.941570515,23.12
711,0.950905984,21.9
712,0.960441037,19.87
713,0.970163253,15.94
714,0.980062208,15.34
715,0.990129834,18.55
716,1.000361784,21.2
717,1.010757685,21.79
718,1.02132199,23.31
719,1.032063544,24.59
720,1.042995811,21.15
721,1.054135669,17.6
722,1.065502069,18.01
723,1.077112664,19.61
724,1.088980957,21.05
725,1.101110968,21.38
726,1.113492294,21.51
727,1.126094352,20.3
728,1.138863206,20.84
729,1.151719635,21.82
730,1.16456203,20.44
731,1.177272168,16.56
732,1.18972593,14.44
733,1.201805017,13.69
734,1.213408459,11.88
735,1.224461469,12.74
736,1.234920328,16.69
737,1.244772824,18.57
738,1.254034541,19.21
739,1.262741522,19.56
740,1.270943002,17.99
741,1.278691649,14.73
742,1.286036708,16.51
743,1.293017723,20.03
744,1.299660455,16.62
745,1.305975751,14.72
746,1.311960069,15.52
747,1.317598896,13.38
748,1.322869919,8.81
749,1.327747475,8.65
750,1.33220729,13
751,1.336229162,17.11
752,1.339799155,18.52
753,1.342910842,18.89
754,1.345564951,17.38
755,1.347768523,17.98
756,1.349534143,12.99
757,1.350877643,12.56
758,1.35181764,12.69
759,1.352373015,13.33
760,1.352563945,9.28
761,1.35240894,8.92
762,1.35192585,10.82
763,1.351131092,13.31
764,1.350039829,14.32
765,1.348665703,14.71
766,1.347021493,16.82
767,1.345118382,17.86
768,1.342967185,14.95
769,1.340577873,9.79
770,1.337960059,7.43
771,1.335123105,7.15
