time,beta,temp
1,0.632833553,17.72
2,0.637246031,19.62
3,0.642446192,21.05
4,0.648461515,21.87
5,0.655314634,22.6
6,0.663024975,22.3
7,0.671609879,18.34
8,0.681086008,12.49
9,0.691470213,13.43
10,0.702780485,14.61
11,0.715036117,15.85
12,0.728257656,16.41
13,0.742466632,17.76
14,0.757685348,17.43
15,0.773936145,14.12
16,0.791241236,15.61
17,0.809622202,15.49
18,0.829099417,10.92
19,0.849691495,11.42
20,0.87141405,9.47
21,0.894278526,9.85
22,0.918289334,11.69
23,0.943441577,7.21
24,0.969716631,5.75
25,0.997078195,4.18
26,1.025466383,3.41
27,1.054793939,5.87
28,1.084941477,7.49
29,1.115754962,8.32
30,1.147046357,8.85
31,1.178596526,13.4
32,1.210160837,16.7
33,1.241478756,12.48
34,1.272284403,9.25
35,1.302317247,6.75
36,1.331333622,8.56
37,1.359115139,11.6
38,1.385474369,12.89
39,1.410258874,6.5
40,1.43335171,4.76
41,1.454670042,8.34
42,1.474161968,7.94
43,1.49180235,5.94
44,1.507587984,1.19
45,1.521534011,-1.58
46,1.533669114,2.39
47,1.544032767,6.38
48,1.552671358,9.03
49,1.559637323,15.49
50,1.564986587,9.26
51,1.568777397,3.24
52,1.571069762,2.96
53,1.571925521,8.3
54,1.571406707,9.05
55,1.569577038,0.79
56,1.566500291,-4.94
57,1.562240854,-2.9
58,1.556864172,-0.13
59,1.550436467,-2.83
60,1.543024376,-3.31
61,1.53469415,-1.79
62,1.525512889,1.38
63,1.515547559,4.38
64,1.504864573,4.67
65,1.493529961,7.39
66,1.481609121,11.06
67,1.469166026,8.64
68,1.456263736,-2.8
69,1.442963243,-6.27
70,1.429324493,-5.42
71,1.415405467,-2.44
72,1.401261702,-6.39
73,1.386946797,-6.41
74,1.372512281,-9.65
75,1.358007073,-4.66
76,1.343477279,0.04
77,1.328966409,-4.04
78,1.31451562,-4.53
79,1.300162181,-3.3
80,1.285940737,-3.69
81,1.271882504,4.17
82,1.258015767,10.8
83,1.244364962,9.45
84,1.23095192,7.75
85,1.217794374,-0.79
86,1.204908073,-8.1
87,1.192305297,-4.66
88,1.179995745,-0.88
89,1.167986915,1.18
90,1.156284526,3.79
91,1.144892365,3.75
92,1.13381277,-3.94
93,1.123047456,-4.63
94,1.112597212,-1.59
95,1.102462739,-4.32
96,1.092644379,-13.38
97,1.083143115,-4.71
98,1.073959842,0.3
99,1.065096349,-16.81
100,1.056555063,-20.38
101,1.048338898,-10.05
102,1.040451482,-6.09
103,1.032896891,2.06
104,1.025679536,5.77
105,1.018803485,1.62
106,1.012273014,6.87
107,1.006091118,2.56
108,1.000259891,-2.52
109,0.994779386,-3.87
110,0.989647977,-4.62
111,0.984860502,-7.54
112,0.980409622,-3.7
113,0.976284102,1.62
114,0.972469538,-6.11
115,0.96894823,-14.4
116,0.965699099,-13.5
117,0.962698974,-14.87
118,0.959922336,-3.91
119,0.957342476,-5.83
120,0.954932384,-8.37
121,0.952664644,-17.24
122,0.95051261,-13.31
123,0.948450506,-6.76
124,0.946452945,-0.48
125,0.944495738,2.8
126,0.942554556,-0.36
127,0.940605089,-5.62
128,0.93862249,-6.71
129,0.936581239,-4.16
130,0.934454314,-10.51
131,0.932213485,-17.11
132,0.929830156,-11.81
133,0.927275367,-6.01
134,0.924520805,-12.2
135,0.921540827,-16.45
136,0.918313742,-13.27
137,0.914824225,-8.55
138,0.911065482,-3.17
139,0.907041401,-7.49
140,0.902768552,-4.96
141,0.898277082,-4.63
142,0.89361266,2.44
143,0.888835214,4.91
144,0.884018004,6.63
145,0.879245296,5.24
146,0.874609962,4.25
147,0.870209299,0.75
148,0.866141967,-3.67
149,0.862503849,-3.18
150,0.859384902,-7.72
151,0.856865786,-7.19
152,0.855015308,-6.79
153,0.85388802,1.25
154,0.853521295,-3.31
155,0.853934973,-9.45
156,0.855129145,-8.8
157,0.857083552,-4.72
158,0.859759837,-2.37
159,0.863101348,1.07
160,0.867037296,3.82
161,0.871485434,0.72
162,0.87635617,6.31
163,0.881554842,10.21
164,0.886986941,5.24
165,0.892558359,-3.97
166,0.898177765,6.36
167,0.903758883,7.28
168,0.909220137,0.69
169,0.914487585,-1.81
