Day,Beta_EnsMean
1,1.747508362
2,1.718312278
3,1.68970719
4,1.661925599
5,1.635153323
6,1.609530255
7,1.585155174
8,1.562091246
9,1.54037337
10,1.520013064
11,1.501004294
12,1.483327478
13,1.466952831
14,1.4518428
15,1.437953576
16,1.425236836
17,1.413639739
18,1.403107002
19,1.393580034
20,1.384998679
21,1.377301827
22,1.370427623
23,1.364314348
24,1.358901545
25,1.354129657
26,1.349941432
27,1.346281439
28,1.343096882
29,1.340338051
30,1.337957516
31,1.335911006
32,1.334157303
33,1.332657874
34,1.331377417
35,1.330282822
36,1.329344109
37,1.328533486
38,1.327825919
39,1.327198565
40,1.326630414
41,1.326103032
42,1.325599313
43,1.325104386
44,1.324604407
45,1.32408765
46,1.323543191
47,1.322961912
48,1.322335213
49,1.321656063
50,1.320917904
51,1.320115015
52,1.31924279
53,1.318296745
54,1.317273363
55,1.316169173
56,1.314981177
57,1.313706964
58,1.312343955
59,1.31088993
60,1.309342965
61,1.307700604
62,1.305960685
63,1.304121062
64,1.302179441
65,1.300133228
66,1.297979176
67,1.295714751
68,1.293336123
69,1.290839806
70,1.288221702
71,1.285477087
72,1.282601029
73,1.279588372
74,1.276433185
75,1.273128912
76,1.26966925
77,1.266046271
78,1.262252361
79,1.258279055
80,1.254117161
81,1.249757066
82,1.245188385
83,1.240400031
84,1.235380799
85,1.230118215
86,1.224600032
87,1.21881333
88,1.21274586
89,1.206385285
90,1.199720159
91,1.192740932
92,1.185440138
93,1.177813426
94,1.169860408
95,1.161585957
96,1.153000876
97,1.144122973
98,1.134977117
99,1.125596032
100,1.11601986
101,1.10629499
102,1.096473008
103,1.08660771
104,1.076753415
105,1.066961177
106,1.057276115
107,1.047734112
108,1.038360372
109,1.029168434
110,1.020159811
111,1.011326917
112,1.002655298
113,0.994128652
114,0.985731609
115,0.977454916
116,0.969297647
117,0.961267784
118,0.953382798
119,0.94566752
120,0.9381513
121,0.930865854
122,0.923841506
123,0.917105496
124,0.910679229
125,0.904578038
126,0.898810208
127,0.893376887
128,0.888272867
129,0.883487485
130,0.879005373
131,0.874807343
132,0.87087208
133,0.867177092
134,0.863699362
135,0.860416763
136,0.857309304
137,0.854359277
138,0.851552851
139,0.848880537
140,0.846337803
141,0.843925327
142,0.841649681
143,0.839522786
144,0.837561965
145,0.835788667
146,0.834226958
147,0.832902946
148,0.831842475
149,0.831069916
150,0.830605805
151,0.83046639
152,0.830661736
153,0.831195578
154,0.832064994
155,0.833259784
156,0.834764086
157,0.836555049
158,0.838605657
159,0.84088441
160,0.843356967
161,0.845986649
162,0.848736085
163,0.85156808
164,0.854446582
165,0.857337177
166,0.860208206
167,0.863030754
168,0.865779229
169,0.86843133
170,0.870967858
171,0.873373158
172,0.875634268
173,0.877740897
174,0.879685141
175,0.881461143
176,0.883064628
177,0.884493001
178,0.885744914
179,0.886819743
180,0.88771762
181,0.88843973
182,0.888987161
183,0.889361806
184,0.889565915
185,0.889601886
186,0.889472328
187,0.88918031
188,0.888729006
189,0.888122134
190,0.887363411
191,0.88645687
192,0.88540747
193,0.884219483
194,0.88289845
195,0.881449632
196,0.879879028
197,0.878192849
198,0.876397356
199,0.874499507
200,0.872506313
201,0.870424919
202,0.868262798
203,0.8660274
204,0.863726206
205,0.861366905
206,0.858956955
207,0.856503464
208,0.854013391
209,0.851493388
210,0.84894935
211,0.846386634
212,0.843809873
213,0.841222487
214,0.838627189
215,0.836025022
216,0.833416
217,0.830798514
218,0.828169703
219,0.825525135
220,0.822858773
221,0.820163421
222,0.817430623
223,0.814651571
224,0.811816938
225,0.808917947
226,0.805946842
227,0.802897483
228,0.799767315
229,0.796556756
230,0.793271229
231,0.789920986
232,0.786521509
233,0.783093683
234,0.779662386
235,0.776256256
236,0.77290567
237,0.769640982
238,0.766491294
239,0.763482071
240,0.76063484
241,0.757965349
242,0.755483761
243,0.753194354
244,0.751096115
245,0.749182649
246,0.74744352
247,0.745864876
248,0.74442976
249,0.743119389
250,0.741913334
251,0.740790293
252,0.739728831
253,0.738707297
254,0.737704858
255,0.7367016
256,0.735678531
257,0.734618269
258,0.733505286
259,0.73232574
260,0.731067747
261,0.729721487
262,0.728279471
263,0.726736099
264,0.725087747
265,0.7233328
266,0.7214716
267,0.719506137
268,0.71744024
269,0.715278976
270,0.713029146
271,0.710698493
272,0.708296396
273,0.705832906
274,0.703319304
275,0.700767644
276,0.698191069
277,0.695602782
278,0.693017386
279,0.690449208
280,0.687913187
281,0.685424305
282,0.682997897
283,0.680648834
284,0.678391807
285,0.676241323
286,0.674211264
287,0.672314785
288,0.670564979
289,0.668973401
290,0.667551264
291,0.666309021
292,0.665256254
293,0.664401658
294,0.663753379
295,0.663318802
296,0.663104359
297,0.66311644
298,0.663360391
299,0.663841724
300,0.664564997
301,0.665534828
302,0.666755699
303,0.668231834
304,0.669967428
305,0.671966743
306,0.674234226
307,0.676774289
308,0.679591551
309,0.682691082
310,0.686077975
311,0.689757988
312,0.69373716
313,0.69802196
314,0.702619504
315,0.707537461
316,0.712784387
317,0.718369588
318,0.724303842
319,0.730598353
320,0.737266779
321,0.744323798
322,0.751786321
323,0.759673901
324,0.768008381
325,0.776814796
326,0.786122069
327,0.795962177
328,0.806371905
329,0.817391396
330,0.829066068
331,0.841445491
332,0.854582772
333,0.868535258
334,0.883363426
335,0.899128869
336,0.915895358
337,0.933725089
338,0.952679053
339,0.972814083
340,0.994181581
341,1.016825624
342,1.040781274
343,1.066072233
344,1.092708938
345,1.120686844
346,1.149983346
347,1.180554077
348,1.212330401
349,1.24521336
350,1.27906923
351,1.313724115
352,1.348958597
353,1.384505332
354,1.420047432
355,1.455221623
356,1.489622861
357,1.522814274
358,1.554338694
359,1.583732754
360,1.610543296
361,1.634343609
362,1.654753715
363,1.671459258
364,1.684232935
365,1.69295536
366,1.697634652
367,1.698420361
368,1.695609182
369,1.689638928
370,1.681066051
371,1.670528695
372,1.658696875
373,1.646219179
374,1.633672968
375,1.621529102
376,1.610134348
377,1.599711135
378,1.59037219
379,1.582141235
380,1.574978665
381,1.568801761
382,1.5635048
383,1.558971226
384,1.555084035
385,1.551731914
386,1.548812106
387,1.546232194
388,1.543911293
389,1.541778624
390,1.539773419
391,1.537843987
392,1.535946444
393,1.534043759
394,1.532104865
395,1.530103609
396,1.528018147
397,1.525830328
398,1.523524389
399,1.521087289
400,1.518507734
401,1.515775785
402,1.512882888
403,1.509820744
404,1.50658223
405,1.503160015
406,1.499547705
407,1.495738044
408,1.491724864
409,1.487500995
410,1.483059809
411,1.478394553
412,1.473497793
413,1.468362436
414,1.462981299
415,1.457347021
416,1.451452181
417,1.44528918
418,1.438850537
419,1.432128742
420,1.425116256
421,1.417805195
422,1.410188213
423,1.402257666
424,1.394006178
425,1.385426
426,1.376509488
427,1.36724928
428,1.357637912
429,1.347667679
430,1.337331563
431,1.326622128
432,1.315532461
433,1.304055825
434,1.292186186
435,1.279918298
436,1.26724793
437,1.25417228
438,1.240690261
439,1.226803675
440,1.212517604
441,1.197840571
442,1.18278639
443,1.167374134
444,1.151629701
445,1.135586321
446,1.119285434
447,1.102776453
448,1.086118028
449,1.069376476
450,1.052626014
451,1.035946459
452,1.019422643
453,1.003141366
454,0.987189263
455,0.971650071
456,0.956602365
457,0.942117535
458,0.92825745
459,0.915073074
460,0.90260385
461,0.890876502
462,0.879904985
463,0.869690754
464,0.86022339
465,0.851480506
466,0.843430065
467,0.836031079
468,0.829236455
469,0.822995216
470,0.817254998
471,0.811964981
472,0.807079203
473,0.802557677
474,0.798368365
475,0.794488013
476,0.790902369
477,0.787605725
478,0.784599647
479,0.781891957
480,0.779495336
481,0.777425259
482,0.77569934
483,0.774335191
484,0.773349427
485,0.772756636
486,0.772567846
487,0.772790365
488,0.773426332
489,0.774472333
490,0.775919177
491,0.777751453
492,0.779947296
493,0.782479212
494,0.785313636
495,0.788412593
496,0.791733354
497,0.795230582
498,0.798856854
499,0.802563936
500,0.806304112
501,0.810031265
502,0.813702099
503,0.817276269
504,0.820717998
505,0.823995888
506,0.827083118
507,0.829957381
508,0.832601599
509,0.83500199
510,0.8371493
511,0.839037575
512,0.84066388
513,0.842027694
514,0.843131103
515,0.843977809
516,0.844572894
517,0.844923094
518,0.845035717
519,0.844919294
520,0.844582476
521,0.844034672
522,0.843285784
523,0.842345677
524,0.841224536
525,0.839932457
526,0.838479735
527,0.836876526
528,0.835132852
529,0.833258748
530,0.831263974
531,0.829158165
532,0.826950751
533,0.824651003
534,0.82226795
535,0.81981048
536,0.817287043
537,0.814706139
538,0.812075958
539,0.809404418
540,0.806699097
541,0.803967789
542,0.801217504
543,0.798455596
544,0.795688771
545,0.792923555
546,0.790165983
547,0.787422173
548,0.784697667
549,0.781997137
550,0.779325478
551,0.776686393
552,0.774083003
553,0.771517769
554,0.768992119
555,0.766506605
556,0.764060676
557,0.761652485
558,0.759278923
559,0.756935515
560,0.754616529
561,0.752314605
562,0.750020877
563,0.747725286
564,0.745416336
565,0.743081532
566,0.740707129
567,0.738279134
568,0.735783018
569,0.733204499
570,0.730529949
571,0.727746956
572,0.724845007
573,0.721816167
574,0.718655221
575,0.715361021
576,0.711936049
577,0.708387151
578,0.704725243
579,0.700965516
580,0.697126649
581,0.693230219
582,0.689299837
583,0.685360044
584,0.68143554
585,0.677550077
586,0.673725598
587,0.669981517
588,0.666334182
589,0.66279728
590,0.659380518
591,0.656091146
592,0.652933329
593,0.649908714
594,0.647017039
595,0.644256122
596,0.641622722
597,0.639112245
598,0.63671973
599,0.634439465
600,0.632265687
601,0.630192235
602,0.628212921
603,0.626321908
604,0.624513019
605,0.622780435
606,0.621118203
607,0.619520869
608,0.6179827
609,0.616498169
610,0.615061942
611,0.613668598
612,0.612312794
613,0.61098941
614,0.609693203
615,0.608419102
616,0.607161872
617,0.605916798
618,0.604679149
619,0.603444375
620,0.602208298
621,0.600966919
622,0.599716578
623,0.598454211
624,0.597177129
625,0.595883258
626,0.594570782
627,0.593238581
628,0.591886394
629,0.590514041
630,0.589122217
631,0.587711975
632,0.58628514
633,0.584843803
634,0.583390623
635,0.581928708
636,0.580461591
637,0.578993119
638,0.57752781
639,0.576070126
640,0.574625328
641,0.573198732
642,0.571796067
643,0.570423428
644,0.569087295
645,0.567794293
646,0.566551536
647,0.565366339
648,0.564246189
649,0.563199291
650,0.562233441
651,0.561357282
652,0.560579358
653,0.559908425
654,0.559353393
655,0.558923554
656,0.558628192
657,0.558476619
658,0.558478231
659,0.558642715
660,0.558979567
661,0.559498498
662,0.560209004
663,0.561120825
664,0.562243477
665,0.563586552
666,0.565159239
667,0.566971008
668,0.56903084
669,0.57134752
670,0.573929749
671,0.576785613
672,0.579922754
673,0.583348364
674,0.587069243
675,0.591091029
676,0.595418975
677,0.600057028
678,0.60500849
679,0.610275459
680,0.615858909
681,0.621758875
682,0.627974164
683,0.63450275
684,0.6413415
685,0.648487158
686,0.655935213
687,0.663681962
688,0.671723381
689,0.680056319
690,0.688678466
691,0.697589174
692,0.706789494
693,0.716282412
694,0.726073384
695,0.736170582
696,0.74658408
697,0.757326663
698,0.768412806
699,0.779858351
700,0.791680254
701,0.803894728
702,0.816517226
703,0.829561397
704,0.843037672
705,0.856952831
706,0.871309929
707,0.886107497
708,0.90134044
709,0.917000145
710,0.933075786
711,0.949554838
712,0.966424994
713,0.983674616
714,1.001293749
715,1.019274428
716,1.037611894
717,1.056304626
718,1.075354129
719,1.09476494
720,1.114544883
