date,MEAN,MAX,MIN,RH
2013/1/1,-13.3,-8.48,-18.57,76.19471428
2013/1/2,-10.81,-2.5,-16.03,76.27490775
2013/1/3,-5.27,-2.56,-8.05,82.24347738
2013/1/4,-6.14,-1.01,-8.97,77.41665316
2013/1/5,-4.57,1.31,-8.13,79.27209402
2013/1/6,-4.78,-0.24,-8.8,78.56292434
2013/1/7,-2.83,3.62,-8.42,72.64611424
2013/1/8,-1.19,4.92,-6.02,78.72357066
2013/1/9,1.58,5.79,-2.22,75.61291249
2013/1/10,-0.06,3.43,-3.04,78.0812456
2013/1/11,5.85,10.67,2.87,93.93028506
2013/1/12,0.93,10.05,-5.08,60.09268521
2013/1/13,-8.98,-4.59,-12.55,46.22909713
2013/1/14,-8.58,-2.96,-12.05,48.12392173
2013/1/15,-5.92,-0.19,-9.6,47.90734167
2013/1/16,-1.95,6.65,-6.07,52.86942954
2013/1/17,-2.17,3.22,-6.8,62.37338434
2013/1/18,0.87,10.14,-4.71,63.85962689
2013/1/19,4.58,10.41,0.77,61.66665781
2013/1/20,-6.59,5.5,-10.89,41.72505337
2013/1/21,-12.56,-8.18,-16.81,41.76131612
2013/1/22,-12.56,-8.22,-15.07,37.40298718
2013/1/23,-7.41,-0.79,-10.85,44.49200975
2013/1/24,-11.55,-5.23,-15.51,36.05785548
2013/1/25,-4.51,2.95,-8.26,39.95620933
2013/1/26,-5.93,1.28,-11.15,50.0132847
2013/1/27,0.11,3.35,-1.62,65.60045661
2013/1/28,4.6,8.22,1.31,96.21284488
2013/1/29,7.15,12.05,2.2,94.38316149
2013/1/30,-2.55,2.29,-7.34,80.56754519
2013/1/31,-13.11,-7.75,-16.83,62.49875606
2013/2/1,-17.25,-9.83,-21.98,54.03604473
2013/2/2,-7.44,-3.7,-11.28,68.03784281
2013/2/3,-4.93,-0.38,-8.96,69.26381882
2013/2/4,-4.28,-0.99,-7.7,72.18446952
2013/2/5,-3.37,5.2,-9.83,72.20061064
2013/2/6,-0.71,7.45,-6.87,75.42732843
2013/2/7,2.77,5.32,0.81,82.65146562
2013/2/8,-1.98,2.46,-5.81,73.03902635
2013/2/9,-0.88,5.74,-4.47,74.03715587
2013/2/10,2.76,8.65,-0.43,82.65014626
2013/2/11,0.46,5.27,-2.16,61.60255064
2013/2/12,-1.74,5.52,-6.16,59.52835894
2013/2/13,0.05,8.29,-4.92,63.6103647
2013/2/14,2.77,6.01,0.3,65.62983554
2013/2/15,-3.78,1.89,-7.94,53.70095016
2013/2/16,-5.81,-0.12,-9.61,50.75689955
2013/2/17,-2.59,6.11,-7.4,50.77617891
2013/2/18,2.5,7.71,-1.64,69.75299648
2013/2/19,-8.58,-1.9,-13.19,46.91253288
2013/2/20,-10.49,-3.28,-15.3,41.05613736
2013/2/21,-5.81,-2.35,-8.45,48.42093616
2013/2/22,-4.91,-2.92,-6.71,82.80563908
2013/2/23,-6.81,-3.68,-9.82,82.87187091
2013/2/24,-6.66,0,-12.03,83.34986052
2013/2/25,-3.12,2.51,-7.33,83.87279172
2013/2/26,-0.97,1.05,-2.37,84.83696976
2013/2/27,-1.41,0.17,-2.74,87.6914722
2013/2/28,-1.94,-0.08,-3.72,84.9771248
2013/3/1,-3.8,-1.5,-6.11,83.27372766
2013/3/2,-6.34,-2.69,-10.82,78.92511641
2013/3/3,-6.86,-0.63,-12.26,79.71927929
2013/3/4,-1.88,1.51,-3.86,82.70695765
2013/3/5,-2.03,0.23,-4.39,82.43690174
2013/3/6,-4.98,-1.09,-9.04,77.85861255
2013/3/7,-6.03,1.04,-11.19,80.98621768
2013/3/8,-1.13,5.31,-4.99,82.93156588
2013/3/9,4.11,7.08,2.24,86.59220522
2013/3/10,3.88,7.82,0.95,92.70738587
2013/3/11,-1.79,1.03,-3.84,84.61171435
2013/3/12,-3.52,1,-7.72,70.99953003
2013/3/13,-4.96,0.06,-9.39,67.36292501
2013/3/14,-0.15,9.08,-6.3,68.92211732
2013/3/15,3.33,11.05,-2.73,80.12798314
2013/3/16,1.08,8.03,-2.13,78.44148192
2013/3/17,-2.33,3.93,-7.16,63.41481523
2013/3/18,0.16,3.57,-2.49,69.67296052
2013/3/19,-4.28,2.43,-8.91,48.09866014
2013/3/20,-6.37,0.39,-11.38,48.69106375
2013/3/21,-6.46,0.17,-11.36,49.56202994
2013/3/22,-3.84,2.15,-8.46,58.40246842
2013/3/23,-0.81,4.34,-5.35,63.3493659
2013/3/24,-1.17,2.33,-3.45,74.20743141
2013/3/25,-1.99,0.34,-4.06,77.17110608
2013/3/26,-1.89,2.34,-5.64,71.12017518
2013/3/27,-0.37,6.44,-5.68,65.58743122
2013/3/28,2.51,11.25,-3.93,64.15995355
2013/3/29,6.21,14.77,-1.16,64.00274356
2013/3/30,8.68,14.67,4.76,69.73157897
2013/3/31,7.31,13.2,2.49,67.97097493
2013/4/1,0.75,7.8,-4.79,47.0797
2013/4/2,0.29,6.95,-5.56,48.02729051
2013/4/3,2.12,9.13,-3.73,50.49702944
2013/4/4,5.67,14.45,-0.9,56.47907903
2013/4/5,6.86,14.33,-0.11,58.31871528
2013/4/6,12.27,18.03,8.72,55.14368471
2013/4/7,10.55,17.99,3.26,68.95183027
2013/4/8,14.38,21.3,9.27,73.25583375
2013/4/9,12.91,20.35,8.5,83.47031602
2013/4/10,5.61,9.89,3.04,93.45961196
2013/4/11,3.16,5.27,1.54,87.18142637
2013/4/12,2.02,4.44,0.1,72.40019829
2013/4/13,2.59,9.4,-2.26,62.70309
2013/4/14,9.7,19.82,4.38,68.96679627
2013/4/15,8.82,15.91,4.18,61.94965481
2013/4/16,5.59,10.08,0.75,60.16627948
2013/4/17,6.65,9.91,4.75,73.71275897
2013/4/18,6.31,10.07,3.05,91.62531201
2013/4/19,2.31,5.72,-0.35,62.0697599
2013/4/20,1.84,8.28,-4.14,56.63056677
2013/4/21,8.18,16.9,3.24,53.91328908
2013/4/22,11.02,16.76,6.61,68.09630588
2013/4/23,4.41,11.84,0.41,75.12405424
2013/4/24,3.45,11.27,-2.44,55.62124103
2013/4/25,6.71,14.4,-0.05,54.62442802
2013/4/26,12.18,18.32,7.88,55.94338879
2013/4/27,12.09,17.04,6.38,74.39256456
2013/4/28,13.54,21.79,7.01,72.90399092
2013/4/29,16.59,24.11,10.67,72.06665668
2013/4/30,21.14,26.06,17.42,58.70053206
2013/5/1,15.12,23.15,9.26,67.34688953
2013/5/2,5.41,11.58,2.52,79.17919175
2013/5/3,2.16,4.44,0.33,82.32966467
2013/5/4,6.25,11.85,2.31,90.53968671
2013/5/5,11.14,17.45,6.86,81.46251378
2013/5/6,14.17,20.41,8.55,71.75198441
2013/5/7,16.11,22.46,8.73,64.54255324
2013/5/8,16.86,22.3,11.03,67.71555197
2013/5/9,16.08,19.74,13.26,84.61700563
2013/5/10,13.35,17.92,9.36,74.91869195
2013/5/11,11.71,16.84,8.24,55.14974381
2013/5/12,8.25,14.09,2.2,43.32144997
2013/5/13,11.9,21.53,3.86,55.43578936
2013/5/14,20.88,30.73,14.34,59.25560155
2013/5/15,22.11,28.28,16.21,50.47764936
2013/5/16,20.05,26.1,13.78,63.19116806
2013/5/17,20.28,25.28,15.41,73.07596381
2013/5/18,20.93,26.33,15.66,73.19243753
2013/5/19,22.56,27.16,19.14,77.2243802
2013/5/20,21.21,25.53,17.99,75.0358506
2013/5/21,18.08,23.11,15.42,70.8444763
2013/5/22,14.58,18.22,12.26,75.3328618
2013/5/23,13.85,18.64,11.07,69.86844221
2013/5/24,13.6,19.37,7.47,60.99881591
2013/5/25,14,19.28,11.45,71.67098284
2013/5/26,14.23,19.12,11.22,83.07714811
2013/5/27,17.63,22.18,14.98,89.31198045
2013/5/28,19.34,24.71,16.37,87.37974472
2013/5/29,20.56,25.93,16.98,84.947283
2013/5/30,21.49,24.28,19.53,78.97845236
2013/5/31,20.01,24.16,17.1,78.1115513
2013/6/1,18.22,22.93,15.32,73.32150214
2013/6/2,14.33,18.36,11.45,66.22538415
2013/6/3,14.7,20.33,9.05,65.99232701
2013/6/4,16.04,20.9,12.59,73.31356814
2013/6/5,17.25,21.03,14.21,80.10337824
2013/6/6,16.33,19.89,12.35,74.78592919
2013/6/7,15.43,19.14,11.65,73.20259942
2013/6/8,16.79,21.45,12.38,71.2510591
2013/6/9,18.26,21.78,15.92,78.35003254
2013/6/10,18.34,24.09,13.64,80.61852603
2013/6/11,22.13,29.39,16.54,75.42754428
2013/6/12,25.06,29.74,20.98,73.91631866
2013/6/13,21.26,26.46,16.49,68.40277623
2013/6/14,20.84,26.15,16.18,70.14460876
2013/6/15,23.12,27.71,19.63,75.16575982
2013/6/16,22.42,27.46,17.56,73.45679299
2013/6/17,22.94,28.27,16.53,65.03904511
2013/6/18,21.07,26.23,16.14,71.04962933
2013/6/19,20.81,26.43,15.53,71.82478161
2013/6/20,23.38,29.21,18.43,68.52592326
2013/6/21,25.44,29.87,21.88,72.4889758
2013/6/22,26.63,30.6,22.37,71.59504811
2013/6/23,25.23,29,22.09,72.94639717
2013/6/24,23.83,28.52,20.14,80.94853666
2013/6/25,25.18,29.57,21.67,75.45848912
2013/6/26,24.84,29.55,21.1,79.16441552
2013/6/27,25.1,29.94,19.76,73.42179171
2013/6/28,23.48,27.5,20.01,65.03227963
2013/6/29,20.63,24.02,18.29,71.10284549
2013/6/30,19.31,23.74,15.38,66.63889605
2013/7/1,19.95,25.13,14.35,60.56656287
2013/7/2,20.3,25.21,14.04,63.28963016
2013/7/3,19.99,24.98,14.11,67.87809354
2013/7/4,21.55,27.3,15.81,64.23443417
2013/7/5,23.03,28.54,17.79,59.93062266
2013/7/6,24.53,30,19.6,58.54365462
2013/7/7,25.79,30.92,21.33,62.13046212
2013/7/8,26.6,30.73,22.76,68.86645042
2013/7/9,27.32,31.87,23.8,70.84982596
2013/7/10,25.14,30.95,21.56,67.38771928
2013/7/11,22.23,27.49,16.43,62.30470993
2013/7/12,23.15,28.66,17.65,58.50754144
2013/7/13,23.75,28.05,19.43,57.34722294
2013/7/14,24.02,28.98,19.17,61.40951629
2013/7/15,24.91,29.74,19.63,66.58467701
2013/7/16,26.57,30.61,22.32,70.36219555
2013/7/17,27.37,32.09,22.15,64.69562903
2013/7/18,27.91,32.62,23.13,63.03750385
2013/7/19,28.71,32.72,25.34,54.4421394
2013/7/20,25.49,30.68,19.34,56.79248758
2013/7/21,24.57,29.48,19.82,65.26833158
2013/7/22,24.9,31.74,19.67,73.38683897
2013/7/23,23.34,29.2,19.05,66.1698542
2013/7/24,20.67,25.01,15.38,61.7002921
2013/7/25,22,27.98,16.76,62.8174187
2013/7/26,21.87,25.61,19.09,69.63000233
2013/7/27,17.44,22.05,14.05,57.54346514
2013/7/28,16.65,22.01,11.72,55.8772119
2013/7/29,17.94,23.56,12.66,64.48061492
2013/7/30,19.89,24.05,17.23,76.95314392
2013/7/31,21.72,26.27,17.53,77.48384335
2013/8/1,22.37,28.08,16.45,67.28361304
2013/8/2,23.28,27.5,19.87,67.51488393
2013/8/3,21.1,25.43,16.23,63.26562566
2013/8/4,20.6,25.93,14.96,58.79912893
2013/8/5,22.25,26.89,18.69,71.04676557
2013/8/6,23.9,30.04,18.67,77.91228158
2013/8/7,23.55,27.9,20.05,76.61011708
2013/8/8,21.62,26.13,17,66.95484619
2013/8/9,22.11,26.46,17.41,67.31559327
2013/8/10,21.25,26.08,15.39,61.43470188
2013/8/11,22.57,27.78,18.07,63.92539846
2013/8/12,22.79,26.99,18.81,71.28373567
2013/8/13,20.25,25.11,15.11,60.83799685
2013/8/14,18.47,23.1,12.8,56.69035769
2013/8/15,18.5,22.5,14.98,62.95959546
2013/8/16,18.93,23.95,13.74,62.85075034
2013/8/17,20.23,25.59,14.22,59.56577322
2013/8/18,20.57,26.56,13.77,59.84471082
2013/8/19,22.6,28.51,17.22,62.22947122
2013/8/20,24.99,30.66,20.62,62.69601139
2013/8/21,26.68,32.12,21.96,59.84729242
2013/8/22,25.04,30.35,21.82,72.64201786
2013/8/23,24.01,29.13,19.62,76.63497908
2013/8/24,25.35,30.59,21.04,67.26254045
2013/8/25,27.34,32.77,22.83,60.37876012
2013/8/26,28.06,33.68,23.07,58.40198156
2013/8/27,29.16,34.54,24.67,57.08963838
2013/8/28,28.51,33.55,23.42,58.43755017
2013/8/29,27.81,32.97,22.53,65.03041734
2013/8/30,28.67,34.69,23.53,61.36619542
2013/8/31,26.58,31.98,21.55,67.59781408
2013/9/1,24.86,30.28,20.9,67.71096848
2013/9/2,20.65,25.45,16.19,60.65444083
