Day,beta
1,1.592017705
2,1.596860214
3,1.601229993
4,1.60523342
5,1.608963392
6,1.612497145
7,1.615895336
8,1.619202798
9,1.622449225
10,1.625651435
11,1.628815001
12,1.63193681
13,1.635007078
14,1.638011336
15,1.640932159
16,1.643750288
17,1.64644599
18,1.64899994
19,1.651393554
20,1.653609666
21,1.655632929
22,1.657449581
23,1.659047777
24,1.660417622
25,1.661550912
26,1.662441134
27,1.663083304
28,1.663473758
29,1.663610242
30,1.663491227
31,1.663116423
32,1.662486
33,1.661600828
34,1.660462109
35,1.659071608
36,1.657430974
37,1.655542168
38,1.653406978
39,1.651027148
40,1.648404241
41,1.64553962
42,1.642434391
43,1.639089064
44,1.635504094
45,1.631679123
46,1.62761374
47,1.623307152
48,1.618757573
49,1.613963387
50,1.60892259
51,1.603632223
52,1.598089923
53,1.592292298
54,1.586236379
55,1.57991858
56,1.573335409
57,1.566483487
58,1.559359399
59,1.551959699
60,1.544281472
61,1.536321673
62,1.528077624
63,1.51954704
64,1.510728218
65,1.501619556
66,1.492220337
67,1.482530085
68,1.472549222
69,1.462278496
70,1.451719869
71,1.440875476
72,1.429748795
73,1.418343988
74,1.406666019
75,1.394721194
76,1.382516492
77,1.370060379
78,1.35736214
79,1.344432625
80,1.331283537
81,1.317928108
82,1.304380807
83,1.290657466
84,1.276775013
85,1.26275172
86,1.24860705
87,1.23436167
88,1.220037233
89,1.205656528
90,1.191242825
91,1.176820842
92,1.16241519
93,1.148051652
94,1.133755993
95,1.119554411
96,1.105473421
97,1.091539508
98,1.077778795
99,1.064217535
100,1.050881808
101,1.037796822
102,1.024987633
103,1.012478471
104,1.000292886
105,0.988453339
106,0.976981591
107,0.965897522
108,0.955220396
109,0.944967628
110,0.935155224
111,0.925797208
112,0.91690607
113,0.90849218
114,0.900563966
115,0.893127837
116,0.886188003
117,0.87974667
118,0.873804065
119,0.868358368
120,0.863405569
121,0.858940428
122,0.854955749
123,0.851443209
124,0.848393397
125,0.845795767
126,0.843639639
127,0.841913911
128,0.840607134
129,0.839708588
130,0.839207422
131,0.839093393
132,0.839356726
133,0.839987988
134,0.840978097
135,0.842318204
136,0.843998942
137,0.846010625
138,0.848342511
139,0.850982287
