date,MEAN,MAX,MIN,RH
2013/1/1,-3.62,-1.12,-6.4,77.18729766
2013/1/2,-7,-1,-11.57,61.22060469
2013/1/3,-4.04,1.12,-7.96,70.33687859
2013/1/4,-2.99,2.5,-6.77,72.83924519
2013/1/5,-1.81,4.03,-5.96,75.45680072
2013/1/6,-0.13,2.38,-2.81,77.25426749
2013/1/7,-2.21,4.55,-7.1,67.57140887
2013/1/8,0.76,7.5,-3.01,71.66401526
2013/1/9,5.49,10.59,2.22,77.34335787
2013/1/10,4.24,9.34,0.89,81.54413371
2013/1/11,11.44,14.3,7.59,90.00337374
2013/1/12,10.73,14.46,6.45,78.23841238
2013/1/13,0.15,7.2,-4.15,72.02789065
2013/1/14,-5.59,-2.28,-8.15,49.50087732
2013/1/15,-4.79,-0.15,-7.85,54.32461929
2013/1/16,-2.23,3.77,-5.62,55.05983955
2013/1/17,0.07,3.77,-2.65,60.3309281
2013/1/18,-0.22,7.55,-4.51,58.82756195
2013/1/19,5.48,11.9,2.29,62.62281716
2013/1/20,0.29,8.56,-4.75,47.68730389
2013/1/21,-6.32,-2.8,-8.74,41.28515645
2013/1/22,-9.52,-6.14,-12.2,33.59586422
2013/1/23,-5.24,2.08,-8.74,42.83619827
2013/1/24,-5.47,-1.29,-9.2,43.55690278
2013/1/25,-2.44,2.88,-4.74,45.20955834
2013/1/26,-2.53,1.79,-6.04,55.45729774
2013/1/27,-0.78,3.48,-3.03,64.44054176
2013/1/28,9.6,13.4,3.82,95.13264457
2013/1/29,14.13,16.51,11.05,93.33196413
2013/1/30,7.84,15,-0.08,85.83188058
2013/1/31,-4.02,0.05,-6.97,51.37918829
2013/2/1,-10.67,-4.85,-14.5,41.14096241
2013/2/2,-3.32,1.5,-7.18,51.6294917
2013/2/3,-3.16,-0.09,-5.81,64.15906376
2013/2/4,-0.46,6.14,-4.65,64.86573494
2013/2/5,0.26,7.92,-4.99,74.75607672
2013/2/6,1.72,7.5,-3.09,74.24832415
2013/2/7,4.6,10.68,1.13,74.56149571
2013/2/8,2.13,7.37,-1.33,80.83279095
2013/2/9,-0.38,5.46,-4.16,70.08812031
2013/2/10,4.82,10.34,1.38,81.50745828
2013/2/11,5.81,10.89,1.93,58.90608755
2013/2/12,1.46,5.83,-2.83,62.61196066
2013/2/13,2.02,8.37,-2.02,70.85544036
2013/2/14,4.41,9.8,0.84,67.43204588
2013/2/15,1.72,6.42,-1.21,59.7955625
2013/2/16,-3.1,0.48,-6.17,44.52716962
2013/2/17,-2.9,4.24,-7.19,48.13126554
2013/2/18,4.62,12.37,-0.14,66.34932282
2013/2/19,-0.72,8.32,-5.12,56.14163282
2013/2/20,-5.73,-1.33,-9.37,42.1090642
2013/2/21,-4.06,0.01,-6.64,53.79286425
2013/2/22,-0.14,2.38,-2.36,83.74425297
2013/2/23,-2.4,1.39,-5.16,74.2010918
2013/2/24,-1.64,4.94,-6.68,72.4931154
2013/2/25,0.52,7.81,-4.31,69.96094815
2013/2/26,3.28,5.65,1.63,78.44792992
2013/2/27,1.29,3.14,-0.1,81.36836575
2013/2/28,0.69,2.57,-0.69,79.78956475
2013/3/1,-0.5,1.61,-2.27,79.66680407
2013/3/2,-3.16,-0.3,-6.26,71.35162016
2013/3/3,-4.18,2,-9.14,63.00021287
2013/3/4,-0.01,6.46,-4.03,64.37979499
2013/3/5,2.47,4.97,0.02,79.06808247
2013/3/6,-1.04,1.8,-3.33,72.61259636
2013/3/7,-1.03,3.99,-4.49,75.59813044
2013/3/8,0.61,7.42,-4.28,73.48691965
2013/3/9,5.31,11.88,1.85,66.11842827
2013/3/10,10.82,14.18,8.79,72.14279757
2013/3/11,5.62,10.67,2.48,80.63609143
2013/3/12,1.88,7.03,-2.23,59.33895501
2013/3/13,0.03,4.66,-3.45,52.48974032
2013/3/14,0.53,7.49,-4.18,59.43751847
2013/3/15,5.55,15.37,-0.69,76.3617091
2013/3/16,8.52,12.82,5.09,72.86868836
2013/3/17,2.27,6.92,-0.65,71.7010973
2013/3/18,3.4,7.51,1.04,82.25685422
2013/3/19,1.11,6.37,-3.84,47.41202831
2013/3/20,-0.95,3.95,-4.78,47.46055561
2013/3/21,-2.87,2.17,-6.8,43.94856566
2013/3/22,-0.46,5,-4.39,54.74053028
2013/3/23,3.34,9.4,-0.32,59.3625372
2013/3/24,2.13,6.92,-0.1,77.86144868
2013/3/25,-0.15,2.23,-1.98,77.19291263
2013/3/26,0.12,3.56,-2.98,73.33732907
2013/3/27,1.38,6.55,-2.77,66.49745957
2013/3/28,3.36,10.73,-2.36,62.05264899
2013/3/29,6.72,13.17,1.64,67.25831705
2013/3/30,7.43,13.75,1.45,74.38274122
2013/3/31,10.11,15.59,6.38,74.81085591
2013/4/1,6.02,12.66,1.67,50.51938639
2013/4/2,2.62,7.72,-2.39,45.90203144
2013/4/3,3.21,9.21,-2.38,50.42836705
2013/4/4,5.83,12.96,0.17,52.62576268
2013/4/5,8.06,14.96,2.07,60.70320916
2013/4/6,11.42,20,5.86,54.52581215
2013/4/7,14.82,20.19,9.66,64.16197349
2013/4/8,15.92,21.59,12.19,73.38916467
2013/4/9,17.19,23.09,13.13,76.27087947
2013/4/10,16.45,20.91,13.71,83.07655059
2013/4/11,11.95,17.39,8.03,86.03231931
2013/4/12,6.44,10,3.1,60.60399293
2013/4/13,6.85,12.9,2.31,56.79633734
2013/4/14,12.43,22.26,6.58,61.39306443
2013/4/15,15.76,21.18,11.62,70.15648731
2013/4/16,12.66,17.67,9.05,77.79698552
2013/4/17,13.74,20.69,9.82,81.21177784
2013/4/18,18.55,22.06,13.02,84.99895261
2013/4/19,6.32,13.24,3.3,58.5203627
2013/4/20,5.66,11.05,0.36,50.90996747
2013/4/21,7.91,15,2.77,50.83709494
2013/4/22,11.99,19.75,5.64,54.95173622
2013/4/23,12.87,18.19,8.39,73.02731382
2013/4/24,6.8,13.44,2.97,71.86924416
2013/4/25,8.15,14.15,3.3,54.10248059
2013/4/26,10.44,16.78,5.95,60.47455362
2013/4/27,11.16,15.22,7.21,78.46608963
2013/4/28,12.85,16.74,10.4,84.92694623
2013/4/29,15.25,22.82,9.38,74.59824522
2013/4/30,19.67,26.83,14.24,66.36816233
2013/5/1,20.58,25.91,14.67,64.8140353
2013/5/2,17.74,23.63,12.9,73.42700844
2013/5/3,11.06,16.31,7.94,88.29293783
2013/5/4,10.93,15.91,7.83,84.13758918
2013/5/5,11.85,16.54,8.18,82.11172653
2013/5/6,14.51,19.93,10.74,74.46851389
2013/5/7,16.71,22.52,10.93,67.32407009
2013/5/8,17.97,24.48,11.21,66.08828915
2013/5/9,18.15,23.11,14.1,77.17482428
2013/5/10,16.28,20.1,13.43,84.69448732
2013/5/11,13.65,18.01,9.24,67.16844912
2013/5/12,10.36,14.77,5.52,43.79459407
2013/5/13,11.46,18.85,4.42,53.53540776
2013/5/14,18.46,28.73,12.26,58.61994608
2013/5/15,23.44,27.99,19.16,54.37519037
2013/5/16,21.34,25.93,16.72,65.65656594
2013/5/17,20.02,24.47,15.9,75.9461194
2013/5/18,20.44,25.47,15.91,77.23646077
2013/5/19,22.8,28.74,18.42,75.9657204
2013/5/20,24.38,27.96,21.08,72.16280647
2013/5/21,22.24,26.21,19.06,78.88888247
2013/5/22,19.98,23.96,17.04,75.84231036
2013/5/23,16.49,20.35,13.55,71.71448723
2013/5/24,12.93,18.29,7.61,60.24564687
2013/5/25,13.64,19.01,9.25,63.89045657
2013/5/26,15.86,22.03,11.62,72.65050108
2013/5/27,19.63,25.2,15.94,77.55566836
2013/5/28,22.37,27.27,18.94,73.63379866
2013/5/29,23.55,28.22,19.47,67.39964141
2013/5/30,24.29,27.69,21.79,66.79057027
2013/5/31,22.59,26.05,19.89,82.05133955
2013/6/1,21.74,25.01,19.9,85.02097745
2013/6/2,18.19,21.79,15.26,74.95819958
2013/6/3,16.02,19.74,12.56,68.54026791
2013/6/4,17.18,23.26,11.43,66.26812254
2013/6/5,19.81,25,14.85,68.41664064
2013/6/6,19.77,23.64,16.25,74.40809721
2013/6/7,18.45,22.16,14.6,71.56751192
2013/6/8,18.79,23.94,13.26,67.7172299
2013/6/9,20.76,25.3,17.23,70.30964368
2013/6/10,20.35,24.77,17.15,81.25036011
2013/6/11,22.52,30.06,16.07,74.50065736
2013/6/12,26.55,31.9,22.06,73.40317054
2013/6/13,24.23,29.06,20.95,68.91230623
2013/6/14,20.94,25.96,15.54,65.18861954
2013/6/15,22.36,28.27,18.03,69.7705413
2013/6/16,23.75,27.74,20.38,76.45119901
2013/6/17,23.76,28.96,18.81,74.52447921
2013/6/18,22.23,27.85,17.86,78.14871806
2013/6/19,21.66,26.89,16.62,71.16143324
2013/6/20,23.73,29.46,18.36,66.80009021
2013/6/21,25.08,30.17,20.58,68.95127377
2013/6/22,26.19,30.58,22.26,71.20647352
2013/6/23,25.52,29.94,21.21,72.50331958
2013/6/24,25.2,30.37,21.14,74.21497895
2013/6/25,26.45,30.96,22.8,71.34236446
2013/6/26,26.19,30.37,22.87,74.10961377
2013/6/27,26.78,32.48,22.23,71.5786077
2013/6/28,25.59,29.44,21.68,60.7293785
2013/6/29,22.24,26.03,19.65,67.68777173
2013/6/30,20.21,24.06,17.51,75.68616281
2013/7/1,20.27,24.22,17.01,68.37751834
2013/7/2,19.29,22.81,16.58,74.95129962
2013/7/3,19.75,24.72,15.6,73.83207601
2013/7/4,21.72,26.75,16.48,68.67178066
2013/7/5,22.72,27.6,17.79,71.0904955
2013/7/6,23.32,27.84,19.1,72.37749819
2013/7/7,24.42,30.37,19.71,72.98400218
2013/7/8,26.28,30.7,22.38,67.53678884
2013/7/9,27.43,32.11,23.51,68.86027786
2013/7/10,27.63,32.02,24.52,67.89343887
2013/7/11,24.05,28.05,19.45,63.16159483
2013/7/12,22.6,28.01,16.7,56.02882745
2013/7/13,23.04,28.14,17.34,59.93301818
2013/7/14,24.59,30.07,19.63,66.26698315
2013/7/15,26.41,30.74,22.29,71.42279386
2013/7/16,27.31,31.86,22.83,68.79444879
2013/7/17,27.98,32.53,22.72,63.3653081
2013/7/18,28.45,33.04,23.24,64.8481739
2013/7/19,28.69,33.19,24.43,61.40862047
2013/7/20,27.75,32.15,23.61,61.23085668
2013/7/21,25.36,29.58,21.26,73.73987379
2013/7/22,24.8,30.05,20.83,77.90274305
2013/7/23,25.79,30.61,22.05,72.32823235
2013/7/24,21.93,26.32,17.81,62.63925223
2013/7/25,21.17,26.42,15.67,58.4391392
2013/7/26,21.8,26.14,18.06,66.60666811
2013/7/27,20.03,23.91,17.1,71.172092
2013/7/28,18.5,23.29,13.78,56.242808
2013/7/29,19.84,25.21,14.43,63.14310757
2013/7/30,20.52,24.26,18.17,75.64066614
2013/7/31,21.92,26.1,19.38,84.19696714
2013/8/1,23.07,27.51,18.62,69.77650802
2013/8/2,23.25,28.15,18.83,67.38036134
2013/8/3,23.29,27.08,19.79,73.51717726
2013/8/4,22.06,26.03,17.38,64.22363989
2013/8/5,21.14,25.3,17.39,69.53055308
2013/8/6,23.16,28.45,19.45,79.41616865
2013/8/7,24.77,28.75,21.86,82.726047
2013/8/8,23.85,27.52,20.56,80.25432392
2013/8/9,23.21,27.27,19.35,76.07953863
2013/8/10,23.29,26.96,19.6,71.10808341
2013/8/11,23.18,28.18,18.16,66.38870709
2013/8/12,23.77,27.98,20.32,74.06238725
2013/8/13,22.04,25.94,18.72,71.45988133
2013/8/14,18.64,22.85,13.69,58.93959725
2013/8/15,18.59,23.25,13.75,59.9983122
2013/8/16,19.61,24.65,14.7,61.85704409
2013/8/17,20.73,25.85,15.82,62.68899014
2013/8/18,21.64,26.97,16.19,64.79595119
2013/8/19,22.94,28.03,17.34,66.88929218
2013/8/20,24.2,29.2,19.36,65.85105583
2013/8/21,25.23,30.87,20.03,64.02790453
2013/8/22,25.39,30.48,21.25,67.18679795
2013/8/23,24.78,29.61,20.33,71.65361501
2013/8/24,24.77,30.62,19.27,61.85750906
2013/8/25,25.53,31.25,20.04,57.01993274
2013/8/26,26.49,31.87,21.62,63.30983678
2013/8/27,27.75,32.95,23.54,63.47116207
2013/8/28,28.08,33.18,23.52,59.21231783
2013/8/29,27.51,32.57,22.78,67.16405285
2013/8/30,28.44,34.83,22.87,62.42052329
2013/8/31,28.23,34.4,23.8,64.28521025
2013/9/1,26.8,32.27,22.14,69.11837043
2013/9/2,24.61,28.69,20.96,66.68936954
2013/9/3,22.09,26.32,18.05,59.31793347
2013/9/4,22.09,28.7,15.84,59.39509396
2013/9/5,23.54,29.43,17.6,59.05734977
2013/9/6,24.14,30.51,18.4,57.07587433
