Day,Beta
1,0.632833553
2,0.637246031
3,0.642446192
4,0.648461515
5,0.655314634
6,0.663024975
7,0.671609879
8,0.681086008
9,0.691470213
10,0.702780485
11,0.715036117
12,0.728257656
13,0.742466632
14,0.757685348
15,0.773936145
16,0.791241236
17,0.809622202
18,0.829099417
19,0.849691495
20,0.87141405
21,0.894278526
22,0.918289334
23,0.943441577
24,0.969716631
25,0.997078195
26,1.025466383
27,1.054793939
28,1.084941477
29,1.115754962
30,1.147046357
31,1.178596526
32,1.210160837
33,1.241478756
34,1.272284403
35,1.302317247
36,1.331333622
37,1.359115139
38,1.385474369
39,1.410258874
40,1.43335171
41,1.454670042
42,1.474161968
43,1.49180235
44,1.507587984
45,1.521534011
46,1.533669114
47,1.544032767
48,1.552671358
49,1.559637323
50,1.564986587
51,1.568777397
52,1.571069762
53,1.571925521
54,1.571406707
55,1.569577038
56,1.566500291
57,1.562240854
58,1.556864172
59,1.550436467
60,1.543024376
61,1.53469415
62,1.525512889
63,1.515547559
64,1.504864573
65,1.493529961
66,1.481609121
67,1.469166026
68,1.456263736
69,1.442963243
70,1.429324493
71,1.415405467
72,1.401261702
73,1.386946797
74,1.372512281
75,1.358007073
76,1.343477279
77,1.328966409
78,1.31451562
79,1.300162181
80,1.285940737
81,1.271882504
82,1.258015767
83,1.244364962
84,1.23095192
85,1.217794374
86,1.204908073
87,1.192305297
88,1.179995745
89,1.167986915
90,1.156284526
91,1.144892365
92,1.13381277
93,1.123047456
94,1.112597212
95,1.102462739
96,1.092644379
97,1.083143115
98,1.073959842
99,1.065096349
100,1.056555063
101,1.048338898
102,1.040451482
103,1.032896891
104,1.025679536
105,1.018803485
106,1.012273014
107,1.006091118
108,1.000259891
109,0.994779386
110,0.989647977
111,0.984860502
112,0.980409622
113,0.976284102
114,0.972469538
115,0.96894823
116,0.965699099
117,0.962698974
118,0.959922336
119,0.957342476
120,0.954932384
121,0.952664644
122,0.95051261
123,0.948450506
124,0.946452945
125,0.944495738
126,0.942554556
127,0.940605089
128,0.93862249
129,0.936581239
130,0.934454314
131,0.932213485
132,0.929830156
133,0.927275367
134,0.924520805
135,0.921540827
136,0.918313742
137,0.914824225
138,0.911065482
139,0.907041401
140,0.902768552
141,0.898277082
142,0.89361266
143,0.888835214
144,0.884018004
145,0.879245296
146,0.874609962
147,0.870209299
148,0.866141967
149,0.862503849
150,0.859384902
151,0.856865786
152,0.855015308
153,0.85388802
154,0.853521295
155,0.853934973
156,0.855129145
157,0.857083552
158,0.859759837
159,0.863101348
160,0.867037296
161,0.871485434
162,0.87635617
163,0.881554842
164,0.886986941
165,0.892558359
166,0.898177765
167,0.903758883
168,0.909220137
169,0.914487585
170,0.919494756
171,0.92418424
172,0.928509325
173,0.932433821
174,0.935932718
175,0.938992724
176,0.94161021
177,0.943791054
178,0.945548862
179,0.946903825
180,0.947880059
181,0.948504962
182,0.948807925
183,0.948817998
184,0.948563434
185,0.948071942
186,0.947368316
187,0.946475931
188,0.945414804
189,0.944202937
190,0.942855693
191,0.941386357
192,0.939805888
193,0.938123532
194,0.936346985
195,0.934482686
196,0.93253611
197,0.930511497
198,0.928413205
199,0.926244713
