date,MEAN,MAX,MIN,RH
2013/1/1,-1.29,0.2,-3.37,86.79037313
2013/1/2,-7.35,-3.14,-12.13,72.64990584
2013/1/3,-6.4,0.25,-11.02,71.120574
2013/1/4,-3.08,0.43,-6.01,77.10193249
2013/1/5,-2.61,3.32,-7.32,79.39883718
2013/1/6,-0.01,1.78,-2.38,81.66859552
2013/1/7,-2.57,2.42,-6.82,74.91396487
2013/1/8,-0.48,6.16,-4.19,78.36482115
2013/1/9,5.16,10.08,1.44,82.13863701
2013/1/10,3.16,7.69,-0.84,81.21647955
2013/1/11,11.96,14.97,7.25,88.25424279
2013/1/12,13.14,17.39,10.64,86.38524314
2013/1/13,7.71,14.85,1,92.79795791
2013/1/14,-3.83,0.3,-6.96,56.56575349
2013/1/15,-3.8,0.76,-6.72,59.40011816
2013/1/16,-1.43,2.87,-3.88,62.51201158
2013/1/17,0.2,4.43,-2.38,61.53628668
2013/1/18,-1.47,4.84,-5.08,57.22160604
2013/1/19,4.54,11.01,1.31,57.44771626
2013/1/20,1.48,8.55,-4.04,48.38622016
2013/1/21,-5.69,-2.53,-8.18,42.6917863
2013/1/22,-10.77,-7.63,-13.84,32.18011106
2013/1/23,-7.43,-1.27,-10.44,38.07678739
2013/1/24,-5.68,-3.06,-9.16,42.87447487
2013/1/25,-4.28,-0.22,-6.02,42.7159301
2013/1/26,-3.31,0.55,-6.31,60.5310044
2013/1/27,-2.27,2.95,-5.08,60.5655788
2013/1/28,7.36,11.72,1.27,94.4576313
2013/1/29,12.84,15.97,10.12,94.6917041
2013/1/30,12.43,17.1,4.58,89.00523086
2013/1/31,-2.48,2.6,-4.97,51.91994209
2013/2/1,-9.92,-3.8,-14.17,43.2662101
2013/2/2,-4.8,0.74,-8.86,53.27283205
2013/2/3,-3.99,-1.41,-6.33,66.112058
2013/2/4,-2.61,4.3,-6.44,63.693238
2013/2/5,-0.32,5.46,-4.37,79.99344822
2013/2/6,0.25,4.32,-3.22,75.2045167
2013/2/7,3.41,13.16,-1.15,70.25489466
2013/2/8,2.9,8.18,-0.73,80.41482648
2013/2/9,-0.35,5.37,-4.38,64.59415078
2013/2/10,3.83,10.42,-0.17,65.92449126
2013/2/11,7.26,10.52,3.85,66.60750114
2013/2/12,2.02,6.75,-2.64,59.60167838
2013/2/13,1.07,6.52,-2.41,71.1375863
2013/2/14,3.55,10.18,-0.23,72.59317469
2013/2/15,1.66,6.15,-1.19,69.73075407
2013/2/16,-3.29,-0.47,-5.63,51.14114908
2013/2/17,-4.81,0.78,-8.38,43.65847093
2013/2/18,2.39,12.79,-3.45,53.25085637
2013/2/19,1.26,9.2,-3.65,62.80025826
2013/2/20,-5.75,-1.94,-9.31,43.97997824
2013/2/21,-3.82,2.15,-7.4,49.39330197
2013/2/22,1.11,5.27,-2.28,82.79582903
2013/2/23,-0.56,3.25,-3.74,74.99984819
2013/2/24,-0.61,4.8,-4.25,67.88131218
2013/2/25,0.78,7.94,-3.75,64.66853743
2013/2/26,3.27,6.55,1.12,76.5805065
2013/2/27,2.62,5.15,1.05,85.37803408
2013/2/28,1,3.36,-0.43,80.60876341
2013/3/1,0.29,2.49,-1.45,78.54803352
2013/3/2,-1.58,0.72,-3.82,66.57455533
2013/3/3,-2.67,1.56,-6.12,57.75292295
2013/3/4,-1.22,5.36,-5.81,56.09009176
2013/3/5,2.31,4.58,0.4,75.91033643
2013/3/6,-0.89,1.23,-2.6,82.40554193
2013/3/7,-0.2,2.49,-1.8,81.5810265
2013/3/8,-0.03,5.84,-4.63,73.41898865
2013/3/9,3.17,11.2,-1.91,66.36134843
2013/3/10,11.62,18.42,7.96,57.03311039
2013/3/11,9.79,14.99,4.94,80.88789043
2013/3/12,2.93,7.25,-0.25,58.14704445
2013/3/13,-0.26,4.55,-3.03,55.96355941
2013/3/14,-0.57,5.5,-4.94,54.58094575
2013/3/15,3.6,12.69,-1.88,73.89015256
2013/3/16,8.93,12.34,6.04,76.66186304
2013/3/17,2.08,7.08,-0.71,70.70972917
2013/3/18,3.53,7.65,0.3,86.84328162
2013/3/19,1.78,6,-3.33,50.47517554
2013/3/20,-0.2,3.51,-3.09,45.64972229
2013/3/21,-3.36,1.05,-6.87,42.30649861
2013/3/22,-0.93,5.54,-5.5,52.33373748
2013/3/23,2.61,9.3,-1.53,57.36114977
2013/3/24,1.77,5.78,-0.26,73.05395197
2013/3/25,-0.13,1.99,-1.99,82.93941255
2013/3/26,-0.19,3.39,-3.4,77.36018074
2013/3/27,0.2,5.1,-4.35,68.63321344
2013/3/28,1.47,8.65,-4.82,62.3300328
2013/3/29,4.51,11.86,-1.15,63.97251533
2013/3/30,6.81,14.13,-0.69,65.0334725
2013/3/31,9.43,14.94,5.82,71.77388284
2013/4/1,6.07,12.23,1.94,53.88401947
2013/4/2,1.88,7.23,-3.47,47.01713303
2013/4/3,2.44,8.52,-3.38,48.8246955
2013/4/4,4.87,12.14,-0.15,49.99578764
2013/4/5,7.25,14.14,1.2,61.02928886
2013/4/6,9.45,19.16,3.15,55.13253816
2013/4/7,15.8,20.23,12.46,57.3595051
2013/4/8,15.19,21.43,10.82,74.43880459
2013/4/9,17.75,25.02,12.3,72.61583905
2013/4/10,19.54,24.53,16.01,76.50374945
2013/4/11,15.92,20.24,12.49,88.13961616
2013/4/12,8.27,13.16,4.19,66.02721341
2013/4/13,7.03,11.76,3.24,56.47030771
2013/4/14,11.26,21.53,4.5,59.70257907
2013/4/15,15.51,20.04,11.31,67.24877112
2013/4/16,15.6,20.55,11.61,80.50292876
2013/4/17,15.2,22.17,11.53,83.9648676
2013/4/18,20.53,24.83,17.48,78.93867065
2013/4/19,9.74,21.08,4.02,63.91787054
2013/4/20,5.53,9.88,1.1,49.77398594
2013/4/21,6.01,13.04,0.34,49.9888592
2013/4/22,10.43,19.25,3.2,55.19890651
2013/4/23,13.89,19,9.52,67.91042344
2013/4/24,9.06,15.88,3.85,77.86729526
2013/4/25,7.34,13.3,1.92,56.18192616
2013/4/26,8.87,16.31,2.12,56.91997101
2013/4/27,11.43,16.67,6.15,70.19542722
2013/4/28,13.53,16.84,11.67,88.45094709
2013/4/29,14.7,19.51,11.09,78.479393
2013/4/30,17.18,25.51,10.77,71.04402821
2013/5/1,19.86,26.38,12.95,66.75603451
2013/5/2,19.31,23.67,14.73,69.2558138
2013/5/3,18.06,22.83,14.25,73.29271033
2013/5/4,16.19,20.07,13.12,65.47843798
2013/5/5,13.1,16.05,10.88,81.28807528
2013/5/6,14.52,19.18,11.62,77.10445468
2013/5/7,16.25,21.61,11.31,74.08336018
2013/5/8,17.76,23.77,11.63,70.59663596
2013/5/9,18.54,24.96,12.67,70.70184949
2013/5/10,17.75,21.07,15.02,83.88010285
2013/5/11,13.05,17.77,9.28,73.20963493
2013/5/12,9.81,14.11,5.19,47.90439357
2013/5/13,10.04,16.42,3.56,49.75239999
2013/5/14,15.85,26.72,8.84,56.24393977
2013/5/15,23.25,28.37,19.65,57.78064687
2013/5/16,21.45,25.68,16.87,66.53249293
2013/5/17,20.14,25.53,15.03,75.82005847
2013/5/18,20,24.96,15.98,77.71201983
2013/5/19,21.43,27.25,16.49,79.01955418
2013/5/20,23.49,28.41,19.59,76.12457834
2013/5/21,23.33,27.28,20.23,76.81458595
2013/5/22,21.13,24.48,18.83,80.4859631
2013/5/23,17.13,21.02,13.87,76.16127601
2013/5/24,12.29,17.23,8.42,61.74525825
2013/5/25,12.81,18.41,7.07,62.99631496
2013/5/26,15.18,20.62,11,64.24426875
2013/5/27,18.23,25.17,13.49,70.41065372
2013/5/28,22.64,27.74,18.47,67.64069597
2013/5/29,23.98,28.53,19.66,60.38871025
2013/5/30,24.39,29.14,20.77,63.03792824
2013/5/31,23.06,26.03,20.63,76.4847572
2013/6/1,22.4,25.16,20.59,82.48848643
2013/6/2,19.48,22.48,16.12,79.69723737
2013/6/3,15.57,19.83,11.47,68.17184018
2013/6/4,17,23.12,11.05,63.88260268
2013/6/5,19.55,25.44,14.47,61.76146875
2013/6/6,19.97,23.95,16.8,73.02016632
2013/6/7,19.08,23.04,15.18,73.8093406
2013/6/8,19.07,24.36,13.74,69.20762441
2013/6/9,21.51,26.65,17.5,69.15929355
2013/6/10,20.65,24.13,18.39,84.74361505
2013/6/11,21.79,28.26,16.56,74.94320369
2013/6/12,25.86,31.59,21.45,74.69318356
