Day,Beta,temp
1,1.385259628,17.83
2,1.376729965,21.33
3,1.367957592,22.94
4,1.358974457,22.17
5,1.349812388,20.33
6,1.340502858,12.89
7,1.331076264,9.17
8,1.321562767,14.61
9,1.311990976,17.5
10,1.302389264,17.17
11,1.292783976,17.83
12,1.283200741,19.11
13,1.273663521,14.56
14,1.264195204,12.17
15,1.25481689,14.39
16,1.245547891,11.44
17,1.236406803,8.83
18,1.227409601,9.94
19,1.218571424,7
20,1.209905624,8.56
21,1.201423883,10.33
22,1.193136454,6.44
23,1.185052156,5.17
24,1.177178383,3.44
25,1.169521213,3.39
26,1.162085652,6.67
27,1.154874921,8.11
28,1.147891641,7.67
29,1.1411376,7.78
30,1.134613276,10.06
31,1.12831831,13.78
32,1.122252226,8.28
33,1.116413116,9.11
34,1.110799193,8.56
35,1.105408072,8.72
36,1.100236773,11
37,1.095282435,10.44
38,1.09054184,4.06
39,1.086011767,2.89
40,1.081688762,7.67
41,1.077569723,9.78
42,1.073651314,5.44
43,1.069930673,0.56
44,1.066405177,-5.89
45,1.063071609,2.11
46,1.05992806,6.56
47,1.056972146,7
48,1.054202437,13.56
49,1.051616669,10.06
50,1.049214363,4.61
51,1.046994209,7
52,1.044955254,5.28
53,1.043097615,0.61
54,1.041420698,-5.06
55,1.039924622,-9.22
56,1.038609862,-7.78
57,1.03747654,-0.28
58,1.036525369,-3.11
59,1.035756826,-5.94
60,1.035171866,-2.78
61,1.034770966,-1.44
62,1.034555078,4.28
63,1.034524679,2.28
64,1.034680724,5.28
65,1.035023093,4.28
66,1.035552502,0.39
67,1.036268711,-9.78
68,1.037171721,-13.28
69,1.038260698,-13.94
70,1.039534926,-8.28
71,1.040993094,-14.72
72,1.042633176,-7.44
73,1.044453144,-10.56
74,1.046450138,-7.5
75,1.048620701,-3.44
76,1.050960779,-6.06
77,1.053465724,-8.39
78,1.056130052,-6.44
79,1.058947802,-1.22
80,1.061911941,2.61
81,1.065014839,0.78
82,1.068247795,-3.72
83,1.071601868,-4.83
84,1.075065851,-6.44
85,1.078629613,-16.39
86,1.082280517,-13.28
87,1.086005449,-3.44
88,1.089790821,-1.67
89,1.093621731,1.28
90,1.097482443,4.56
91,1.101356506,-12.06
92,1.105226517,-11.78
93,1.109074235,-11.61
94,1.112880707,-12.89
95,1.11662662,-15.39
96,1.120291233,-9.06
97,1.123854041,-5.39
98,1.127293587,-16.94
99,1.130587935,-21.89
100,1.13371563,-14
101,1.1366539,-11.67
102,1.139380455,-9.22
103,1.141873002,-0.61
104,1.144109368,-1.11
105,1.146067381,4.39
106,1.14772594,2.72
107,1.149063349,-1.06
108,1.150059104,-5.33
109,1.150694132,-4.94
110,1.15094924,-10.89
111,1.150806665,-2.17
112,1.150250196,2.22
113,1.149264693,-2.83
114,1.147836685,-14.5
115,1.145953774,-11.17
116,1.143606901,-17.22
117,1.140787125,-1.83
118,1.1374892,-2.33
119,1.133709073,0.11
120,1.129445195,-16.44
121,1.124699593,-14.06
122,1.119475603,-5.11
123,1.113780022,-1.56
124,1.107622504,-10
125,1.10101521,-8.06
126,1.09397316,-12.39
127,1.086515188,-8.22
128,1.078661561,-7.39
129,1.070436597,-15.11
130,1.061866283,-17.33
131,1.052980065,-13.67
132,1.043808937,-8.61
133,1.034386396,-14.22
134,1.024747968,-18.17
135,1.01493001,-14.39
136,1.004970551,-7.17
137,0.99490881,-1.22
138,0.984783292,-8.94
139,0.974633694,-7.56
140,0.964499116,-4.33
141,0.954416931,-1
142,0.944424808,6.39
143,0.934558034,4.44
144,0.924850702,1.5
145,0.915334582,-1.67
146,0.906039059,-2.28
147,0.896991134,-5.83
148,0.888215065,-6.89
149,0.879732668,-12.89
150,0.871563077,-11.11
151,0.863721967,-14.61
152,0.856222928,-5.22
153,0.84907645,-14.56
154,0.842290938,-18.94
155,0.835871816,-13.67
156,0.829822838,-5.28
157,0.82414484,-4.33
158,0.818837464,-1.67
159,0.813898027,2.28
160,0.809323132,-2.17
161,0.80510664,5.44
162,0.801242888,11.94
163,0.797724009,5.67
164,0.794541597,0.78
165,0.791686773,7.61
166,0.78914994,8.83
167,0.786921382,3.28
168,0.784990788,-2.28
169,0.783348262,1.5
170,0.781982899,5.94
171,0.780884743,2.39
172,0.780043423,6.28
173,0.779449165,6.22
174,0.779091954,-2.61
175,0.778962255,-3.17
176,0.779050589,-1.28
177,0.779348314,-2.78
178,0.779846549,4.78
179,0.780537069,8
180,0.781411767,2.28
181,0.782462955,4.78
182,0.783683062,13.06
183,0.785065055,13.06
184,0.78660202,2.22
185,0.78828752,6.11
186,0.79011488,6.06
187,0.792077899,2.11
188,0.794170678,6.11
189,0.796386957,10.72
190,0.798721254,11.67
191,0.801167786,9.06
192,0.803720951,13.78
193,0.806375146,15.5
194,0.809125125,16.06
195,0.811965287,21.44
196,0.814890206,8.5
197,0.817894638,1.11
198,0.820973396,2.61
199,0.824120879,10.5
200,0.827332079,6.11
201,0.830601871,10.56
202,0.833924651,17.83
203,0.837296009,21.67
204,0.840710223,18.56
205,0.844162881,13.78
206,0.847648799,10.28
207,0.851163268,11.44
208,0.8547014,16.78
209,0.858259082,18.22
210,0.861831367,13.83
211,0.865414083,15.56
212,0.869003236,7.5
213,0.872594595,5.56
214,0.876184344,7.39
215,0.87976867,13.06
216,0.883344054,15.06
217,0.886906922,13.67
218,0.890454054,15.28
219,0.89398247,17.94
220,0.897489011,24.44
221,0.900970936,21.61
222,0.904425502,14.17
223,0.907850266,18.78
224,0.911242783,18.17
225,0.914600849,16.72
226,0.917922318,11.44
227,0.921204865,11.5
228,0.92444706,7.56
229,0.927646637,8.5
230,0.930802464,12.33
231,0.933912635,16
232,0.936975241,19.94
233,0.939989388,23.56
234,0.942953348,19.89
235,0.945866108,17.94
236,0.948726177,20.61
237,0.951532125,20.89
238,0.954283357,20.28
239,0.956978202,21.78
240,0.959615886,22.22
241,0.962195456,21.83
242,0.9647156,24.22
243,0.967175543,25.72
244,0.969573796,25.39
245,0.97191,24.72
246,0.974183083,23.06
247,0.976391971,22
248,0.978535533,21.5
249,0.980613351,19.56
250,0.98262465,23.5
251,0.984568059,19.61
252,0.986443043,17.72
253,0.988248765,19.56
254,0.989984512,20.11
255,0.991649508,22.5
256,0.993243277,20.83
257,0.994765162,19.28
