Day,Beta,temp
1,1.134140134,15.39
2,1.134556293,20.83
3,1.13475728,21.94
4,1.134752393,22.5
5,1.134551764,24.39
6,1.134166002,21.39
7,1.133606195,10.11
8,1.132883906,11.78
9,1.132010937,15.67
10,1.130999207,14.39
11,1.12986064,16.94
12,1.128607512,19.78
13,1.127251387,18.28
14,1.125803947,11.61
15,1.124276876,12.61
16,1.122680783,16.17
17,1.121026516,9.56
18,1.119324327,10.83
19,1.11758399,8.94
20,1.115814447,7.78
21,1.11402452,12.94
22,1.112222314,7.67
23,1.110415459,4.61
24,1.10861063,3.94
25,1.106814384,2.56
26,1.105032682,4.17
27,1.10327065,8.67
28,1.101533055,5.11
29,1.099824429,8.28
30,1.098148108,10.56
31,1.096507668,16
32,1.094906092,14.28
33,1.093345523,8.33
34,1.091828227,6.94
35,1.090356112,3.28
36,1.08893013,10.94
37,1.087551832,12.17
38,1.086221695,8.83
39,1.084940434,3.5
40,1.083708525,5.28
41,1.08252573,10.78
42,1.081392407,5.06
43,1.080307961,4.44
44,1.07927227,-3.89
45,1.078284383,-0.94
46,1.07734406,5.39
47,1.076450109,7.28
48,1.075601816,12.78
49,1.074797869,15.94
50,1.074037194,5.39
51,1.073318481,1.89
52,1.072640181,3.44
53,1.072000742,8.56
54,1.071398616,2.78
55,1.070831656,-4.28
56,1.070298076,-7.11
57,1.069795728,-1
58,1.069322467,-2.17
59,1.06887567,-6.89
60,1.068452835,-1.78
61,1.068051457,-1.89
62,1.067668438,4.61
63,1.067300916,3.5
64,1.066945672,4.61
65,1.06659925,8.17
66,1.066258311,9.67
67,1.065919042,-3.67
68,1.065577745,-7.72
69,1.065230608,-9.67
70,1.064873099,-4.5
71,1.064501405,-6.5
72,1.064110994,-7.5
73,1.063697219,-7.56
74,1.063256025,-7.06
75,1.062782288,-0.61
76,1.062271357,-0.56
77,1.061718822,-6.56
78,1.061119556,-6
79,1.060469031,-3.67
80,1.059762239,-1.78
81,1.05899477,6.22
82,1.058161974,8.17
83,1.057259083,-0.33
84,1.05628252,-1.17
85,1.055227637,-8.83
86,1.054090738,-10.89
87,1.052868485,-2.39
88,1.051557541,-0.11
89,1.050155282,2.89
90,1.048659563,6
91,1.047068357,-4.06
92,1.045380354,-11.06
93,1.043595314,-4.22
94,1.041712999,-4.72
95,1.039734125,-9.78
96,1.03766048,-11.94
97,1.03549397,-0.78
98,1.033237934,-9.5
99,1.030896306,-22.06
100,1.028473616,-15.94
101,1.025975704,-10.39
102,1.023408771,-4.78
103,1.020780206,2.61
104,1.018098116,2.94
105,1.015371084,3.61
106,1.012608647,4.83
107,1.0098207,0.72
108,1.00701797,-5.33
109,1.004211187,-0.78
110,1.001411676,-9.67
111,0.998631001,-3.11
112,0.995880604,-0.22
113,0.99317193,2.39
114,0.990516305,-10.28
115,0.987924695,-9.22
116,0.985408008,-16.17
117,0.98297596,-7.22
118,0.980638325,-1.33
119,0.978403687,2
120,0.976280093,-14.28
121,0.974274397,-14.61
122,0.972392917,-6.56
123,0.970640719,-0.28
124,0.969022036,-4.78
125,0.967539907,-1
126,0.966196299,-8.78
127,0.964992523,-12.39
128,0.96392858,-6.72
129,0.963003576,-7.44
130,0.962215662,-17.33
131,0.961562395,-15.28
132,0.961040258,-7.61
133,0.96064502,-7.17
134,0.960371971,-16.33
135,0.960215449,-15.94
136,0.960169733,-10.67
137,0.960228205,-4.17
138,0.960384011,-7.28
139,0.960630059,-10.22
140,0.960958779,-4.39
141,0.961362541,-1.11
142,0.961833477,4.17
143,0.96236372,3.33
144,0.962945104,8.06
145,0.963569522,3.67
146,0.964228988,2.72
147,0.964915514,-2.83
148,0.965621233,-3.94
149,0.966338217,-6.33
150,0.967058897,-9.78
151,0.967775762,-8.89
152,0.968481362,-2.56
153,0.969168901,-2.22
154,0.969831288,-10.89
155,0.970462263,-12.28
156,0.971055388,-3.89
157,0.971604705,-2.61
158,0.972104907,-0.61
159,0.97255069,5.33
160,0.972937286,2.39
161,0.973260403,3.67
162,0.973516464,10.11
163,0.973701954,8.44
164,0.973813951,1
165,0.973850489,3.33
166,0.973809898,10.06
167,0.973690987,7.06
168,0.973493457,-1.44
169,0.973217428,-0.5
170,0.972863793,7.78
171,0.972433984,5.83
172,0.971930146,7.28
173,0.971354842,11.83
174,0.970711529,3.67
175,0.970004082,-0.94
176,0.969236612,-0.28
177,0.968414366,-1.44
178,0.967542589,1.5
179,0.966627061,9.72
180,0.965673804,5.78
181,0.964689136,5.17
182,0.963679731,7.78
183,0.962652326,13.89
184,0.961613536,8.61
185,0.960570216,9.22
186,0.959529102,11.94
187,0.958496809,7.39
188,0.957479596,7.06
189,0.956483543,8.33
190,0.955514431,9.94
191,0.954577684,11.78
192,0.95367831,11.89
193,0.952820897,16.33
194,0.952009439,14.94
195,0.951247633,20.17
196,0.950538278,18.89
197,0.949884057,5.28
198,0.949287057,2.94
199,0.948748589,8
200,0.948269606,11.67
201,0.947850585,13.44
202,0.947491527,15
203,0.947191894,19.89
204,0.946950734,17.67
205,0.946766734,14.22
206,0.946638227,11.72
207,0.946563065,16.61
208,0.946538806,16.22
209,0.946562886,19.33
210,0.946632266,19.33
211,0.946743965,17.5
212,0.946894407,13.17
213,0.947080255,8.94
214,0.947297931,9.28
215,0.947543502,11.61
216,0.947813392,16.78
217,0.948103428,16.06
218,0.948410034,17.22
219,0.948729038,20.44
220,0.949056923,25.5
221,0.949389338,24.11
222,0.949722886,21.06
223,0.950053513,19.94
224,0.950377822,24.06
225,0.950691998,24.22
226,0.950992703,15.06
227,0.951276541,10.11
228,0.951540232,10.28
229,0.951780796,7.72
230,0.951995134,10.33
231,0.952180684,13.89
232,0.952334523,18.56
233,0.952454329,24.83
234,0.952537775,26.5
235,0.952582598,20.5
236,0.952586949,20.44
237,0.95254904,20.78
238,0.952467203,21.83
239,0.952340186,24.72
240,0.952166677,24.89
241,0.951945543,24.11
242,0.951676011,23.56
243,0.951357484,24
244,0.950989246,25.56
245,0.950571537,26.78
246,0.950103641,25.33
247,0.949585974,26.67
248,0.949018717,20.56
249,0.948402286,19.17
250,0.947737336,22.39
251,0.947024584,21.11
252,0.946264982,20.44
253,0.945459604,20.22
254,0.944609761,19.72
255,0.943716764,18.67
256,0.942782283,19.28
257,0.941807926,18.5
258,0.94079566,20
259,0.939747274,24.44
260,0.938665152,26.5
261,0.937551439,28.11
262,0.93640852,28.33
263,0.935239077,26.28
264,0.934045851,25.11
265,0.932831645,21.39
266,0.931599557,23.5
267,0.930352747,24.72
268,0.929094613,24.33
269,0.927828729,24.72
270,0.926558852,25.72
271,0.925288916,25.06
272,0.924023032,25.89
273,0.922765672,26.06
274,0.921521425,26.67
275,0.920294821,24
276,0.919091344,18.44
277,0.917916059,18.94
278,0.91677469,20.61
279,0.915673018,21.94
280,0.91461736,25.39
281,0.913613796,26.89
282,0.91266948,22.94
283,0.911791027,21.83
284,0.910986006,21.44
285,0.91026181,24.06
286,0.909626484,28.56
287,0.909088016,25.06
288,0.908654809,21.83
289,0.908335567,16.94
290,0.90813911,18.17
291,0.908074439,19.33
292,0.908150852,20.78
293,0.908377588,21.11
294,0.908764243,20.22
295,0.909320056,24.39
296,0.910054445,26.67
297,0.910976887,24.44
298,0.91209656,19.94
299,0.913422287,19
300,0.914962828,25.39
301,0.916726232,24.5
302,0.918720484,19.5
303,0.920952439,19.33
304,0.923428595,21.11
305,0.926154494,21.83
306,0.929134965,20.11
307,0.932373464,20.44
308,0.935872674,21.72
309,0.939633548,24.67
310,0.943656027,24.61
311,0.947938681,20.72
312,0.95247823,21.22
313,0.957269907,20.89
314,0.962307274,21.94
315,0.967582345,23.44
316,0.973085165,23.22
317,0.978804231,18.72
318,0.984725952,23.11
319,0.990835667,22
320,0.997116446,20.61
321,1.003550291,21.44
322,1.010117531,22.28
323,1.016797304,21.28
324,1.023567438,24.67
325,1.030404806,22.22
326,1.037285686,27.67
327,1.044185519,27.33
328,1.051079154,28.67
329,1.057941437,25.17
330,1.064747214,21.89
331,1.071471453,27.72
332,1.078089476,25.61
333,1.084577322,24.56
334,1.090911508,25.33
335,1.097069979,26.17
336,1.103031397,25.28
337,1.108776093,24.83
338,1.114285707,22.94
339,1.119543076,23.06
340,1.124533415,27.17
341,1.129243135,24
342,1.133660793,18.17
343,1.137776494,18.06
344,1.141582489,20.28
345,1.145072937,19.78
346,1.148243785,23.17
347,1.151092768,13.67
348,1.153619528,11.39
349,1.155825496,9.78
350,1.157713652,13.06
351,1.159288645,14.39
352,1.160556197,13.72
353,1.161523819,12.67
354,1.162200212,15.94
355,1.162594914,18
356,1.162718296,23
357,1.162582159,18.5
358,1.162198305,14.67
359,1.161579728,15.89
360,1.160739303,17.61
361,1.159690499,20.11
362,1.158447027,20.5
363,1.157022476,20.72
364,1.155430794,20.22
365,1.15368557,20.5
366,1.151800156,16.89
367,1.149788141,19.72
368,1.147662163,19.56
369,1.145434856,13.33
370,1.14311862,7.33
371,1.140724897,11.17
372,1.138265133,14.72
373,1.135750294,16.61
374,1.133190274,13.89
375,1.130595088,13.5
376,1.127973795,11.94
377,1.125335097,10.06
378,1.12268734,12.17
379,1.120037794,17.78
380,1.11739397,14.89
381,1.114762425,11.78
382,1.112149119,13.83
383,1.109560013,14.5
384,1.107000113,11.44
385,1.104474545,11.44
386,1.101987481,14.61
387,1.099543214,10.22
388,1.097145319,8.28
389,1.094797373,11.5
390,1.092502236,13.78
391,1.090263128,17.83
392,1.088082075,15.89
393,1.085961938,22
394,1.083904624,15.06
395,1.08191216,7.56
396,1.079986215,6.78
397,1.078128457,5.39
