number,,,TEMP,,,HUM,,,TEMP
,,,Max,Avg,Min,,,,AVG
,,30,28,21.4,12,95,80.9,69,
,,31,34,30.9,26,100,86.8,69,
,2013.1,1,32,26.7,16,100,88.5,75,
,,2,21,14.5,6,87,71.8,48,
,,3,30,22.1,11,82,74.2,59,
,,4,29,23.8,19,88,77,66,
,,5,38,29,19,96,84.9,57,
,,6,36,30.7,25,86,80.4,74,
,,7,36,25.8,18,96,82.7,64,
,,8,42,32.5,23,88,74.8,58,
,,9,48,40.1,34,100,83.1,68,
,,10,43,37.3,31,100,87.5,67,
,,11,57,50.7,43,100,91,72,
,,12,62,55.1,47,100,91.7,72,
,,13,57,36.5,23,100,94.3,77,
,,14,23,20.4,16,86,79.4,74,
,,15,30,24.7,19,88,75.9,61,
,,16,34,28.6,24,93,76.4,60,
,,17,39,31.6,23,86,74.2,57,
,,18,40,29.7,19,88,64.1,41,
,,19,53,44.3,37,73,53.7,43,
,,20,43,28.3,22,81,58.5,45,
,,21,22,16.9,10,81,61.4,47,
,,22,17,10.3,4,73,57.8,39,
,,23,22,16.8,9,68,56.1,46,
,,24,22,18.4,12,84,58.3,37,
,,25,26,20.9,18,100,74.1,46,
,,26,31,22.2,13,96,75.5,56,
,,27,36,28.5,19,100,83.3,67,
,,28,52,47.2,37,100,98,88,
,,29,63,57,52,100,90.8,80,
,,30,64,49.5,28,100,90.3,77,
,,31,28,23.5,12,86,75.3,62,
,2,1,16,10.3,5,79,69.8,61,
,,2,28,21.8,16,93,83.3,71,
,,3,24,18.2,10,88,81.4,71,
,,4,37,29.1,20,96,77.4,61,
,,5,36,30.1,23,88,81.7,70,
,,6,34,30.7,28,85,76.3,64,
,,7,53,40.2,28,100,76.3,48,
,,8,43,33.2,30,97,85.8,72,
,,9,39,31.3,25,81,69.5,55,
,,10,50,41.6,33,93,75.6,61,
,,11,52,41,32,93,71,57,
,,12,44,32.5,24,91,77.5,51,
,,13,44,33.2,28,92,73.3,45,
,,14,48,37.9,30,100,80.6,58,
,,15,38,31.5,23,89,76.4,59,
,,16,25,21.7,19,85,69.5,51,
,,17,32,21.9,12,81,57.5,28,
,,18,59,41.7,26,90,60.8,40,
,,19,46,28.4,22,93,76.2,59,
,,20,27,19.1,10,79,65.9,51,
,,21,30,25.7,18,88,73.5,60,
,,22,36,32.2,28,100,90.5,75,
,,23,36,29.1,23,84,72.5,57,
,,24,40,29.3,21,89,73.5,52,
,,25,44,35.1,27,78,63.2,47,
,,26,41,37.4,33,100,88.2,57,
,,27,41,34.4,30,96,89.2,81,
,,28,37,33.2,30,100,88.7,81,
,3,1,34,31.3,30,93,86.6,76,
,,2,30,28,25,81,72,61,
,,3,33,27.3,22,85,68.9,52,
,,4,38,30.9,21,88,67.6,47,
,,5,37,33.9,28,100,88,65,
,,6,31,28.8,27,96,89,85,
,,7,35,30.6,28,89,79.5,61,
,,8,41,33,24,88,68.1,51,
,,9,53,42.4,30,79,60.3,43,
,,10,66,57.3,50,57,44.8,30,
,,11,59,44.7,33,96,88.4,51,
,,12,43,35.4,31,87,71.6,49,
,,13,32,27.1,23,86,76,61,
,,14,42,30.8,20,92,71.7,38,
,,15,50,39.1,28,96,77.3,56,
