Day,Beta,temp
1,1.16191411,17.33
2,1.161505699,19.28
3,1.160976529,20
4,1.160331726,21.94
5,1.15957737,22.33
6,1.158719182,21.56
7,1.157763958,13.89
8,1.156718612,10.39
9,1.155589819,14.06
10,1.15438509,15.28
11,1.153111219,16.22
12,1.151775599,16.61
13,1.150384903,17.78
14,1.148946524,17
15,1.14746666,13.28
16,1.145951867,15.78
17,1.144408464,13.67
18,1.142842293,8.33
19,1.141258836,10.5
20,1.139663577,7.39
21,1.138061285,9.72
22,1.136456728,10.11
23,1.134853959,4.94
24,1.133257031,3.61
25,1.131669641,2.94
26,1.130095124,2.5
27,1.128536582,6.28
28,1.126996994,6.06
29,1.125478625,7.78
30,1.123984098,8.39
31,1.122515678,12.11
32,1.121075153,15.61
33,1.119664669,10.28
34,1.118285656,7.89
35,1.116940022,5.5
36,1.115629315,8.33
37,1.114354849,11.22
38,1.113118172,11.39
39,1.111920595,4.33
40,1.11076355,3.83
41,1.109648466,9.72
42,1.108576536,5.61
43,1.107549191,4.56
44,1.10656774,-0.94
45,1.105633736,-2.39
46,1.104748487,4.28
47,1.103913307,7.56
48,1.103129625,10.56
49,1.102398992,15.17
50,1.101722717,6.39
51,1.101102352,1.5
52,1.100539088,3.5
53,1.100034356,8.44
54,1.099589467,6.39
55,1.099205852,-2.83
56,1.098884344,-6.5
57,1.098626375,-2.56
58,1.098432779,0.22
59,1.098304629,-5.11
60,1.098242402,-3.61
61,1.098246813,-2.06
62,1.098318338,2.61
63,1.098457217,5.06
64,1.098663568,5.17
65,1.098937035,5.83
66,1.099277258,10.83
67,1.099683881,2.67
68,1.100155592,-4.28
69,1.100691557,-7.89
70,1.101290226,-4.22
71,1.101949811,-3.67
72,1.102668405,-7.28
73,1.103443384,-7.06
74,1.104272366,-11.39
75,1.10515213,-3
76,1.106079459,-0.33
77,1.107050657,-5.44
78,1.108061433,-5.11
79,1.109107733,-4.06
80,1.110184669,-3.67
81,1.111287117,6.61
82,1.112409592,12.72
83,1.11354661,5
84,1.114691615,1.83
85,1.115838289,-4.17
86,1.116980076,-11.06
87,1.118109465,-4.5
88,1.119219184,-1.28
89,1.120301604,1.61
90,1.121348619,4.5
91,1.122352004,1.22
92,1.123303175,-6.83
93,1.124193788,-4.61
94,1.125014544,-0.89
95,1.12575686,-7.33
96,1.126411319,-13.83
97,1.126969099,-3.33
98,1.127420664,-2.44
99,1.127757192,-22.56
100,1.127969503,-19.61
101,1.128048778,-9.06
102,1.127986193,-4.44
103,1.127773285,1.28
104,1.127402306,3.06
105,1.12686491,1.56
106,1.126154065,7.44
107,1.125263095,0.39
108,1.124185443,-5.44
109,1.122915745,-4.06
110,1.121448755,-7
111,1.11978066,-6.94
112,1.117907643,-3.94
113,1.115827203,1.22
114,1.113537312,-8.17
115,1.111037374,-11.89
116,1.108327389,-16.56
117,1.105408192,-13.17
118,1.102281451,-5.89
119,1.098950148,-3.56
120,1.095417619,-11.5
121,1.091688633,-16.78
122,1.087768197,-10.83
123,1.083662629,-4.44
124,1.079378843,0.22
125,1.074924231,1.89
126,1.070306897,-2.83
127,1.065535784,-6.44
128,1.06061995,-5.94
129,1.055569172,-5.5
130,1.050393224,-13
131,1.045102715,-16.17
132,1.039708138,-9.22
133,1.034219742,-6.72
134,1.028648615,-15.06
135,1.023005605,-14.44
136,1.017301202,-9.56
137,1.011546135,-4.83
138,1.005751133,-6.33
139,0.999926329,-9
140,0.994081914,-5.06
141,0.988227963,-2.5
142,0.982374191,3.17
143,0.976529837,3.94
144,0.970704138,7.94
145,0.964905858,2.33
146,0.9591434,4.83
147,0.953424931,-1.06
148,0.947758436,-4.56
149,0.94215107,-5.44
150,0.936610341,-10.89
151,0.931142807,-9.06
152,0.925754786,-6.22
153,0.920452476,1.06
154,0.915241599,-7
155,0.910127759,-11.17
156,0.905115843,-7.61
157,0.900210738,-4.56
158,0.895416617,-2.44
159,0.890738249,2.28
160,0.88617897,1.89
161,0.881742358,-0.72
162,0.877431989,7.39
163,0.873250961,12.72
164,0.869201779,1.33
165,0.865287185,-3.06
166,0.861509562,8.56
167,0.857870817,6.22
168,0.854372859,-1.89
169,0.851017475,-2.94
170,0.847805858,4.5
171,0.844739318,7.5
172,0.84181869,4.72
173,0.839045048,11.06
174,0.836418748,5
175,0.833939791,-0.44
176,0.831608713,-2
177,0.829424858,-2.39
178,0.827388167,-2.06
179,0.825497866,4.89
180,0.82375294,7.39
181,0.822152257,1.78
182,0.820694447,3.89
183,0.81937778,10.94
184,0.818200469,13.44
185,0.817160368,8.94
186,0.816255212,12.5
187,0.815482378,8.28
188,0.814839363,5.28
189,0.814323306,7.72
190,0.813930988,7.06
191,0.81365943,7.78
192,0.813505411,9.17
193,0.813465536,15
194,0.813536346,13.78
195,0.813714504,16.78
196,0.813996434,20.56
197,0.814378619,9.56
198,0.814857483,-0.5
199,0.815429688,3.22
200,0.816091537,10.44
201,0.816839695,13.61
202,0.817670703,12.67
203,0.818581223,15.28
204,0.81956774,16.28
205,0.820627332,12.56
206,0.821756482,8.61
207,0.822952271,13.67
208,0.824211597,12.94
209,0.825531483,17.22
210,0.826908946,15.72
211,0.828341246,15
212,0.829825521,14.33
213,0.831359029,10.22
214,0.832939088,8.06
215,0.834563136,8.44
216,0.836228728,12.72
217,0.837933064,14.06
218,0.839673936,13.67
219,0.841448903,16.11
220,0.843255579,21.28
221,0.845091701,23.56
222,0.846954942,20.39
223,0.848843098,18.17
224,0.850753784,19.33
225,0.852685153,21.39
226,0.854635,19.94
227,0.856601,11.39
228,0.858581305,8.06
229,0.860574007,7.56
230,0.862576962,7.78
231,0.864588261,10.44
232,0.866606116,14.44
233,0.868628502,20.28
234,0.870653868,20.39
235,0.872680247,18.94
236,0.874705911,17.5
237,0.876729429,17.83
238,0.878749013,20
239,0.880763173,22.06
240,0.88277024,23.89
241,0.884768963,23.33
242,0.886757791,22.33
243,0.888735771,23.33
244,0.890701294,23.39
245,0.892653108,23.33
246,0.894590139,21.89
247,0.896511495,22.39
248,0.898415983,19.44
249,0.900302649,18.72
250,0.902170718,20.5
251,0.904019356,21.67
252,0.905847728,18.89
253,0.907655299,19.72
254,0.909441233,19.11
255,0.911205292,19.33
256,0.912946701,20.33
257,0.914665222,19.06
258,0.916360497,17.78
259,0.918032289,21.33
260,0.919680357,24.22
261,0.921304643,26.61
262,0.922905326,24.61
263,0.924482107,23.28
264,0.926035404,24.17
265,0.927565455,24.5
266,0.929072499,25.56
267,0.930557132,23.56
268,0.93201983,22.17
269,0.933461308,22.06
270,0.934882402,24.39
271,0.936284125,25.33
272,0.937667549,24.39
273,0.939033866,24.61
274,0.940384448,23.11
275,0.941720963,24.56
276,0.943045139,21.78
277,0.944358706,17.61
278,0.945664048,19.78
279,0.946963191,21
280,0.948258758,22.61
