YEAR,WEEK,ILITOTAL,EMA,PRED,beta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,1903,1903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,2,2008,1934.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,3,1790,1891.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,4,1500,1773.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,5,1572,1713.2635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,6,1381,1613.58445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,7,1282,1514.109115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,8,1064,1379.076381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,9,1194,1323.553466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,10,1102,1257.087426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,11,1073,1201.861199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,12,1039,1153.002839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,13,954,1093.301987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,14,932,1044.911391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,15,746,955.2379738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,16,724,885.8665816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,17,705,831.6066071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,18,678,785.524625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,19,664,749.0672375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,20,647,718.4470663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,21,526,660.7129464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,22,531,621.7990625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,23,585,610.7593437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,24,499,577.2315406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,25,473,545.9620784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,26,428,510.5734549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,27,370,468.4014184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,28,418,453.2809929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,29,344,420.496695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,30,366,404.1476865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,31,332,382.5033806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,32,321,364.0523664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,33,385,370.3366565,370,0.8935337,,1,0.8935337,370,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,34,363,368.1356595,341.92407,1.0632696,,2,1.0632696,341.92407,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,35,383,372.5949617,385.5498,1.1067774,,3,1.1067774,385.5498,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,36,439,392.5164732,423.09424,1.1001222,,4,1.1001222,423.09424,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,37,560,442.7615312,455.1798,1.095364,,5,1.095364,455.1798,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,38,578,483.3330719,489.69226,1.1026099,,6,1.1026099,489.69226,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,39,562,506.9331503,532.4856,1.1155916,,7,1.1155916,532.4856,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,40,859,612.5532052,585.2883,1.1274722,1,8,1.1274722,585.2883,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,41,932,708.3872436,648.2278,1.1346847,2,9,1.1346847,648.2278,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,42,937,776.9710706,719.83496,1.1363554,3,10,1.1363554,719.83496,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,43,1036,854.6797494,798.0005,1.1330576,4,11,1.1330576,798.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,44,1072,919.8758246,880.24365,1.1259135,5,12,1.1259135,880.24365,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,45,1069,964.6130772,963.8828,1.1161054,6,13,1.1161054,963.8828,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,46,1060,993.229154,1047.0562,1.1046624,7,14,1.1046624,1047.0562,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,47,1095,1023.760408,1126.5186,1.0923941,8,15,1.0923941,1126.5186,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,48,1012,1020.232285,1199.8203,1.0798979,9,16,1.0798979,1199.8203,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,49,1371,1125.4626,1266.0635,1.0675901,10,17,1.0675901,1266.0635,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,50,1337,1188.92382,1323.8877,1.0557468,11,18,1.0557468,1323.8877,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,51,1627,1320.346674,1371.5186,1.0445389,12,19,1.0445389,1371.5186,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,52,1920,1500.242672,1408.9443,1.0340604,13,20,1.0340604,1408.9443,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,1995,1648.66987,1436.916,1.0243522,14,21,1.0243522,1436.916,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2,1716,1668.868909,1454.7324,1.0154191,15,22,1.0154191,1454.7324,,,,,,,,,,,,,,,,,,,,,,,,,,,
