number,,,temp,,,hum,,,temp
,,time,Max,Avg,Min,Max,Avg,Min,Avg
,,30,41,28.9,18,88,76.8,55,
,,31,36,30.7,23,100,90.6,64,
,,1,21,17.4,6,85,74.8,63,
,,2,26,16,3,91,73.2,55,
,,3,33,25.1,15,92,84.7,74,
,,4,35,24,10,84,75.1,61,
,,5,38,33.1,24,100,81.1,69,
,,6,37,29.4,20,93,80.7,64,
,,7,39,30.3,20,92,80.1,70,
,,8,47,37.3,28,88,75.6,58,
,,9,52,39.7,28,96,77.6,49,
,,10,54,41.5,32,100,90.9,60,
,,11,58,53.5,48,100,89.2,75,
,,12,53,39.3,0,100,84.4,62,
,,13,29,22.1,15,100,84.6,74,
,,14,25,17.7,12,88,81,69,
,,15,29,21,11,92,81.5,66,
,,16,38,29.5,17,88,72.6,53,
,,17,36,31.1,22,93,72.5,44,
,,18,45,34.7,22,85,66.4,53,
,,19,55,43.7,36,73,64,49,
,,20,38,22.6,18,81,62.3,45,
,,21,19,13.7,6,77,56.9,39,
,,22,16,10.1,4,70,55.8,41,
,,24,26,23.1,18,63,49.7,43,
,,25,39,28.8,24,72,54.2,43,
,,26,33,22.6,0,74,50.5,0,
,,,,,,,,,
,,27,45,35.1,22,100,87.9,61,
,,28,65,55.6,46,100,93.2,81,
,,29,63,57.6,52,100,94.1,84,
,,30,52,37.5,22,100,86.3,69,
,,31,25,18.7,7,81,65.7,57,
,,1,23,14.1,4,93,66.9,52,
,,2,33,25.3,19,86,73,63,
,,3,33,25.8,21,96,76.6,46,
,,4,46,33.6,27,85,66.4,47,
,,5,46,33.7,25,89,75.2,56,
,,6,47,35.6,21,92,73.7,54,
,,7,41,38.8,36,100,88.5,70,
,,8,36,31.1,28,93,80.2,72,
,,9,39,33.2,28,82,75.3,70,
,,10,52,44.2,37,100,88.9,68,
,,11,44,37.2,29,82,62.8,51,
,,12,38,31,25,92,78.5,57,
,,13,50,37.6,29,96,72.8,43,
,,14,47,39,31,89,72.6,52,
,,15,36,30,23,82,60.8,36,
,,16,31,23.4,15,77,59.2,40,
,,17,40,28.5,14,80,62,43,
,,18,56,42.2,29,93,76.7,55,
,,19,29,23.6,19,74,62.4,54,
,,20,25,18.2,8,81,62.4,42,
,,21,32,26.3,16,100,88.1,69,
,,22,34,31.4,26,96,84.8,69,
,,23,29,22.8,16,92,79.8,69,
,,24,39,27.6,15,96,73.9,53,
,,25,45,35.1,24,88,74.8,60,
,,26,36,33.7,32,100,90.6,81,
,,27,34,31.7,30,100,92.4,87,
,,28,36,32.8,31,100,90.5,81,
,,1,32,28.9,25,100,88.3,79,
,,2,31,26.1,19,85,68.3,52,
,,3,33,25.3,12,100,70.3,50,
,,4,39,34.4,30,85,73.1,65,
,,5,34,32.4,30,96,85.6,66,
,,6,31,28.5,26,81,76.7,72,
,,7,38,31.2,26,86,75.2,62,
,,8,48,37.7,26,88,74.6,61,
,,9,56,46.2,39,83,68.3,55,
,,10,54,51.9,47,100,90.9,64,
,,11,45,35.2,32,93,85.2,75,
,,12,43,32.9,27,88,71.8,57,
,,13,37,29.3,24,84,63.2,41,
,,14,48,35.5,23,81,67.3,53,
,,15,61,46.4,31,89,71,48,
,,16,46,39.4,35,100,82.2,61,
,,17,40,35.1,30,92,74.2,60,
,,18,47,36.2,28,100,85,51,
,,19,43,32.5,25,69,53.1,32,
,,20,31,25.9,20,69,52,35,
,,21,36,25,15,75,55.4,31,
,,22,41,31.9,17,92,58.4,32,
,,23,52,42.1,33,70,49.8,33,
,,24,34,30.4,30,100,95.1,75,
,,25,36,30.3,28,100,84.9,65,
,,26,38,33.4,31,79,66.2,47,
,,27,40,32,23,82,67.9,51,
,,28,47,35.7,21,96,69.4,48,
,,29,57,45.5,33,85,62.6,42,
,,30,54,47.1,36,93,77.8,62,
,,31,63,50.6,40,100,74.7,44,
,,1,46,38.2,30,66,48,31,
,,2,48,36.4,24,75,46.6,24,
,,3,51,39.6,26,71,46.9,26,
,,4,59,45,28,81,43,22,
,,5,62,50.4,38,83,44.1,24,
,,6,71,59.9,46,56,41.1,30,
,,7,74,61.2,42,96,58,31,
,,8,74,65.4,58,88,74.3,57,
,,9,75,69,63,81,70,55,
,,10,69,52.9,46,100,92.9,81,
,,11,52,46.8,38,100,86.7,71,
,,12,43,40.1,37,87,77.2,70,
,,13,55,45.5,36,89,62.5,43,
,,14,76,62.2,48,82,56.5,35,
,,15,63,54.3,46,100,90.2,77,
,,16,50,46.4,43,100,88.8,77,
,,17,74,53.6,45,100,90.5,71,
,,18,70,56.4,39,100,88.9,70,
,,19,44,39.1,36,79,68.5,58,
,,20,50,40.6,30,89,63.3,41,
,,21,58,48.4,39,74,60.5,49,
,,22,68,56.3,40,80,58.9,40,
,,23,57,47.5,39,100,88.1,67,
,,24,50,41.7,36,100,76.4,50,
,,25,58,48.4,39,79,54.3,32,
,,26,61,53.3,45,86,64.5,53,
,,27,56,52.5,46,97,88.4,67,
,,28,63,55.4,50,100,89.3,70,
,,29,75,62.5,45,97,76.5,59,
,,30,83,72.1,60,90,61.1,31,
,,1,82,71,57,87,59.1,37,
,,2,75,56.2,0,100,71.1,0,
,,3,57,43.8,0,100,83.9,0,
,,4,57,49.8,46,100,94.7,88,
,,5,65,55.6,48,100,93.1,70,
,,6,70,62,51,96,76.8,55,
,,7,79,67.4,58,93,64.4,30,
,,8,80,67.7,53,97,63.7,29,
,,9,68,63.9,60,100,92,83,
,,10,63,56.6,51,100,90,80,
,,11,63,55.8,47,96,65.3,35,
,,12,59,49,37,82,54,31,
,,13,69,56.3,38,93,52.3,26,
,,14,89,73.8,56,69,49.7,31,
,,15,89,78.3,68,75,50.5,36,
,,16,82,72.5,64,90,65.6,44,
,,17,79,69.8,60,90,75.8,57,
,,18,80,70.6,63,100,78.1,54,
,,19,88,78,67,90,72,55,
,,20,84,70.7,63,100,58.5,0,
,,21,80,71.9,64,100,76.6,60,
,,22,73,66,61,100,82,55,
,,23,63,58.1,48,100,82.8,70,
,,24,69,54.5,40,93,64.3,33,
,,25,57,52.8,50,97,81.3,59,
,,26,68,58.1,52,100,92,78,
,,27,75,65.1,60,100,93.1,73,
,,28,80,72,64,90,82.1,69,
,,29,85,74.8,63,94,73.2,56,
,,30,82,71.3,64,100,84.4,64,
,,31,77,69.8,63,100,88.8,76,
,,1,75,67.8,63,100,83.6,59,
,,2,64,61.7,58,94,80.5,72,
,,3,67,59.4,53,100,77.9,54,
,,4,73,63.5,52,100,81,55,
,,5,79,69,55,95,58.1,0,
,,6,74,67.5,59,100,85,66,
,,7,75,64.8,55,100,78,50,
,,8,79,68.1,54,100,66.5,35,
,,9,80,69.5,62,100,81.2,52,
,,10,78,68.3,62,100,87.9,58,
