number,,,temp,,,hum,,,temp,
,,time,Max,Avg,Min,Max,Avg,Min,Avg,
,2012,30,39,24.8,12,84,72.1,53,,
,2012,31,28,19.3,11,74,67,59,,
,2013,1,15,8.5,1,79,65.6,54,,
,,2,30,21.5,9,88,77.9,66,,
,,3,31,20.5,12,85,74.9,65,,
,,4,35,25,13,84,72.3,59,,
,,5,38,29,20,89,77.2,64,,
,,6,28,22.1,15,77,70.9,61,,
,,7,44,34.1,24,82,64.3,49,,
,,8,46,36.2,28,81,71.4,54,,
,,9,47,37.6,29,89,70.5,52,,
,,10,41,37.3,32,100,82.8,53,,
,,11,53,42.5,36,100,90,66,,
,,12,42,26.2,17,87,66.9,56,,
,,13,20,14,9,70,62.5,54,,
,,14,30,19.4,9,73,58.2,35,,
,,15,34,23.7,15,74,58,38,,
,,16,49,34.5,20,79,64.5,50,,
,,17,36,27.1,18,78,61.8,38,,
,,18,56,41.8,26,79,59.9,37,,
,,19,54,41.7,22,75,57.9,37,,
,,20,18,13.9,9,79,69.5,51,,
,,21,11,5.1,-2,70,62.2,54,,
,,22,17,11.2,4,66,54.5,45,,
,,23,29,17.7,6,74,60.4,51,,
,,24,21,12.4,4,60,47.5,34,,
,,25,40,25.7,15,77,58.1,47,,
,,26,37,23,10,67,50,33,,
,,27,42,35.5,32,100,85.6,46,,
,,28,49,40,35,100,95.3,90,,
,,29,59,42.6,33,97,88.8,82,,
,,30,33,24.7,15,89,79.7,68,,
,,31,15,7.3,0,77,68.9,63,,
,2,1,26,7.6,-6,72,62.8,55,,
,,2,27,21.5,17,88,74.5,55,,
,,3,34,26.2,18,79,64.4,46,,
,,4,34,24.9,19,81,73.4,66,,
,,5,45,33.7,22,82,72.8,58,,
,,6,45,36.8,26,88,73.8,60,,
,,7,42,35.3,29,96,87.9,73,,
,,8,29,27.8,25,85,79.9,75,,
,,9,38,32.4,28,86,80.9,73,,
,,10,51,38.7,33,93,83.8,59,,
,,11,33,31,29,72,65.7,61,,
,,12,45,33.5,23,84,64.8,44,,
,,13,51,38.4,26,81,61.6,39,,
,,14,43,36.2,25,75,66.1,51,,
,,15,29,23.1,18,71,57.5,45,,
,,16,36,24.4,12,84,62,39,,
,,17,48,35,22,78,57.6,37,,
,,18,44,29.9,18,82,66.2,57,,
,,19,24,16.7,9,67,54.5,38,,
,,20,24,14.5,2,69,53.6,40,,
,,21,27,23.6,19,88,77,55,,
,,22,27,24.8,23,88,81,68,,
,,23,32,22.8,12,84,70.2,54,,
,,24,41,29.2,16,84,70.3,53,,
,,25,40,35.1,30,82,71.9,55,,
,,26,34,31.6,30,92,84.6,72,,
,,27,32,29.3,27,93,82.4,69,,
,,28,32,27.8,24,81,76.5,69,,
,3,1,30,27.2,26,81,73.3,61,,
,,2,31,25.1,18,81,67.4,54,,
,,3,36,29,22,78,64.5,48,,
,,4,39,33.6,29,89,77.7,65,,
,,5,33,30.1,27,93,76.8,66,,
,,6,32,26.3,21,81,72.3,59,,
