YEAR,WEEK,ILITOTAL,EMA,,,,,,,,,,,,,,,,,,,,,PRED,BETA,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,28,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,29,0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,30,0,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,31,0,0.1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,32,0,0.07203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,33,0,0.050421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,34,0,0.0352947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,35,0,0.02470629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,36,2,0.617294403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,37,1,0.732106082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,38,0,0.512474257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,39,52,15.95873198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,40,62,29.77111239,,1,,,,,,1.5159847,,,,,,30,,,,,,,30,1.5159847,1,,,,,,,,,,,,,,,,,,,,,,,,,
2013,41,71,42.13977867,,2,,,,,,1.4927813,,,,,,39.158234,,,,,,,39.158234,1.4927813,2,,,,,,,,,,,,,,,,,,,,,,,,,
2013,42,77,52.59784507,,3,,,,,,1.3021876,,,,,,58.032433,,,,,,,58.032433,1.3021876,3,,,,,,,,,,,,,,,,,,,,,,,,,
2013,43,83,61.71849155,,4,,,,,,1.1319735,,,,,,67.04948,,,,,,,67.04948,1.1319735,4,,,,,,,,,,,,,,,,,,,,,,,,,
