YEAR,WEEK,iowaILI,iowaEMA,iowaPRED,iowaBETA,illinoisILI,illinoisEMA,illinoisPRED,illinoisBETA,wyomingILI,wyomingEMA,wyomingPRED,wyomingBETA,INILI,INEMA,INPRED,INBETA
2013,40,62,29.77111239,30,1.5159847,859,612.5532052,585.2883,1.1274722,23,9.547168928,7.925707,1.3034753,90,57.59,58,1.2478495
2013,41,71,42.13977867,39.158234,1.4927813,932,708.3872436,648.2278,1.1346847,33,16.58301825,9.925095,1.2997198,88,66.713,66.9776,1.2078192
2013,42,77,52.59784507,58.032433,1.3021876,937,776.9710706,719.83496,1.1363554,16,16.40811277,12.355061,1.2911283,94,74.8991,78.820404,1.1003802
2013,43,83,61.71849155,67.04948,1.1319735,1036,854.6797494,798.0005,1.1330576,23,18.38567894,15.26416,1.2791853,102,83.02937,81.33145,1.0418329
2013,44,106,75.00294408,69.399536,1.046771,1072,919.8758246,880.24365,1.1259135,29,21.56997526,18.67685,1.2649367,98,87.520559,82.467224,1.0418512
2013,45,97,81.60206086,69.77777,1.0267361,1069,964.6130772,963.8828,1.1161054,33,24.99898268,22.58271,1.2491025,113,95.1643913,85.76526,1.070301
2013,46,69,77.8214426,70.93649,1.0389261,1060,993.229154,1047.0562,1.1046624,19,23.19928788,26.99395,1.2321705,111,99.91507391,92.09332,1.1031268
2013,47,72,76.07500982,73.787506,1.0610628,1095,1023.760408,1126.5186,1.0923941,40,28.23950151,31.85405,1.21447,98,99.34055174,101.29083,1.1287489
2013,48,50,68.25250687,78.29837,1.0818377,1012,1020.232285,1199.8203,1.0798979,21,26.06765106,37.07245,1.1962234,97,98.63838622,112.96307,1.1436316
2013,49,82,72.37675481,84.214966,1.0966928,1371,1125.4626,1266.0635,1.0675901,39,29.94735574,42.5858,1.1775832,117,104.1468704,126.64935,1.1480858
2013,50,88,77.06372837,91.23511,1.1045148,1337,1188.92382,1323.8877,1.0557468,34,31.16314902,48.22725,1.1586574,147,117.0028092,141.79248,1.1438564
2013,51,131,93.24460986,99.06183,1.105736,1627,1320.346674,1371.5186,1.0445389,54,38.01420431,53.818024,1.1395245,235,152.4019665,157.54736,1.1329756
2013,52,104,96.4712269,107.37305,1.1013678,1920,1500.242672,1408.9443,1.0340604,71,47.90994302,59.227753,1.1202437,305,198.1813765,173.05566,1.1172944
2014,1,139,109.2298588,115.64093,1.0925493,1995,1648.66987,1436.916,1.0243522,103,64.43696011,64.216675,1.1008626,223,205.6269636,187.57617,1.0983362
2014,2,174,128.6609012,123.2959,1.0803506,1716,1668.868909,1454.7324,1.0154191,116,79.90587208,68.57001,1.0814209,208,206.3388745,199.99512,1.077294
2014,3,214,154.2626308,130.1997,1.0657005,1712,1681.808236,1462.5664,1.0072423,145,99.43411046,72.16992,1.0619524,263,223.3372121,209.64563,1.0550702
2014,4,186,163.7838416,135.71558,1.0493729,1538,1638.665765,1462.0488,0.9997872,123,106.5038773,74.81415,1.0424858,274,238.5360485,215.98657,1.0323362
2014,5,161,162.9486891,139.56421,1.0319927,1240,1519.066036,1453.9707,0.99301106,106,106.3527141,76.349304,1.0230485,240,238.975234,218.47314,1.0095818
2014,6,141,156.3640824,141.58276,1.014057,1120,1399.346225,1438.0332,0.9868671,78,97.84689989,76.77014,1.0036637,198,226.6826638,217.06592,0.98715806
2014,7,133,149.3548577,141.56335,0.99595124,1146,1323.342358,1415.8496,0.98130643,64,87.69282992,76.02997,0.98435265,156,205.4778646,211.99658,0.9653125
2014,8,114,138.7484004,139.47766,0.9779718,1182,1280.93965,1388.9863,0.9762807,80,85.38498094,74.119995,0.965135,152,189.4345052,203.51196,0.9442147
2014,9,102,127.7238803,135.54773,0.9603397,1186,1252.457755,1357.2734,0.97174364,53,75.66948666,71.15979,0.9460284,152,178.2041537,192.09302,0.9239758
2014,10,80,113.4067162,129.92505,0.9432164,1033,1186.620429,1321.4336,0.9676511,51,68.26864066,67.30017,0.9270493,116,159.5429076,178.4978,0.90466344
2014,11,80,103.3847013,122.83179,0.9267151,1101,1160.9343,1283.0527,0.9639621,31,57.08804846,62.674194,0.90821165,95,140.1800353,163.39673,0.88631386
2014,12,76,95.16929093,114.62207,0.9109115,975,1105.15401,1242.7246,0.960638,15,44.46163392,57.45703,0.8895287,117,133.2260247,147.41211,0.86893904
2014,13,57,83.71850365,105.67944,0.89585143,1126,1111.407807,1200.1133,0.957644,9,33.82314375,51.88379,0.8710122,77,116.3582173,131.14062,0.85253245
2014,14,54,74.80295255,96.29126,0.88155675,1158,1125.385465,1156.3867,0.95494807,8,26.07620062,46.152344,0.85267293,78,104.8507521,115.15869,0.83707696
2014,15,70,73.36206679,86.73291,0.868032,1181,1142.069825,1112.5781,0.9525213,6,20.05334044,40.43213,0.8345199,49,88.09552648,99.91528,0.8225445
2014,16,62,69.95344675,77.28369,0.85526896,1006,1101.248878,1068.25,0.9503364,8,16.43733831,34.880493,0.8165621,50,76.66686853,85.69556,0.8089014
2014,17,66,68.76741273,68.19629,0.84324783,1093,1098.774214,1023.6875,0.9483697,12,15.10613681,29.637451,0.79880655,50,68.66680797,72.69336,0.7961102
2014,18,55,64.63718891,59.61499,0.83194274,956,1055.94195,979.8086,0.9465992,7,12.67429577,24.813232,0.7812603,63,66.96676558,61.020508,0.7841301
2014,19,41,57.54603224,51.641357,0.821323,1055,1055.659365,936.8867,0.94500566,4,10.07200704,20.467041,0.763929,49,61.57673591,50.73535,0.7729198
2014,20,39,51.98222257,44.345215,0.8113535,808,981.3615556,894.33594,0.94357115,4,8.250404927,16.632446,0.74681765,82,67.70371513,41.81543,0.7624368
2014,21,40,48.3875558,37.787598,0.8019989,794,925.1530889,852.7539,0.94227964,11,9.075283449,13.317017,0.72993124,30,56.39260059,34.174805,0.7526396
2014,22,48,48.27128906,48,0.9470833,757,874.7071622,812.6953,0.9411169,2,6.952698414,8.481747,0.81394935,19,45.17482042,45,0.73113465
2014,23,42,46.38990234,44.500572,1.0639036,761,840.5950136,773.7617,0.9400697,4,6.06688889,6.7826157,0.7433506,23,38.52237429,34.266083,0.916402
2014,24,41,44.77293164,49.32209,1.0294038,678,791.8165095,735.83203,0.93912685,5,5.746822223,5.281147,0.73169076,22,33.565662,34.990692,0.9555057
2014,25,50,46.34105215,48.757004,0.9419015,660,752.2715566,699.39453,0.93827766,5,5.522775556,4.247776,0.7623786,17,28.5959634,33.84825,0.90368235
2014,26,31,41.7387365,44.359695,0.88007444,461,664.8900897,664.6094,0.9375126,4,5.065942889,3.6168365,0.81603515,29,28.71717438,30.180008,0.8393737
2014,27,34,39.41711555,39.09961,0.8621941,347,569.5230628,630.9258,0.9368234,3,4.446160022,3.261074,0.87859046,12,23.70202207,25.51352,0.80243284
2014,28,41,39.89198089,34.89087,0.87742954,392,516.2661439,598.54297,0.93620247,2,3.712312016,3.1008606,0.94159126,19,22.29141545,21.350296,0.80005395
2014,29,36,38.72438662,32.145752,0.9107119,351,466.6863008,567.78125,0.93564314,2,3.198618411,3.0845528,1.0005505,5,17.10399081,18.269348,0.8252544
2014,30,37,38.20707063,30.697052,0.9509022,343,429.5804105,538.4219,0.9351385,3,3.139032888,3.196457,1.0533916,8,14.37279357,16.263474,0.86805123
2014,31,34,36.94494944,30.322632,0.99133795,331,400.0062874,510.15625,0.93468386,8,4.597323021,3.4282608,1.0993891,23,16.9609555,15.139618,0.9198296
2014,32,34,36.06146461,30.864075,1.0285158,338,381.4044012,483.2461,0.93427414,8,5.618126115,3.7884216,1.1385299,24,19.07266885,14.734314,0.97433037
2014,33,0,25.24302523,32.224915,1.0608327,351,372.2830808,457.82422,0.9339044,2,4.53268828,4.2908707,1.1711522,19,19.05086819,14.947784,1.0274113
2014,34,40,29.67011766,34.32669,1.0877419,410,383.5981566,433.4922,0.93357104,4,4.372881796,4.957283,1.1977496,23,20.23560774,15.744354,1.0765221
2014,35,57,37.86908236,37.230804,1.1092501,362,377.1187096,438.94727,1.0568334,1,3.361017257,5.8216324,1.218866,23,21.06492542,17.154114,1.1202178
2014,36,0,26.50835765,40.897278,1.1256406,559,431.6830967,463.80542,1.0823361,7,4.45271208,6.9253235,1.2350459,29,23.44544779,19.21344,1.1577928
2014,37,68,38.95585036,45.329346,1.1373186,984,597.3781677,501.1162,1.1088248,17,8.216898456,8.31208,1.2468069,32,26.01181345,22.048584,1.1890216
2014,38,87,53.36909525,50.57959,1.144732,966,707.9647174,551.87866,1.1309775,17,10.85182892,10.037674,1.2546312,34,28.40826942,25.79654,1.213981
2014,39,60,55.35836667,56.62372,1.1483297,801,735.8753022,615.813,1.1465753,15,12.09628024,12.175392,1.2589587,29,28.58578859,30.621124,1.2329369
2014,40,82,63.35085667,63.403442,1.14854,853,771.0127115,692.5327,1.1553277,31,17.76739617,14.78772,1.2601929,46,33.81005201,36.73282,1.2462629
2014,41,102,74.94559967,70.92255,1.1457622,831,789.0088981,781.12744,1.1579105,27,20.53717732,17.942719,1.2586951,76,46.46703641,44.395294,1.254391
2014,42,95,80.96191977,79.06354,1.1403615,929,831.0062286,880.39355,1.1553786,33,24.27602412,21.734894,1.2547948,59,50.22692549,53.829163,1.2577775
2014,43,96,85.47334384,87.61627,1.1326697,899,851.4043601,987.89355,1.1488525,50,31.99321689,26.223282,1.2487874,65,54.65884784,65.25409,1.2568812
2014,44,117,94.93134069,96.46704,1.1229863,979,889.683052,1100.5996,1.1393694,26,30.19525182,31.453873,1.2409385,66,58.06119349,78.9577,1.252148
2014,45,98,95.85193848,105.36084,1.1115799,1109,955.4781364,1216.1748,1.1278234,33,31.03667627,37.506683,1.2314866,79,64.34283544,95.032776,1.244003
2014,46,79,90.79635694,113.92139,1.0986903,1212,1032.434695,1331.4199,1.1149514,39,33.42567339,44.37967,1.220647,95,73.53998481,113.480896,1.2328463
