temp,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7
-22,1.00744792740844,1.00203879228096,0.999676988732131,0.999662889851661,1.00131711790093,1.00396688372821,1.00693698368219,1.00954535679112
-21,1.00815107903625,1.00267426066231,1.00023545206609,1.00014304132462,1.00172579208316,1.00431933967901,1.00725723175239,1.00986641303192
-20,1.0088500048142,1.00330654193117,1.00079136875698,1.0006209647305,1.00213229974977,1.00466949049895,1.0075748889068,1.01018449954911
-19,1.00954022384468,1.00393222627298,1.00134202455166,1.00109432626812,1.00253442673664,1.00501503186955,1.00788740079568,1.01049670242226
-18,1.01021724316949,1.00454789548576,1.00188469929835,1.00156078777518,1.00292995537458,1.00535365635435,1.00819220996357,1.01080010421066
-17,1.01087655825638,1.00515012326238,1.00241666712614,1.00201800686189,1.00331666461059,1.005683054,1.00848675601217,1.01109178416512
-16,1.01151365368595,1.0057354755895,1.00293519669865,1.00246363709941,1.00369233017833,1.00600091017657,1.0087684758281,1.01136881852402
-15,1.01212400403982,1.00630051126364,1.0034375515419,1.00289532826301,1.00405472481771,1.00630491050583,1.00903480387586,1.01162828089391
-14,1.01270307499079,1.00684178252458,1.00392099044674,1.00331072663033,1.00440161854395,1.00659273646294,1.00928317255581,1.01186724271464
-13,1.01324632459546,1.00735583580677,1.00438276794599,1.00370747533481,1.00473077896603,1.00686206806632,1.00951101262752,1.01208277380909
-12,1.01374920478996,1.00783921260871,1.00482013486647,1.00408321477423,1.00503997165463,1.00711058380698,1.00971575369834,1.01227194301771
-11,1.01420716308879,1.00828845048069,1.00523033895606,1.0044355830747,1.00532696055975,1.00733596110023,1.00989482477728,1.01243181891763
-10,1.01461564448716,1.00870008413097,1.00561062558584,1.00476221660998,1.00558950847783,1.00753587679077,1.0100456548942,1.01255947062647
-9,1.01497009356632,1.00907064665036,1.00595823852737,1.0050607505762,1.00582537756849,1.00770800771126,1.01016567378415,1.01265196869061
-8,1.0152659568018,1.00939667085511,1.00627042080511,1.00532881962197,1.00603232992094,1.00785003129411,1.01025231263686,1.0127063860578
-7,1.01549868507367,1.00967469074801,1.00654441562388,1.00556405853382,1.00620812816977,1.00795962623658,1.01030300491114,1.01271979913378
-6,1.01566373637794,1.00990124309712,1.0067774673711,1.00576410297688,1.00635053616024,1.00803447321894,1.01031518721398,1.0126892889226
-5,1.01575657873769,1.01007286913189,1.00696682269382,1.00592659029064,1.00645731966284,1.00807225567551,1.01028630024411,1.01261194225021
-4,1.0157726933125,1.01018611635576,1.00710973165001,1.00604916033959,1.00652624713694,1.00807066061849,1.01021378979965,1.01248485307075
-3,1.01570757770382,1.01023754047465,1.00720344893382,1.00612945641859,1.00655509054325,1.00802737951403,1.01009510784943,1.01230512385493
