Year,Week,TennesseeILI,WyomingILI,IowaILI,IllinoisILI,TexasILI,CaliforniaILI
2013,40,30,23,62,859,954,633
2013,41,26,33,71,932,1078,744
2013,42,30,16,77,937,1087,687
2013,43,27,23,83,1036,1102,744
2013,44,33,29,106,1072,1118,828
2013,45,44,33,97,1069,1202,977
2013,46,56,19,69,1060,1649,888
2013,47,94,40,72,1095,1975,868
2013,48,69,21,50,1012,1576,702
2013,49,176,39,82,1371,2492,970
2013,50,172,34,88,1337,2797,1080
2013,51,282,54,131,1627,4616,1137
2013,52,335,71,104,1920,3594,1107
2014,1,361,103,139,1995,3415,1397
2014,2,525,116,174,1716,3160,1866
2014,3,573,145,214,1712,2495,1903
2014,4,392,123,186,1538,2046,2005
2014,5,316,106,161,1240,1920,1813
2014,6,301,78,141,1120,1774,1628
2014,7,210,64,133,1146,1659,1357
2014,8,145,80,114,1182,1713,1176
2014,9,148,53,102,1186,1677,1165
2014,10,150,51,80,1033,1555,1034
2014,11,94,31,80,1101,1323,882
2014,12,109,15,76,975,1386,892
2014,13,119,9,57,1126,1338,685
2014,14,40,8,54,1158,1277,672
2014,15,43,6,70,1181,1343,655
2014,16,17,8,62,1006,1204,611
2014,17,20,12,66,1093,1128,602
2014,18,14,7,55,956,963,562
2014,19,14,4,41,1055,982,551
2014,20,10,4,39,808,978,569
2014,21,12,11,40,794,1028,563
2014,22,6,2,48,757,896,454
2014,23,7,4,42,761,879,531
2014,24,6,5,41,678,784,508
2014,25,4,5,50,660,678,458
2014,26,3,4,31,461,657,473
2014,27,4,3,34,347,544,405
2014,28,3,2,41,392,634,402
2014,29,2,2,36,351,564,382
2014,30,2,3,37,343,496,325
2014,31,7,8,34,331,532,339
2014,32,9,8,34,338,452,267
2014,33,4,2,0,351,469,242
2014,34,15,4,40,410,536,291
2014,35,15,1,57,362,551,357
2014,36,16,7,0,559,583,348
2014,37,20,17,68,984,792,481
2014,38,21,17,87,966,784,487
2014,39,14,15,60,801,828,453
2014,40,23,31,82,853,623,831
2014,41,49,27,102,831,672,936
2014,42,47,33,95,929,761,886
2014,43,83,50,96,899,860,873
2014,44,87,26,117,979,861,844
2014,45,109,33,98,1109,885,1048
2014,46,99,39,79,1212,765,858
2014,47,93,41,120,1378,1556,1176
2014,48,78,62,96,1810,1390,840
2014,49,225,81,135,2687,2030,1129
2014,50,341,108,280,3463,2414,1151
2014,51,349,136,302,3569,2595,1171
2014,52,398,119,224,2308,1242,1048
2014,53,428,150,211,2035,1684,1284
2015,1,560,152,104,1397,1776,1865
2015,2,344,189,60,1120,2675,2065
2015,3,385,216,61,1158,2984,2140
2015,4,446,236,60,1153,2652,2452
2015,5,390,233,39,1030,2351,2192
2015,6,237,161,34,1288,2104,1774
2015,7,87,120,31,1232,1953,1396
2015,8,89,132,35,1285,1580,1488
2015,9,170,129,21,1359,1751,1369
2015,10,67,88,23,1484,1577,1472
2015,11,79,89,20,1562,1374,1278
2015,12,55,66,17,1549,1362,1097
2015,13,44,63,16,1547,1182,1050
2015,14,37,45,10,1358,1024,950
2015,15,34,48,7,1142,1051,906
2015,16,22,21,9,922,654,858
2015,17,25,16,2,937,1000,912
2015,18,21,26,5,878,895,910
2015,19,82,26,3,752,821,905
2015,20,66,10,1,742,838,768
2015,21,61,12,1,562,620,643
2015,22,49,12,0,558,490,680
2015,23,6,10,0,521,546,576
2015,24,5,5,0,435,513,507
2015,25,12,3,0,548,450,459
2015,26,10,1,0,448,414,393
2015,27,4,1,0,435,383,420
2015,28,11,2,1,437,371,339
2015,29,7,9,0,415,388,293
2015,30,8,7,0,432,265,282
2015,31,10,5,0,438,353,283
2015,32,16,3,0,412,355,351
2015,33,20,5,0,384,542,350
2015,34,29,3,0,450,402,431
2015,35,45,3,2,428,531,419
2015,36,52,5,1,500,578,218
2015,37,68,11,0,643,641,471
2015,38,61,8,1,609,710,463
2015,39,39,6,6,542,775,348
2015,40,72,19,9,833,1016,558
2015,41,49,21,8,908,1084,653
2015,42,76,28,18,806,1162,677
2015,43,54,27,8,842,1152,715
2015,44,79,35,17,920,1143,800
2015,45,60,40,14,1020,1214,782
2015,46,110,22,12,978,1266,996
