日期,26日平均气温
2013-09-30,18.64375
2013-10-01,19.01
2013-10-02,19.27875
2013-10-03,19.66875
2013-10-04,19.7575
2013-10-05,18.955
2013-10-06,17.61
2013-10-07,17.2375
2013-10-08,17.06625
2013-10-09,16.67375
2013-10-10,16.2675
2013-10-11,15.90375
2013-10-12,15.29375
2013-10-13,14.72125
2013-10-14,15.005
2013-10-15,15.0525
2013-10-16,14.275
2013-10-17,13.32875
2013-10-18,12.24125
2013-10-19,10.8525
2013-10-20,9.935
2013-10-21,9.32625
2013-10-22,8.51125
2013-10-23,7.3275
2013-10-24,6.5975
2013-10-25,5.93125
2013-10-26,5.9225
2013-10-27,5.74625
2013-10-28,5.57
2013-10-29,5.6625
2013-10-30,6.5175
2013-10-31,7.44375
2013-11-01,8.005
2013-11-02,8.40375
2013-11-03,8.20125
2013-11-04,8.70375
2013-11-05,8.78125
2013-11-06,8.5675
2013-11-07,7.36125
2013-11-08,6.505
2013-11-09,6.72
2013-11-10,6.4075
2013-11-11,6.14125
2013-11-12,4.26875
2013-11-13,3.04875
2013-11-14,2.81625
2013-11-15,3.17875
2013-11-16,3.93875
2013-11-17,4.02875
2013-11-18,4.08
2013-11-19,3.95125
2013-11-20,5.30375
2013-11-21,5.955
2013-11-22,5.2175
2013-11-23,3.69625
2013-11-24,1.42125
2013-11-25,-0.1825
2013-11-26,-1.07375
2013-11-27,-2.3225
2013-11-28,-3.45875
2013-11-29,-4.40875
2013-11-30,-3.99375
2013-12-01,-3.1
2013-12-02,-1.795
2013-12-03,-1.07
2013-12-04,-0.4075
2013-12-05,-0.49125
2013-12-06,-1.55625
2013-12-07,-2.7325
2013-12-08,-4.08625
2013-12-09,-5.54375
2013-12-10,-7.0925
2013-12-11,-8.81125
2013-12-12,-10.4775
2013-12-13,-10.12625
2013-12-14,-9.2875
2013-12-15,-8.81
2013-12-16,-8.6
2013-12-17,-7.60125
2013-12-18,-6.52375
2013-12-19,-5.19875
2013-12-20,-4.34625
2013-12-21,-4.44625
2013-12-22,-4.5475
2013-12-23,-5.3125
2013-12-24,-6.7825
2013-12-25,-7.215
2013-12-26,-7.42375
2013-12-27,-7.875
2013-12-28,-7.2075
2013-12-29,-7.355
2013-12-30,-8.47875
2013-12-31,-7.92375
2014-01-01,-7.12375
2014-01-02,-8.34875
2014-01-03,-9.92625
2014-01-04,-9.90625
2014-01-05,-11.95125
2014-01-06,-14.095
2014-01-07,-14.6175
2014-01-08,-15.1375
2014-01-09,-15.18
2014-01-10,-13.43
2014-01-11,-11.51125
2014-01-12,-11
2014-01-13,-8.97125
2014-01-14,-6.0675
2014-01-15,-4.62125
2014-01-16,-2.80375
2014-01-17,-2.4975
2014-01-18,-2.8725
2014-01-19,-3.08625
2014-01-20,-3.055
2014-01-21,-4.9925
2014-01-22,-6.22
2014-01-23,-7.51875
2014-01-24,-8.63125
2014-01-25,-7.5625
2014-01-26,-7.00625
2014-01-27,-8.71875
2014-01-28,-11.06
2014-01-29,-10.795
2014-01-30,-9.61625
2014-01-31,-8.6375
2014-02-01,-8.4475
2014-02-02,-9.67375
2014-02-03,-11.18
2014-02-04,-10.4075
2014-02-05,-9.91
2014-02-06,-10.96
2014-02-07,-13.215
2014-02-08,-13.595
2014-02-09,-14.12
2014-02-10,-14.9925
2014-02-11,-15.8825
2014-02-12,-16.01625
2014-02-13,-14.93375
2014-02-14,-13.54
2014-02-15,-12.59375
2014-02-16,-11.67625
2014-02-17,-10.46375
2014-02-18,-7.81375
2014-02-19,-5.04125
2014-02-20,-3.385
2014-02-21,-3.075
2014-02-22,-2.5975
2014-02-23,-2.145
2014-02-24,-2.5025
2014-02-25,-3.55125
2014-02-26,-5.585
2014-02-27,-7.405
2014-02-28,-9.0575
2014-03-01,-9.955
2014-03-02,-11.66875
2014-03-03,-13.05375
2014-03-04,-13.14125
2014-03-05,-12.48125
2014-03-06,-11.375
2014-03-07,-9.6875
2014-03-08,-8.55125
2014-03-09,-7.4175
2014-03-10,-4.0675
2014-03-11,-1.05625
2014-03-12,0.15625
2014-03-13,1.06625
2014-03-14,2.70875
2014-03-15,2.96125
2014-03-16,2.93375
2014-03-17,2.76875
2014-03-18,2.26125
2014-03-19,2.0475
2014-03-20,2.4275
2014-03-21,2.97
2014-03-22,1.93625
2014-03-23,1.08
2014-03-24,1.085
2014-03-25,0.950000000000001
2014-03-26,0.32625
2014-03-27,0.68375
2014-03-28,0.67375
2014-03-29,0.33625
2014-03-30,1.405
2014-03-31,3.5825
2014-04-01,4.1525
2014-04-02,5.00375
2014-04-03,5.87
2014-04-04,5.45125
2014-04-05,5.42375
2014-04-06,6.05375
2014-04-07,6.17875
2014-04-08,5.55875
2014-04-09,6.3075
2014-04-10,7.49
2014-04-11,8.16375
2014-04-12,9.83375
2014-04-13,11.06
2014-04-14,10.36875
2014-04-15,9.2175
2014-04-16,8.9925
2014-04-17,8.64625
2014-04-18,7.81875
2014-04-19,7.965
2014-04-20,8.1025
2014-04-21,8.66
2014-04-22,9.8025
2014-04-23,11.0625
2014-04-24,11.685
2014-04-25,12.5075
2014-04-26,13.45375
2014-04-27,13.55875
2014-04-28,13.18875
2014-04-29,12.17625
2014-04-30,11.42625
2014-05-01,11.0225
2014-05-02,10.85125
2014-05-03,10.9175
2014-05-04,10.5875
2014-05-05,10.455
2014-05-06,10.4225
2014-05-07,11.87625
2014-05-08,13.985
2014-05-09,15.06375
2014-05-10,15.76875
2014-05-11,16.415
2014-05-12,17.35875
2014-05-13,17.28
2014-05-14,16.80125
2014-05-15,15.33625
2014-05-16,13.43
2014-05-17,12.69
2014-05-18,12.32125
2014-05-19,12.05625
2014-05-20,12.29625
2014-05-21,13.37
2014-05-22,14.1775
2014-05-23,15.1975
2014-05-24,16.575
2014-05-25,17.84125
2014-05-26,18.95375
2014-05-27,19.72375
2014-05-28,19.74375
2014-05-29,19.81
2014-05-30,20.55875
2014-05-31,21.27875
2014-06-01,21.97
2014-06-02,22.38125
2014-06-03,22.32375
2014-06-04,22.1025
2014-06-05,21.79625
2014-06-06,21.7225
2014-06-07,21.39625
2014-06-08,20.755
2014-06-09,20.09875
2014-06-10,19.56625
2014-06-11,19.28625
2014-06-12,19.17125
2014-06-13,18.90125
2014-06-14,18.72625
2014-06-15,18.9375
2014-06-16,19.49
2014-06-17,20.35875
