temp(ORI),temp
15.38888889,15.39
20.83333333,20.83
21.94444444,21.94
22.5,22.5
24.38888889,24.39
21.38888889,21.39
10.11111111,10.11
11.77777778,11.78
15.66666667,15.67
14.38888889,14.39
16.94444444,16.94
19.77777778,19.78
18.27777778,18.28
11.61111111,11.61
12.61111111,12.61
16.16666667,16.17
9.555555556,9.56
10.83333333,10.83
8.944444444,8.94
7.777777778,7.78
12.94444444,12.94
7.666666667,7.67
4.611111111,4.61
3.944444444,3.94
2.555555556,2.56
4.166666667,4.17
8.666666667,8.67
5.111111111,5.11
8.277777778,8.28
10.55555556,10.56
16,16
14.27777778,14.28
8.333333333,8.33
6.944444444,6.94
3.277777778,3.28
10.94444444,10.94
12.16666667,12.17
8.833333333,8.83
3.5,3.5
5.277777778,5.28
10.77777778,10.78
5.055555556,5.06
4.444444444,4.44
-3.888888889,-3.89
-0.944444444,-0.94
5.388888889,5.39
7.277777778,7.28
12.77777778,12.78
15.94444444,15.94
5.388888889,5.39
1.888888889,1.89
3.444444444,3.44
8.555555556,8.56
2.777777778,2.78
-4.277777778,-4.28
-7.111111111,-7.11
-1,-1
-2.166666667,-2.17
-6.888888889,-6.89
-1.777777778,-1.78
-1.888888889,-1.89
4.611111111,4.61
3.5,3.5
4.611111111,4.61
8.166666667,8.17
9.666666667,9.67
-3.666666667,-3.67
-7.722222222,-7.72
-9.666666667,-9.67
-4.5,-4.5
-6.5,-6.5
-7.5,-7.5
-7.555555556,-7.56
-7.055555556,-7.06
-0.611111111,-0.61
-0.555555556,-0.56
-6.555555556,-6.56
-6,-6
-3.666666667,-3.67
-1.777777778,-1.78
6.222222222,6.22
8.166666667,8.17
-0.333333333,-0.33
-1.166666667,-1.17
-8.833333333,-8.83
-10.88888889,-10.89
-2.388888889,-2.39
-0.111111111,-0.11
2.888888889,2.89
6,6
-4.055555556,-4.06
-11.05555556,-11.06
-4.222222222,-4.22
-4.722222222,-4.72
-9.777777778,-9.78
-11.94444444,-11.94
-0.777777778,-0.78
-9.5,-9.5
-22.05555556,-22.06
-15.94444444,-15.94
-10.38888889,-10.39
-4.777777778,-4.78
2.611111111,2.61
2.944444444,2.94
3.611111111,3.61
4.833333333,4.83
0.722222222,0.72
-5.333333333,-5.33
-0.777777778,-0.78
-9.666666667,-9.67
-3.111111111,-3.11
