REGION,YEAR,WEEK,ILITOTAL,PERCENT POSITIVE,influenza,EMA
Iowa,2013,40,62,25,15.5,15.5
Iowa,2013,41,71,0,0,12.4
Iowa,2013,42,77,4,3.08,10.536
Iowa,2013,43,83,0,0,8.4288
Iowa,2013,44,106,11.11,11.7766,9.09836
Iowa,2013,45,97,16.22,15.7334,10.425368
Iowa,2013,46,69,20,13.8,11.1002944
Iowa,2013,47,72,26.19,18.8568,12.65159552
Iowa,2013,48,50,52.94,26.47,15.41527642
Iowa,2013,49,82,52.63,43.1566,20.96354113
Iowa,2013,50,88,65.91,58.0008,28.37099291
Iowa,2013,51,131,75,98.25,42.346794324992
Iowa,2013,52,104,74.63,77.6152,49.4004754599936
Iowa,2014,1,139,72.52,100.8028,59.6809403679949
Iowa,2014,2,174,74.14,129.0036,73.5454722943959
Iowa,2014,3,214,67.21,143.8294,87.6022578355167
Iowa,2014,4,186,51.96,96.6456,89.4109262684134
Iowa,2014,5,161,50,80.5,87.6287410147307
Iowa,2014,6,141,40,56.4,81.3829928117846
Iowa,2014,7,133,28,37.24,72.5543942494277
Iowa,2014,8,114,31.58,36.0012,65.2437553995421
Iowa,2014,9,102,23.53,24.0006,56.9951243196337
Iowa,2014,10,80,34.62,27.696,51.135299455707
Iowa,2014,11,80,41.94,33.552,47.6186395645656
Iowa,2014,12,76,5.56,4.2256,38.9400316516525
Iowa,2014,13,57,36.84,20.9988,35.351785321322
Iowa,2014,14,54,25,13.5,30.9814282570576
Iowa,2014,15,70,38.46,26.922,30.1695426056461
Iowa,2014,16,62,30.77,19.0774,27.9511140845169
Iowa,2014,17,66,29.02,19.1532,26.1915312676135
Iowa,2014,18,55,27.27,14.9985,23.9529250140908
Iowa,2014,19,41,38.46,15.7686,22.3160600112726
Iowa,2014,20,39,2.66272,1.0384608,18.0605401690181
Iowa,2014,21,40,2.0649,0.82596,14.6136241352145
Iowa,2014,22,48,2.53968,1.2190464,11.9347085881716
Iowa,2014,23,42,0,0,9.54776687053727
Iowa,2014,24,41,1.01695,0.4169495,7.72160339642982
Iowa,2014,25,50,0.398406,0.199203,6.21712331714385
Iowa,2014,26,31,0,0,4.97369865371508
Iowa,2014,27,34,0,0,3.97895892297207
Iowa,2014,28,41,0.796813,0.32669333,3.24850580437765
Iowa,2014,29,36,1.24481,0.4481316,2.68843096350212
Iowa,2014,30,37,0.390625,0.14453125,2.1796510208017
Iowa,2014,31,34,0,0,1.74372081664136
Iowa,2014,32,34,0,0,1.39497665331309
Iowa,2014,33,0,0.30581,0,1.11598132265047
Iowa,2014,34,40,0,0,0.892785058120376
Iowa,2014,35,57,0,0,0.714228046496301
Iowa,2014,36,0,0.571429,0,0.571382437197041
Iowa,2014,37,68,0.185185,0.1259258,0.482291109757633
Iowa,2014,38,87,0.4158,0.361746,0.458182087806106
Iowa,2014,39,60,0.21692,0.130152,0.392576070244885
Iowa,2014,40,82,0,0,0.314060856195908
Iowa,2014,41,102,3.57,3.6414,0.979528684956726
Iowa,2014,42,95,9.41,8.9395,2.57152294796538
Iowa,2014,43,96,13.04,12.5184,4.56089835837231
Iowa,2014,44,117,12.79,14.9643,6.64157868669785
Iowa,2014,45,98,9.3,9.114,7.13606294935828
Iowa,2014,46,79,11.25,8.8875,7.48635035948662
Iowa,2014,47,120,21.65,25.98,11.1850802875893
Iowa,2014,48,96,30.26,29.0496,14.7579842300714
Iowa,2014,49,135,33.5,45.225,20.8513873840572
Iowa,2014,50,280,53.74,150.472,46.7755099072457
Iowa,2014,51,302,43.02,129.9204,63.4044879257966
Iowa,2014,52,224,37.56,84.1344,67.5504703406373
Iowa,2014,53,211,38.42,81.0662,70.2536162725098
Iowa,2015,1,104,38.35,39.884,64.1796930180079
Iowa,2015,2,60,28.57,17.142,54.7721544144063
Iowa,2015,3,61,24.4,14.884,46.794523531525
Iowa,2015,4,60,23.81,14.286,40.29281883
Iowa,2015,5,39,19.58,7.6362,33.761495060176
Iowa,2015,6,34,14.39,4.8926,27.9877160481408
Iowa,2015,7,31,19.29,5.9799,23.5861528385127
Iowa,2015,8,35,19.33,6.7655,20.2220222708101
Iowa,2015,9,21,20.42,4.2882,17.0352578166481
Iowa,2015,10,23,24.16,5.5568,14.7395662533185
Iowa,2015,11,20,16.78,3.356,12.4628530026548
Iowa,2015,12,17,17.54,2.9818,10.5666424021238
Iowa,2015,13,16,17.24,2.7584,9.00499392169906
Iowa,2015,14,10,17.7,1.77,7.55799513735925
Iowa,2015,15,7,11.88,0.8316,6.2127161098874
Iowa,2015,16,9,13.33,1.1997,5.21011288790992
Iowa,2015,17,2,16.67,0.3334,4.23477031032794
Iowa,2015,18,5,12.73,0.6365,3.51511624826235
Iowa,2015,19,3,0,0,2.81209299860988
Iowa,2015,20,1,3.23,0.0323,2.2561343988879
Iowa,2015,21,1,4,0.04,1.81290751911032
Iowa,2015,22,0,5.26,0,1.45032601528826
Iowa,2015,23,0,6.67,0,1.16026081223061
Iowa,2015,24,0,0,0,0.928208649784485
Iowa,2015,25,0,0,0,0.742566919827588
Iowa,2015,26,0,0,0,0.594053535862071
Iowa,2015,27,0,0.3367,0,0.475242828689657
Iowa,2015,28,1,0.295858,0.00295858,0.380785978951725
Iowa,2015,29,0,1.02389,0,0.30462878316138
Iowa,2015,30,0,77.27,0,0.243703026529104
Iowa,2015,31,0,6.67,0,0.194962421223283
Iowa,2015,32,0,0,0,0.155969936978627
Iowa,2015,33,0,11.76,0,0.124775949582901
Iowa,2015,34,0,0,0,0.0998207596663211
Iowa,2015,35,2,7.69,0.1538,0.110616607733057
Iowa,2015,36,1,6.98,0.0698,0.102453286186446
Iowa,2015,37,0,2.04,0,0.0819626289491564
Iowa,2015,38,1,1.82,0.0182,0.0692101031593251
Iowa,2015,39,6,3.13,0.1878,0.0929280825274601
Iowa,2015,40,9,0,0,0.0743424660219681
Iowa,2015,41,8,1.82,0.1456,0.0885939728175745
Iowa,2015,42,18,3.23,0.5814,0.18715517825406
Iowa,2015,43,8,2.86,0.2288,0.195484142603248
Iowa,2015,44,17,1.1,0.187,0.193787314082598
Iowa,2015,45,14,0,0,0.155029851266079
Iowa,2015,46,12,0,0,0.124023881012863
Iowa,2015,47,4,0,0,0.0992191048102903
Iowa,2015,48,9,0,0,0.0793752838482322
Iowa,2015,49,3,0,0,0.0635002270785858
Iowa,2015,50,8,2.27,0.1816,0.0871201816628686
Iowa,2015,51,8,1.03,0.0824,0.0861761453302949
Iowa,2015,52,10,0,0,0.0689409162642359
Iowa,2016,1,16,0,0,0.0551527330113887
Iowa,2016,2,13,1.14,0.1482,0.073762186409111
Iowa,2016,3,6,1.96,0.1176,0.0825297491272888
Iowa,2016,4,13,3.09,0.4017,0.146363799301831
Iowa,2016,5,8,4.92,0.3936,0.195811039441465
Iowa,2016,6,14,5,0.7,0.296648831553172
Iowa,2016,7,28,4.86,1.3608,0.509479065242538
Iowa,2016,8,31,14.29,4.4299,1.29356325219403
Iowa,2016,9,37,14.13,5.2281,2.08047060175522
Iowa,2016,10,25,12.2,3.05,2.27437648140418
Iowa,2016,11,10,9.74,0.974,2.01430118512334
Iowa,2016,12,12,14.36,1.7232,1.95608094809867
Iowa,2016,13,20,7.59,1.518,1.86846475847894
Iowa,2016,14,6,6.11,0.3666,1.56809180678315
Iowa,2016,15,11,3.96,0.4356,1.34159344542652
Iowa,2016,16,11,6.17,0.6787,1.20901475634122
Iowa,2016,17,5,4.05,0.2025,1.00771180507297
Iowa,2016,18,6,3.13,0.1878,0.84372944405838
Iowa,2016,19,0,0,0,0.674983555246704
Iowa,2016,20,1,0,0,0.539986844197363
Iowa,2016,21,2,4.76,0.0952,0.45102947535789
Iowa,2016,22,1,12.5,0.125,0.385823580286312
Iowa,2016,23,0,4.17,0,0.30865886422905
Iowa,2016,24,1,0,0,0.24692709138324
Iowa,2016,25,0,0,0,0.197541673106592
Iowa,2016,26,0,0,0,0.158033338485274
Iowa,2016,27,0,5.26,0,0.126426670788219
Iowa,2016,28,0,0,0,0.101141336630575
Iowa,2016,29,0,5,0,0.0809130693044601
Iowa,2016,30,1,0,0,0.0647304554435681
Iowa,2016,31,0,0,0,0.0517843643548545
Iowa,2016,32,0,0,0,0.0414274914838836
Iowa,2016,33,0,0,0,0.0331419931871069
Iowa,2016,34,3,0,0,0.0265135945496855
Iowa,2016,35,0,0,0,0.0212108756397484
Iowa,2016,36,0,0,0,0.0169687005117987
Iowa,2016,37,0,0,0,0.013574960409439
Iowa,2016,38,1,2.27,0.0227,0.0153999683275512
Iowa,2016,39,2,0,0,0.0123199746620409
Iowa,2016,40,4,0,0,0.00985597972963276
Iowa,2016,41,6,0,0,0.00788478378370621
Iowa,2016,42,4,0,0,0.00630782702696496
Iowa,2016,43,7,1.69,0.1183,0.028706261621572
Iowa,2016,44,3,3.57,0.1071,0.0443850092972576
Iowa,2016,45,17,0.84,0.1428,0.0640680074378061
Iowa,2016,46,14,0,0,0.0512544059502449
Iowa,2016,47,9,1.55,0.1395,0.0689035247601959
Iowa,2016,48,27,1.82,0.4914,0.153402819808157
Iowa,2016,49,13,1.68,0.2184,0.166402255846525
Iowa,2016,50,13,3.23,0.4199,0.21710180467722
Iowa,2016,51,14,5.45,0.763,0.326281443741776
Iowa,2016,52,23,10.69,2.4587,0.752765154993421
Iowa,2017,1,21,16,3.36,1.27421212399474
Iowa,2017,2,29,12.89,3.7381,1.76698969919579
Iowa,2017,3,56,24.38,13.6528,4.14415175935663
Iowa,2017,4,106,27.57,29.2242,9.16016140748531
Iowa,2017,5,87,34.24,29.7888,13.2858891259882
Iowa,2017,6,125,33.05,41.3125,18.8912113007906
Iowa,2017,7,108,32.52,35.1216,22.1372890406325
Iowa,2017,8,73,27.97,20.4181,21.793451232506
Iowa,2017,9,42,23.35,9.807,19.3961609860048
Iowa,2017,10,37,23.05,8.5285,17.2226287888038
Iowa,2017,11,13,16.04,2.0852,14.1951430310431
Iowa,2017,12,25,20.26,5.065,12.3691144248345
Iowa,2017,13,11,19.32,2.1252,10.3203315398676
Iowa,2017,14,14,17.62,2.4668,8.74962523189405
Iowa,2017,15,5,12.57,0.6285,7.12540018551524
Iowa,2017,16,7,10,0.7,5.84032014841219
Iowa,2017,17,5,11.54,0.577,4.78765611872976
Iowa,2017,18,6,4.69,0.2814,3.8864048949838
Iowa,2017,19,6,6.17,0.3702,3.18316391598704
Iowa,2017,20,2,3.61,0.0722,2.56097113278964
Iowa,2017,21,0,2.99,0,2.04877690623171
Iowa,2017,22,2,2.27,0.0454,1.64810152498537
Iowa,2017,23,1,0,0,1.31848121998829
Iowa,2017,24,1,0,0,1.05478497599063
Iowa,2017,25,0,0,0,0.843827980792508
Iowa,2017,26,2,3.23,0.0646,0.687982384634006
Iowa,2017,27,1,1.61,0.0161,0.553605907707205
Iowa,2017,28,1,0.8,0.008,0.444484726165764
Iowa,2017,29,0,0,0,0.355587780932611
Iowa,2017,30,0,0,0,0.284470224746089
Iowa,2017,31,0,0,0,0.227576179796871
Iowa,2017,32,0,0,0,0.182060943837497
Iowa,2017,33,0,0,0,0.145648755069998
Iowa,2017,34,0,0,0,0.116519004055998
Iowa,2017,35,1,0,0,0.0932152032447985
Iowa,2017,36,1,0,0,0.0745721625958388
Iowa,2017,37,0,0,0,0.059657730076671
Iowa,2017,38,0,3.23,0,0.0477261840613368
Iowa,2017,39,0,0,0,0.0381809472490695
Iowa,2017,40,12,0,0,0.0305447577992556
Iowa,2017,41,13,0.85,0.1105,0.0465358062394045
Iowa,2017,42,9,0.72,0.0648,0.0501886449915236
Iowa,2017,43,11,0,0,0.0401509159932189
Iowa,2017,44,21,0,0,0.0321207327945751
Iowa,2017,45,22,2.1,0.462,0.11809658623566
Iowa,2017,46,17,4.76,0.8092,0.256317268988528
Iowa,2017,47,24,5.23,1.2552,0.456093815190822
Iowa,2017,48,40,9.62,3.848,1.13447505215266
Iowa,2017,49,47,12.12,5.6964,2.04686004172213
Iowa,2017,50,47,11.79,5.5413,2.7457480333777
Iowa,2017,51,51,20.49,10.4499,4.28657842670216
Iowa,2017,52,83,29.39,24.3937,8.30800274136173
Iowa,2018,1,52,29.14,15.1528,9.67696219308938
Iowa,2018,2,96,33.02,31.6992,14.0814097544715
Iowa,2018,3,125,37.17,46.4625,20.5576278035772
Iowa,2018,4,172,35.45,60.974,28.6409022428618
Iowa,2018,5,172,35.88,61.7136,35.2554417942894
Iowa,2018,6,150,35.9,53.85,38.9743534354315
Iowa,2018,7,95,34.96,33.212,37.8218827483452
Iowa,2018,8,91,34.2,31.122,36.4819061986762
Iowa,2018,9,54,34.52,18.6408,32.9136849589409
Iowa,2018,10,64,29.48,18.8672,30.1043879671528
Iowa,2018,11,61,21.09,12.8649,26.6564903737222
Iowa,2018,12,34,20.6,7.004,22.7259922989778
Iowa,2018,13,42,17.85,7.497,19.6801938391822
Iowa,2018,14,27,17.28,4.6656,16.6772750713458
Iowa,2018,15,12,9.54,1.1448,13.5707800570766
Iowa,2018,16,8,11.56,0.9248,11.0415840456613
Iowa,2018,17,11,5.21,0.5731,8.94788723652904
Iowa,2018,18,7,4.05,0.2835,7.21500978922323
Iowa,2018,19,5,4.35,0.2175,5.81550783137858
Iowa,2018,20,6,0,0,4.65240626510287
Iowa,2018,21,3,0,0,3.72192501208229
Iowa,2018,22,0,0,0,2.97754000966584
Iowa,2018,23,0,0,0,2.38203200773267
Iowa,2018,24,0,0,0,1.90562560618613
Iowa,2018,25,0,0,0,1.52450048494891
Iowa,2018,26,0,1.67,0,1.21960038795913
Iowa,2018,27,0,0,0,0.975680310367301
Iowa,2018,28,2,1.33,0.0266,0.785864248293841
Iowa,2018,29,1,0,0,0.628691398635073
Iowa,2018,30,1,0,0,0.502953118908058
Iowa,2018,31,1,0,0,0.402362495126447
Iowa,2018,32,4,0,0,0.321889996101157
Iowa,2018,33,9,0,0,0.257511996880926
Iowa,2018,34,8,0,0,0.206009597504741
Iowa,2018,35,7,0,0,0.164807678003793
Iowa,2018,36,7,0,0,0.131846142403034
Iowa,2018,37,10,0,0,0.105476913922427
Iowa,2018,38,12,0,0,0.0843815311379418
Iowa,2018,39,11,0,0,0.0675052249103534
Iowa,2018,40,32,0,0,0.0540041799282828
Iowa,2018,41,35,0,0,0.0432033439426262
Iowa,2018,42,33,0,0,0.034562675154101
Iowa,2018,43,45,0.37,0.1665,0.0609501401232808
Iowa,2018,44,36,0,0,0.0487601120986246
Iowa,2018,45,31,0,0,0.0390080896788997
Iowa,2018,46,28,0,0,0.0312064717431198
Iowa,2018,47,32,0.84,0.2688,0.0787251773944958
Iowa,2018,48,35,0.39,0.1365,0.0902801419155967
Iowa,2018,49,39,0.46,0.1794,0.108104113532477
Iowa,2018,50,43,1.09,0.4687,0.180223290825982
Iowa,2018,51,41,1,0.41,0.226178632660786
Iowa,2018,52,67,3.91,2.6197,0.704882906128628
Iowa,2019,1,64,4.32,2.7648,1.1168663249029
Iowa,2019,2,67,8.12,5.4404,1.98157305992232
Iowa,2019,3,108,9.17,9.9036,3.56597844793786
Iowa,2019,4,95,10.93,10.3835,4.92948275835029
Iowa,2019,5,106,15.77,16.7162,7.28682620668023
Iowa,2019,6,100,22.7,22.7,10.3694609653442
Iowa,2019,7,147,34.46,50.6562,18.4268087722754
Iowa,2019,8,153,41.82,63.9846,27.5383670178203
Iowa,2019,9,219,42.4,92.856,40.6018936142562
Iowa,2019,10,250,38.52,96.3,51.741514891405
Iowa,2019,11,255,38.59,98.4045,61.074111913124
Iowa,2019,12,141,36.9,52.029,59.2650895304992
Iowa,2019,13,100,22.02,22.02,51.8160716243994
Iowa,2019,14,69,19.02,13.1238,44.0776172995195
Iowa,2019,15,61,14.43,8.8023,37.0225538396156
Iowa,2019,16,48,8.73,4.1904,30.4561230716925
Iowa,2019,17,26,6.32,1.6432,24.693538457354
Iowa,2019,18,20,8.41,1.682,20.0912307658832
Iowa,2019,19,24,7.69,1.8456,16.4421046127066
Iowa,2019,20,20,4.72,0.944,13.3424836901652
Iowa,2019,21,21,2.56,0.5376,10.7815069521322
Iowa,2019,22,17,1.33,0.2261,8.67042556170576
Iowa,2019,23,11,0.74,0.0814,6.95262044936461
Iowa,2019,24,13,0,0,5.56209635949169
Iowa,2019,25,7,0.79,0.0553,4.46073708759335
Iowa,2019,26,12,0,0,3.56858967007468
Iowa,2019,27,8,1.37,0.1096,2.87679173605974
Iowa,2019,28,15,0,0,2.3014333888478
Iowa,2019,29,9,0,0,1.84114671107824
Iowa,2019,30,7,1.45,0.1015,1.49321736886259
Iowa,2019,31,14,1.25,0.175,1.22957389509007
Iowa,2019,32,9,1.19,0.1071,1.00507911607206
Iowa,2019,33,9,1.19,0.1071,0.825483292857646
Iowa,2019,34,8,1.09,0.0872,0.677826634286117
Iowa,2019,35,17,0,0,0.542261307428893
Iowa,2019,36,17,0,0,0.433809045943115
Iowa,2019,37,7,0.63,0.0441,0.355867236754492
Iowa,2019,38,21,0,0,0.284693789403593
Iowa,2019,39,19,0,0,0.227755031522875
Iowa,2019,40,60,0,0,0.1822040252183
Iowa,2019,41,57,1.7,0.969,0.33956322017464
Iowa,2019,42,66,0,0,0.271650576139712
Iowa,2019,43,81,0,0,0.21732046091177
Iowa,2019,44,71,0.49,0.3479,0.243436368729416
Iowa,2019,45,83,1.22,1.0126,0.397269094983533
Iowa,2019,46,80,1.44,1.152,0.548215275986826
Iowa,2019,47,68,1.37,0.9316,0.624892220789461
Iowa,2019,48,61,0.47,0.2867,0.557253776631569
Iowa,2019,49,85,4,3.4,1.12580302130526
Iowa,2019,50,91,4.81,4.3771,1.7760624170442
Iowa,2019,51,100,11.15,11.15,3.65084993363536
Iowa,2019,52,114,19.73,22.4922,7.41911994690829
Iowa,2020,1,135,22.69,30.6315,12.0615959575266
Iowa,2020,2,146,20.23,29.5358,15.5564367660213
Iowa,2020,3,147,22.91,33.6777,19.180689412817
Iowa,2020,4,142,28.69,40.7398,23.4925115302536
Iowa,2020,5,198,35.32,69.9336,32.7807292242029
Iowa,2020,6,272,39.58,107.6576,47.7561033793623
Iowa,2020,7,297,37.07,110.0979,60.2244627034899
Iowa,2020,8,294,49.11,144.3834,77.0562501627919
Iowa,2020,9,206,42.37,87.2822,79.1014401302335
Iowa,2020,10,242,43.19,104.5198,84.1851121041868
Iowa,2020,11,169,32.23,54.4687,78.2418296833495
Iowa,2020,12,71,21.62,15.3502,65.6635037466796
Iowa,2020,13,36,2.63,0.9468,52.7201629973437
Iowa,2020,14,16,5.05,0.808,42.3377303978749
Iowa,2020,15,12,0,0,33.87018432
Iowa,2020,16,10,1.69,0.169,27.12994745
Iowa,2020,17,19,0,0,21.703957963712
Iowa,2020,18,17,0,0,17.3631663709696
Iowa,2020,19,12,4.17,0.5004,13.9906130967757
Iowa,2020,20,15,0,0,11.1924904774205
Iowa,2020,21,14,0,0,8.95399238193643
Iowa,2020,22,6,0,0,7.16319390554914
Iowa,2020,23,13,0,0,5.73055512443931
Iowa,2020,24,12,0,0,4.58444409955145
Iowa,2020,25,16,0,0,3.66755527964116
Iowa,2020,26,35,4,1.4,3.21404422371293
Iowa,2020,27,22,0,0,2.57123537897034
Iowa,2020,28,26,0,0,2.05698830317627
Iowa,2020,29,17,0,0,1.64559064254102
Iowa,2020,30,19,0,0,1.31647251403282
Iowa,2020,31,14,0,0,1.05317801122625
Iowa,2020,32,22,0,0,0.842542408981002
Iowa,2020,33,21,0,0,0.674033927184802
Iowa,2020,34,51,0,0,0.539227141747841
Iowa,2020,35,598,0,0,0.431381713398273
Iowa,2020,36,308,0,0,0.345105370718619
Iowa,2020,37,116,0,0,0.276084296574895
Iowa,2020,38,92,0,0,0.220867437259916
Iowa,2020,39,104,0,0,0.176693949807933
