日期,26日平均气温
2013-09-30,19.1675
2013-10-01,19.61625
2013-10-02,20.0775
2013-10-03,20.44875
2013-10-04,20.8375
2013-10-05,21.08125
2013-10-06,20.33125
2013-10-07,19.59625
2013-10-08,19.28
2013-10-09,18.75625
2013-10-10,18.21375
2013-10-11,17.7375
2013-10-12,17.18
2013-10-13,16.33
2013-10-14,16.17125
2013-10-15,16.595
2013-10-16,16.3725
2013-10-17,15.82125
2013-10-18,15.02375
2013-10-19,13.855
2013-10-20,12.83625
2013-10-21,12.245
2013-10-22,11.3975
2013-10-23,10.0875
2013-10-24,9.03625
2013-10-25,8.12375
2013-10-26,7.72125
2013-10-27,7.515
2013-10-28,7.32625
2013-10-29,7.19375
2013-10-30,8.1475
2013-10-31,9.50125
2013-11-01,10.255
2013-11-02,10.80625
2013-11-03,10.67
2013-11-04,10.88375
2013-11-05,11.2025
2013-11-06,11.4675
2013-11-07,10.31
2013-11-08,8.8925
2013-11-09,8.7775
2013-11-10,8.69625
2013-11-11,8.7675
2013-11-12,7.64125
2013-11-13,6.00375
2013-11-14,4.83875
2013-11-15,4.98375
2013-11-16,5.6275
2013-11-17,6.39125
2013-11-18,6.51
2013-11-19,6.05375
2013-11-20,6.46375
2013-11-21,7.65875
2013-11-22,8.12875
2013-11-23,7.23875
2013-11-24,5.24125
2013-11-25,2.92125
2013-11-26,1.785
2013-11-27,0.78625
2013-11-28,-0.00375000000000003
2013-11-29,-1.2325
2013-11-30,-1.7725
2013-12-01,-1.19125
2013-12-02,0.1275
2013-12-03,1.39625
2013-12-04,2.8425
2013-12-05,3.75375
2013-12-06,3.41375
2013-12-07,2.52875
2013-12-08,1.49125
2013-12-09,0.388750000000001
2013-12-10,-1.16
2013-12-11,-2.93
2013-12-12,-5.55625
2013-12-13,-6.38125
2013-12-14,-5.76
2013-12-15,-5.3325
2013-12-16,-5.1575
2013-12-17,-4.99875
2013-12-18,-4.3725
2013-12-19,-2.92625
2013-12-20,-0.59875
2013-12-21,0.28125
2013-12-22,0.605
2013-12-23,0.66375
2013-12-24,-0.15625
2013-12-25,-0.25625
2013-12-26,-0.08625
2013-12-27,-0.66375
2013-12-28,-1.33375
2013-12-29,-1.55375
2013-12-30,-2.8875
2013-12-31,-3.0275
2014-01-01,-1.975
2014-01-02,-2.21625
2014-01-03,-3.58
2014-01-04,-3.97
2014-01-05,-4.86125
2014-01-06,-7.5575
2014-01-07,-8.8875
2014-01-08,-9.45125
2014-01-09,-10.04375
2014-01-10,-9.10875
2014-01-11,-7.095
2014-01-12,-6.525
2014-01-13,-5.2375
2014-01-14,-2.56
2014-01-15,-0.6375
2014-01-16,0.46
2014-01-17,0.62125
2014-01-18,-0.2675
2014-01-19,-1.06625
2014-01-20,-0.955
2014-01-21,-2.61
2014-01-22,-4.02
2014-01-23,-5.17625
2014-01-24,-6.435
2014-01-25,-5.85625
2014-01-26,-5.34
2014-01-27,-6.20125
2014-01-28,-8.4375
2014-01-29,-8.94875
2014-01-30,-8.10875
2014-01-31,-6.81875
2014-02-01,-5.3575
2014-02-02,-5.7525
2014-02-03,-6.755
2014-02-04,-6.54625
2014-02-05,-5.37625
2014-02-06,-5.76625
2014-02-07,-7.44875
2014-02-08,-8.38625
2014-02-09,-9.21375
2014-02-10,-10.24625
2014-02-11,-11.12125
2014-02-12,-11.7175
2014-02-13,-11.84
2014-02-14,-10.62875
2014-02-15,-9.64875
2014-02-16,-8.92
2014-02-17,-8.43
2014-02-18,-6.46125
2014-02-19,-3.81
2014-02-20,-1.33
2014-02-21,-0.0887499999999997
2014-02-22,0.72625
2014-02-23,1.6675
2014-02-24,1.67375
2014-02-25,1.47125
2014-02-26,-0.0312500000000002
2014-02-27,-1.525
2014-02-28,-3.2675
2014-03-01,-3.6475
2014-03-02,-4.85
2014-03-03,-6.24625
2014-03-04,-6.695
2014-03-05,-6.61
2014-03-06,-5.7175
2014-03-07,-4.6375
2014-03-08,-3.50125
2014-03-09,-3.3825
2014-03-10,-1.58375
2014-03-11,1.13125
2014-03-12,2.6875
2014-03-13,3.14625
2014-03-14,4.44125
2014-03-15,5.1425
2014-03-16,4.97875
2014-03-17,4.61875
2014-03-18,4.17
2014-03-19,3.97875
2014-03-20,4.0475
2014-03-21,5.15875
2014-03-22,4.985
2014-03-23,4.245
2014-03-24,3.97375
2014-03-25,4.15875
2014-03-26,3.56625
2014-03-27,3.33625
2014-03-28,3.81875
2014-03-29,3.38125
2014-03-30,3.19625
2014-03-31,4.3925
2014-04-01,5.84375
2014-04-02,7.03125
2014-04-03,8.74375
2014-04-04,9.24125
2014-04-05,8.85
2014-04-06,9.06375
2014-04-07,9.3825
2014-04-08,9.175
2014-04-09,8.98125
2014-04-10,9.56125
2014-04-11,9.70375
2014-04-12,10.4875
