REGION,YEAR,WEEK,ILITOTAL
Indiana,2013,40,90
Indiana,2013,41,88
Indiana,2013,42,94
Indiana,2013,43,102
Indiana,2013,44,98
Indiana,2013,45,113
Indiana,2013,46,111
Indiana,2013,47,98
Indiana,2013,48,97
Indiana,2013,49,117
Indiana,2013,50,147
Indiana,2013,51,235
Indiana,2013,52,305
Indiana,2014,1,223
Indiana,2014,2,208
Indiana,2014,3,263
Indiana,2014,4,274
Indiana,2014,5,240
Indiana,2014,6,198
Indiana,2014,7,156
Indiana,2014,8,152
Indiana,2014,9,152
Indiana,2014,10,116
Indiana,2014,11,95
Indiana,2014,12,117
Indiana,2014,13,77
Indiana,2014,14,78
Indiana,2014,15,49
Indiana,2014,16,50
Indiana,2014,17,50
Indiana,2014,18,63
Indiana,2014,19,49
Indiana,2014,20,82
Indiana,2014,21,30
Indiana,2014,22,19
Indiana,2014,23,23
Indiana,2014,24,22
Indiana,2014,25,17
Indiana,2014,26,29
Indiana,2014,27,12
Indiana,2014,28,19
Indiana,2014,29,5
Indiana,2014,30,8
Indiana,2014,31,23
Indiana,2014,32,24
Indiana,2014,33,19
Indiana,2014,34,23
Indiana,2014,35,23
Indiana,2014,36,29
Indiana,2014,37,32
Indiana,2014,38,34
Indiana,2014,39,29
Indiana,2014,40,46
Indiana,2014,41,76
Indiana,2014,42,59
Indiana,2014,43,65
Indiana,2014,44,66
Indiana,2014,45,79
Indiana,2014,46,95
Indiana,2014,47,176
Indiana,2014,48,126
Indiana,2014,49,342
Indiana,2014,50,543
Indiana,2014,51,590
Indiana,2014,52,466
Indiana,2014,53,273
Indiana,2015,1,239
Indiana,2015,2,280
Indiana,2015,3,176
Indiana,2015,4,150
Indiana,2015,5,184
Indiana,2015,6,180
Indiana,2015,7,128
Indiana,2015,8,117
Indiana,2015,9,118
Indiana,2015,10,155
Indiana,2015,11,142
Indiana,2015,12,107
Indiana,2015,13,115
Indiana,2015,14,102
Indiana,2015,15,99
Indiana,2015,16,67
Indiana,2015,17,71
Indiana,2015,18,44
Indiana,2015,19,40
