REGION,YEAR,WEEK,ILITOTAL,PERCENT POSITIVE,influenza,cases
Indiana,2013,40,90,0,0,0
Indiana,2013,41,88,0,0,0
Indiana,2013,42,94,0,0,0
Indiana,2013,43,102,0,0,0
Indiana,2013,44,98,4.23,4.1454,0.82908
Indiana,2013,45,113,4.71,5.3223,1.727724
Indiana,2013,46,111,0,0,1.3821792
Indiana,2013,47,98,3.33,3.2634,1.75842336
Indiana,2013,48,97,2.82,2.7354,1.953818688
Indiana,2013,49,117,12.15,14.2155,4.40615495
Indiana,2013,50,147,15.38,22.6086,8.04664396
Indiana,2013,51,235,20.18,47.423,15.921915168256
Indiana,2013,52,305,25.24,76.982,28.1339321346048
Indiana,2014,1,223,33.62,74.9726,37.5016657076838
Indiana,2014,2,208,32.87,68.3696,43.6752525661471
Indiana,2014,3,263,29.3,77.059,50.3520020529177
Indiana,2014,4,274,26.58,72.8292,54.8474416423341
Indiana,2014,5,240,14.29,34.296,50.7371533138673
Indiana,2014,6,198,16.67,33.0066,47.1910426510939
Indiana,2014,7,156,17.32,27.0192,43.1566741208751
Indiana,2014,8,152,16.67,25.3384,39.5930192967001
Indiana,2014,9,152,4.08,6.2016,32.9147354373601
Indiana,2014,10,116,10.28,11.9248,28.7167483498881
Indiana,2014,11,95,6.8,6.46,24.2653986799104
Indiana,2014,12,117,5.43,6.3531,20.6829389439284
Indiana,2014,13,77,9.33,7.1841,17.9831711551427
Indiana,2014,14,78,1.92,1.4976,14.6860569241142
Indiana,2014,15,49,0,0,11.7488455392913
Indiana,2014,16,50,3.85,1.925,9.78407643143306
Indiana,2014,17,50,26.47,13.235,10.4742611451464
Indiana,2014,18,63,5.88,3.7044,9.12028891611716
Indiana,2014,19,49,3.51,1.7199,7.64021113289373
Indiana,2014,20,82,7.14,5.8548,7.28312890631498
Indiana,2014,21,30,2.22,0.666,5.95970312505199
Indiana,2014,22,19,0,0,4.76776250004159
Indiana,2014,23,23,1.54,0.3542,3.88505000003327
Indiana,2014,24,22,0,0,3.10804000002662
Indiana,2014,25,17,7.14,1.2138,2.72919200002129
Indiana,2014,26,29,0,0,2.18335360001704
Indiana,2014,27,12,0,0,1.74668288001363
Indiana,2014,28,19,0,0,1.3973463040109
Indiana,2014,29,5,0,0,1.11787704320872
Indiana,2014,30,8,0,0,0.894301634566978
Indiana,2014,31,23,0,0,0.715441307653582
Indiana,2014,32,24,3.33,0.7992,0.732193046122866
Indiana,2014,33,19,2.13,0.4047,0.666694436898293
Indiana,2014,34,23,0,0,0.533355549518634
Indiana,2014,35,23,0,0,0.426684439614907
Indiana,2014,36,29,0,0,0.341347551691926
Indiana,2014,37,32,0,0,0.273078041353541
Indiana,2014,38,34,1.28,0.4352,0.305502433082833
Indiana,2014,39,29,1.22,0.3538,0.315161946466266
Indiana,2014,40,46,0,0,0.252129557173013
Indiana,2014,41,76,0.97,0.7372,0.34914364573841
Indiana,2014,42,59,0.9,0.531,0.385514916590728
Indiana,2014,43,65,3.57,2.3205,0.772511933272583
Indiana,2014,44,66,2,1.32,0.882009546618066
Indiana,2014,45,79,2.4,1.896,1.08480763729445
Indiana,2014,46,95,13.42,12.749,3.41764610983556
Indiana,2014,47,176,19.5,34.32,9.59811688786845
Indiana,2014,48,126,35.57,44.8182,16.6421335102948
Indiana,2014,49,342,38.16,130.5072,39.4151468082358
Indiana,2014,50,543,44.26,240.3318,79.5984774465887
Indiana,2014,51,590,45.4,267.86,117.250781957271
Indiana,2014,52,466,39.62,184.6292,130.726465565817
Indiana,2014,53,273,31.51,86.0223,121.785632452653
Indiana,2015,1,239,20.73,49.5447,107.337445962123
Indiana,2015,2,280,10.57,29.596,91.7891567696982
Indiana,2015,3,176,13.4,23.584,78.1481254157586
Indiana,2015,4,150,5.58,8.37,64.1925003326069
Indiana,2015,5,184,6.44,11.8496,53.7239202660855
Indiana,2015,6,180,6.67,12.006,45.3803362128684
Indiana,2015,7,128,8.43,10.7904,38.4623489702947
Indiana,2015,8,117,4.71,5.5107,31.8720191762358
Indiana,2015,9,118,12.7,14.986,28.4948153409886
Indiana,2015,10,155,14.55,22.5525,27.3063522727909
Indiana,2015,11,142,17.53,24.8926,26.8236018182327
Indiana,2015,12,107,14.78,15.8146,24.6218014545862
Indiana,2015,13,115,7.45,8.5675,21.4109411636689
Indiana,2015,14,102,7.14,7.2828,18.5853129309352
Indiana,2015,15,99,11.34,11.2266,17.1135703447481
Indiana,2015,16,67,4.5,3.015,14.2938562757985
Indiana,2015,17,71,11.76,8.3496,13.1050050206388
Indiana,2015,18,44,4.48,1.9712,10.878244016511
Indiana,2015,19,40,0,0,8.70259521320883
Indiana,2015,20,34,1.52,0.5168,7.06543617056707
Indiana,2015,21,29,3.64,1.0556,5.86346893645365
Indiana,2015,22,23,0,0,4.69077514916292
Indiana,2015,23,12,0,0,3.75262011933034
Indiana,2015,24,28,0,0,3.00209609546427
Indiana,2015,25,25,2.56,0.64,2.52967687637142
Indiana,2015,26,19,2.33,0.4427,2.11228150109713
Indiana,2015,27,23,0,0,1.68982520087771
Indiana,2015,28,9,0,0,1.35186016070217
Indiana,2015,29,13,2.08,0.2704,1.13556812856173
Indiana,2015,30,11,4.76,0.5236,1.01317450284939
Indiana,2015,31,17,0,0,0.810539602279509
Indiana,2015,32,21,0,0,0.648431681823607
Indiana,2015,33,31,0,0,0.518745345458886
Indiana,2015,34,35,0,0,0.414996276367109
Indiana,2015,35,29,18.33,5.3157,1.39513702109369
Indiana,2015,36,36,0,0,1.11610961687495
Indiana,2015,37,40,0,0,0.89288769349996
Indiana,2015,38,45,0,0,0.714310154799968
Indiana,2015,39,49,0,0,0.571448123839974
Indiana,2015,40,64,0,0,0.457158499071979
Indiana,2015,41,79,2.08,1.6432,0.694366799257584
Indiana,2015,42,66,0,0,0.555493439406067
Indiana,2015,43,85,0,0,0.444394751524854
Indiana,2015,44,85,0,0,0.355515801219883
Indiana,2015,45,80,0,0,0.284412640975906
