日期,26日平均气温
2013-09-30,17.8275
2013-10-01,18.4125
2013-10-02,19.02875
2013-10-03,19.455
2013-10-04,19.995
2013-10-05,20.4425
2013-10-06,20.28125
2013-10-07,19.49875
2013-10-08,18.9625
2013-10-09,18.33625
2013-10-10,17.68625
2013-10-11,17.00375
2013-10-12,16.39875
2013-10-13,15.79
2013-10-14,15.2625
2013-10-15,15.6525
2013-10-16,15.91
2013-10-17,15.44875
2013-10-18,14.895
2013-10-19,14.0275
2013-10-20,13.03875
2013-10-21,12.32125
2013-10-22,11.4575
2013-10-23,10.225
2013-10-24,8.81125
2013-10-25,7.8725
2013-10-26,7.17875
2013-10-27,6.93125
2013-10-28,6.74
2013-10-29,6.385
2013-10-30,7.15875
2013-10-31,8.5275
2013-11-01,9.565
2013-11-02,10.295
2013-11-03,10.405
2013-11-04,10.53875
2013-11-05,10.94875
2013-11-06,11.45375
2013-11-07,10.59125
2013-11-08,9.09875
2013-11-09,8.58125
2013-11-10,8.4175
2013-11-11,8.31625
2013-11-12,7.395
2013-11-13,5.7475
2013-11-14,4.435
2013-11-15,4.42
2013-11-16,4.95375
2013-11-17,5.8475
2013-11-18,6.0125
2013-11-19,5.675
2013-11-20,5.89625
2013-11-21,7.13125
2013-11-22,7.96375
2013-11-23,7.265
2013-11-24,5.51875
2013-11-25,3.22
2013-11-26,2.04625
2013-11-27,1.2875
2013-11-28,0.50375
2013-11-29,-0.7575
2013-11-30,-1.71625
2013-12-01,-1.2675
2013-12-02,-0.0662500000000003
2013-12-03,1.22
2013-12-04,2.61875
2013-12-05,4.0525
2013-12-06,4.11625
2013-12-07,3.55625
2013-12-08,2.70625
2013-12-09,1.85375
2013-12-10,0.47125
2013-12-11,-1.25375
2013-12-12,-3.8425
2013-12-13,-5.505
2013-12-14,-5.15
2013-12-15,-4.87125
2013-12-16,-4.76
2013-12-17,-4.8675
2013-12-18,-4.53
2013-12-19,-3.2075
2013-12-20,-0.651250000000001
2013-12-21,1.1125
2013-12-22,2.07625
2013-12-23,2.4825
2013-12-24,2.03625
2013-12-25,1.86625
2013-12-26,2.2175
2013-12-27,1.84375
2013-12-28,0.9675
2013-12-29,0.255
2013-12-30,-1.20625
2013-12-31,-1.68625
2014-01-01,-0.8725
2014-01-02,-0.83
2014-01-03,-2.3925
2014-01-04,-3.12875
2014-01-05,-3.565
2014-01-06,-6.135
2014-01-07,-8.19
2014-01-08,-8.8675
2014-01-09,-9.43
2014-01-10,-8.6325
2014-01-11,-6.23875
2014-01-12,-5.4475
2014-01-13,-4.62625
2014-01-14,-2.205
2014-01-15,0.0275
2014-01-16,0.8
2014-01-17,0.98375
2014-01-18,-0.21625
2014-01-19,-1.4
2014-01-20,-1.4
2014-01-21,-3.0225
2014-01-22,-5.1425
2014-01-23,-6.515
2014-01-24,-7.89
2014-01-25,-7.80125
2014-01-26,-7.5875
2014-01-27,-8.17125
2014-01-28,-10.52875
2014-01-29,-11.42875
2014-01-30,-10.47375
2014-01-31,-8.84625
2014-02-01,-6.6375
2014-02-02,-6.19375
2014-02-03,-6.1675
2014-02-04,-5.96
2014-02-05,-4.325
2014-02-06,-3.975
2014-02-07,-5.26875
2014-02-08,-6.685
2014-02-09,-7.78625
2014-02-10,-9.26625
2014-02-11,-10.62
2014-02-12,-11.44
2014-02-13,-11.98875
2014-02-14,-11.07125
2014-02-15,-9.86875
2014-02-16,-9.0125
2014-02-17,-8.84
2014-02-18,-7.01
2014-02-19,-4.34
2014-02-20,-1.8525
2014-02-21,-0.12875
2014-02-22,0.79875
2014-02-23,1.82875
2014-02-24,1.99
2014-02-25,2.17125
2014-02-26,0.90125
2014-02-27,-0.61125
2014-02-28,-2.28875
2014-03-01,-2.7875
2014-03-02,-3.7325
2014-03-03,-5.0075
2014-03-04,-5.64875
2014-03-05,-5.84125
2014-03-06,-5.1725
2014-03-07,-4.14
2014-03-08,-2.81375
2014-03-09,-2.88
2014-03-10,-1.6775
2014-03-11,0.78
2014-03-12,2.535
2014-03-13,2.62875
2014-03-14,3.72
2014-03-15,4.49625
2014-03-16,4.105
2014-03-17,3.78875
2014-03-18,3.385
2014-03-19,3.1925
2014-03-20,3.19
2014-03-21,4.69875
2014-03-22,4.9575
2014-03-23,4.2975
2014-03-24,4.05
2014-03-25,4.2
2014-03-26,3.56875
2014-03-27,3.01125
2014-03-28,3.6225
2014-03-29,3.1625
2014-03-30,2.60125
2014-03-31,3.4325
2014-04-01,5.255
2014-04-02,6.575
2014-04-03,8.32
2014-04-04,9.3025
2014-04-05,8.75125
2014-04-06,9.00625
2014-04-07,9.51875
2014-04-08,9.515
2014-04-09,8.97375
2014-04-10,9.335
2014-04-11,9.68875
2014-04-12,10.09375
2014-04-13,11.8275
2014-04-14,12.95
2014-04-15,12.22125
2014-04-16,11.4575
2014-04-17,11.495
2014-04-18,11.475
2014-04-19,11.13125
2014-04-20,10.92625
2014-04-21,10.525
2014-04-22,10.4425
2014-04-23,11.29
2014-04-24,12.5125
2014-04-25,13.1925
2014-04-26,13.50125
2014-04-27,13.8275
2014-04-28,14.055
2014-04-29,14.09625
2014-04-30,13.8775
2014-05-01,14.02
2014-05-02,13.74625
2014-05-03,13.48625
2014-05-04,13.41875
2014-05-05,13.3675
2014-05-06,13.46
2014-05-07,13.9075
2014-05-08,15.1425
2014-05-09,16.57875
2014-05-10,17.58375
2014-05-11,18.4975
2014-05-12,19.54
2014-05-13,20.56375
2014-05-14,20.405
2014-05-15,19.2775
2014-05-16,17.56375
2014-05-17,15.97625
2014-05-18,15.0825
2014-05-19,14.295
2014-05-20,13.845
2014-05-21,13.83125
2014-05-22,14.53
2014-05-23,15.3775
2014-05-24,16.39875
2014-05-25,17.74
2014-05-26,19.08375
2014-05-27,20.32375
2014-05-28,20.73875
2014-05-29,20.69
2014-05-30,20.885
2014-05-31,21.46125
2014-06-01,22.1675
2014-06-02,22.6575
2014-06-03,22.905
2014-06-04,22.64625
2014-06-05,22.19875
2014-06-06,21.97375
2014-06-07,21.92
2014-06-08,21.70375
2014-06-09,21.275
2014-06-10,20.78875
2014-06-11,20.37875
2014-06-12,20.3175
2014-06-13,20.43875
2014-06-14,20.155
2014-06-15,20.07125
2014-06-16,20.57
2014-06-17,21.42375
2014-06-18,22.31125
2014-06-19,23.02625
2014-06-20,23.48625
2014-06-21,23.9725
2014-06-22,24.82
2014-06-23,25.35
2014-06-24,25.22125
2014-06-25,24.8425
2014-06-26,24.43
2014-06-27,24.2075
2014-06-28,24.1875
2014-06-29,24.22875
2014-06-30,24.2425
2014-07-01,24.405
2014-07-02,24.30375
2014-07-03,23.83125
2014-07-04,23.315
2014-07-05,22.82625
2014-07-06,22.545
2014-07-07,22.6425
2014-07-08,22.58
2014-07-09,22.1175
2014-07-10,21.95875
2014-07-11,22.26625
2014-07-12,22.87
2014-07-13,23.57625
2014-07-14,23.8025
2014-07-15,23.10875
2014-07-16,22.2675
2014-07-17,21.7025
2014-07-18,21.395
2014-07-19,21.07375
2014-07-20,20.80375
2014-07-21,20.4775
2014-07-22,20.6625
2014-07-23,21.32125
2014-07-24,21.68375
2014-07-25,21.86625
2014-07-26,22.3225
2014-07-27,23.00625
2014-07-28,22.88125
2014-07-29,22.22125
2014-07-30,21.53375
2014-07-31,21.095
2014-08-01,21.335
2014-08-02,21.675
2014-08-03,21.6475
2014-08-04,21.4675
2014-08-05,21.7825
2014-08-06,22.4275
2014-08-07,22.7525
2014-08-08,22.7775
2014-08-09,22.78625
2014-08-10,22.92625
2014-08-11,22.9825
2014-08-12,22.69125
2014-08-13,22.20625
2014-08-14,21.91
2014-08-15,21.4825
2014-08-16,21.39375
2014-08-17,21.35125
2014-08-18,21.2675
2014-08-19,21.415
2014-08-20,21.7925
2014-08-21,22.48125
2014-08-22,23.12
2014-08-23,23.9675
2014-08-24,24.55625
2014-08-25,25.0775
2014-08-26,25.44375
2014-08-27,25.565
2014-08-28,25.55125
2014-08-29,25.4975
2014-08-30,25.36
2014-08-31,25.02625
2014-09-01,24.90375
2014-09-02,24.555
2014-09-03,24.1575
2014-09-04,24.02625
2014-09-05,24.26125
2014-09-06,23.97625
2014-09-07,23.245
2014-09-08,22.74875
2014-09-09,22.28375
2014-09-10,22.2125
2014-09-11,21.82125
2014-09-12,20.70375
2014-09-13,19.1575
2014-09-14,18.04375
2014-09-15,17.5325
2014-09-16,17.065
2014-09-17,16.345
2014-09-18,15.4925
2014-09-19,15.1725
2014-09-20,15.73625
2014-09-21,16.62125
2014-09-22,16.72125
2014-09-23,16.6275
2014-09-24,16.745
2014-09-25,17.11875
2014-09-26,17.5275
2014-09-27,17.92625
2014-09-28,18.00625
2014-09-29,17.9925
2014-09-30,18.53375
2014-10-01,18.94
2014-10-02,19.48875
2014-10-03,19.68375
2014-10-04,18.32125
2014-10-05,17.005
2014-10-06,16.09375
2014-10-07,15.25125
2014-10-08,14.7575
2014-10-09,14.225
2014-10-10,13.11625
2014-10-11,12.06
2014-10-12,12.54
2014-10-13,13.6775
2014-10-14,14.36625
2014-10-15,14.30875
2014-10-16,14.0825
2014-10-17,14.215
2014-10-18,14.1975
2014-10-19,13.9625
2014-10-20,13.91375
2014-10-21,13.00625
2014-10-22,11.82875
2014-10-23,11.29375
2014-10-24,11.07875
2014-10-25,11.16625
2014-10-26,11.47375
2014-10-27,12.45375
2014-10-28,13.275
2014-10-29,13.17375
2014-10-30,12.95875
2014-10-31,12.60125
2014-11-01,11.51625
2014-11-02,9.9225
2014-11-03,9.16875
2014-11-04,8.4975
2014-11-05,7.4375
2014-11-06,7.1775
2014-11-07,6.8275
2014-11-08,6.78375
2014-11-09,7.20125
2014-11-10,8.02875
2014-11-11,8.4225
2014-11-12,7.20875
2014-11-13,5.75125
2014-11-14,4.295
2014-11-15,3.36
2014-11-16,2.56125
2014-11-17,1.4425
2014-11-18,-0.73125
2014-11-19,-2.74125
2014-11-20,-3.4125
2014-11-21,-3.71625
2014-11-22,-2.80375
2014-11-23,-1.25375
2014-11-24,-0.0037499999999997
2014-11-25,0.5725
2014-11-26,1.46625
2014-11-27,1.86375
2014-11-28,1.98375
2014-11-29,2.975
2014-11-30,4.11125
2014-12-01,3.37625
2014-12-02,2.12875
2014-12-03,2.13625
2014-12-04,2.2775
2014-12-05,2.905
2014-12-06,3.88
2014-12-07,3.60375
2014-12-08,2.31875
2014-12-09,2.27
2014-12-10,2.53375
2014-12-11,2.30625
2014-12-12,2.20375
2014-12-13,2.05375
2014-12-14,2.0725
2014-12-15,2.67125
2014-12-16,3.1475
2014-12-17,2.67625
2014-12-18,2.13125
2014-12-19,1.9
2014-12-20,1.88625
2014-12-21,1.4425
2014-12-22,1.00875
2014-12-23,1.32375
2014-12-24,1.34375
2014-12-25,1.7975
2014-12-26,2.6675
2014-12-27,3.8625
2014-12-28,4.28125
2014-12-29,4.27
2014-12-30,3.7
2014-12-31,1.7925
