REGION,YEAR,WEEK,ILITOTAL
Ohio,2013,40,57
Ohio,2013,41,96
Ohio,2013,42,78
Ohio,2013,43,87
Ohio,2013,44,93
Ohio,2013,45,98
Ohio,2013,46,118
Ohio,2013,47,110
Ohio,2013,48,103
Ohio,2013,49,113
Ohio,2013,50,122
Ohio,2013,51,136
Ohio,2013,52,182
Ohio,2014,1,239
Ohio,2014,2,243
Ohio,2014,3,298
Ohio,2014,4,264
Ohio,2014,5,250
Ohio,2014,6,176
Ohio,2014,7,209
Ohio,2014,8,154
Ohio,2014,9,186
Ohio,2014,10,161
Ohio,2014,11,121
Ohio,2014,12,109
Ohio,2014,13,111
Ohio,2014,14,107
Ohio,2014,15,119
Ohio,2014,16,82
Ohio,2014,17,83
Ohio,2014,18,79
Ohio,2014,19,54
Ohio,2014,20,28
Ohio,2014,21,36
Ohio,2014,22,32
Ohio,2014,23,39
Ohio,2014,24,22
Ohio,2014,25,21
Ohio,2014,26,23
Ohio,2014,27,23
Ohio,2014,28,19
Ohio,2014,29,18
Ohio,2014,30,27
Ohio,2014,31,26
Ohio,2014,32,20
Ohio,2014,33,20
Ohio,2014,34,18
Ohio,2014,35,25
Ohio,2014,36,34
Ohio,2014,37,46
Ohio,2014,38,48
Ohio,2014,39,18
Ohio,2014,40,56
Ohio,2014,41,87
Ohio,2014,42,80
Ohio,2014,43,103
Ohio,2014,44,87
Ohio,2014,45,95
Ohio,2014,46,102
Ohio,2014,47,73
Ohio,2014,48,68
Ohio,2014,49,177
Ohio,2014,50,354
Ohio,2014,51,546
Ohio,2014,52,835
Ohio,2014,53,593
Ohio,2015,1,480
Ohio,2015,2,391
Ohio,2015,3,271
Ohio,2015,4,228
Ohio,2015,5,182
Ohio,2015,6,220
Ohio,2015,7,192
Ohio,2015,8,163
Ohio,2015,9,139
Ohio,2015,10,126
Ohio,2015,11,118
Ohio,2015,12,161
Ohio,2015,13,140
Ohio,2015,14,95
Ohio,2015,15,71
Ohio,2015,16,57
Ohio,2015,17,70
Ohio,2015,18,64
Ohio,2015,19,48
Ohio,2015,20,42
Ohio,2015,21,37
Ohio,2015,22,27
Ohio,2015,23,42
Ohio,2015,24,32
Ohio,2015,25,31
Ohio,2015,26,21
Ohio,2015,27,26
Ohio,2015,28,25
Ohio,2015,29,27
Ohio,2015,30,42
Ohio,2015,31,25
Ohio,2015,32,29
Ohio,2015,33,37
Ohio,2015,34,33
Ohio,2015,35,30
Ohio,2015,36,27
Ohio,2015,37,27
Ohio,2015,38,52
Ohio,2015,39,53
Ohio,2015,40,97
Ohio,2015,41,123
Ohio,2015,42,115
Ohio,2015,43,109
Ohio,2015,44,136
Ohio,2015,45,178
Ohio,2015,46,130
Ohio,2015,47,97
Ohio,2015,48,125
Ohio,2015,49,175
Ohio,2015,50,133
Ohio,2015,51,110
Ohio,2015,52,113
Ohio,2016,1,151
Ohio,2016,2,147
Ohio,2016,3,123
Ohio,2016,4,155
Ohio,2016,5,173
Ohio,2016,6,203
Ohio,2016,7,251
Ohio,2016,8,335
Ohio,2016,9,312
Ohio,2016,10,470
Ohio,2016,11,344
Ohio,2016,12,332
Ohio,2016,13,250
Ohio,2016,14,204
Ohio,2016,15,153
Ohio,2016,16,168
Ohio,2016,17,132
Ohio,2016,18,108
Ohio,2016,19,84
Ohio,2016,20,77
Ohio,2016,21,52
Ohio,2016,22,42
Ohio,2016,23,49
Ohio,2016,24,51
Ohio,2016,25,40
Ohio,2016,26,42
Ohio,2016,27,34
Ohio,2016,28,40
Ohio,2016,29,30
Ohio,2016,30,35
Ohio,2016,31,46
Ohio,2016,32,41
Ohio,2016,33,45
Ohio,2016,34,61
Ohio,2016,35,54
Ohio,2016,36,61
Ohio,2016,37,66
Ohio,2016,38,70
Ohio,2016,39,88
Ohio,2016,40,122
Ohio,2016,41,125
Ohio,2016,42,121
Ohio,2016,43,145
Ohio,2016,44,161
Ohio,2016,45,139
Ohio,2016,46,149
Ohio,2016,47,104
Ohio,2016,48,193
Ohio,2016,49,201
Ohio,2016,50,233
Ohio,2016,51,201
Ohio,2016,52,228
Ohio,2017,1,225
Ohio,2017,2,272
Ohio,2017,3,358
Ohio,2017,4,431
Ohio,2017,5,533
Ohio,2017,6,659
Ohio,2017,7,694
Ohio,2017,8,798
Ohio,2017,9,494
Ohio,2017,10,435
Ohio,2017,11,401
Ohio,2017,12,435
Ohio,2017,13,322
Ohio,2017,14,248
Ohio,2017,15,216
Ohio,2017,16,178
Ohio,2017,17,145
Ohio,2017,18,114
Ohio,2017,19,119
Ohio,2017,20,82
Ohio,2017,21,71
Ohio,2017,22,61
Ohio,2017,23,74
Ohio,2017,24,62
Ohio,2017,25,56
Ohio,2017,26,45
Ohio,2017,27,32
Ohio,2017,28,52
Ohio,2017,29,46
Ohio,2017,30,45
Ohio,2017,31,47
Ohio,2017,32,47
Ohio,2017,33,43
Ohio,2017,34,50
Ohio,2017,35,83
Ohio,2017,36,73
Ohio,2017,37,86
Ohio,2017,38,106
Ohio,2017,39,117
Ohio,2017,40,93
Ohio,2017,41,129
Ohio,2017,42,138
Ohio,2017,43,152
Ohio,2017,44,161
Ohio,2017,45,186
Ohio,2017,46,201
Ohio,2017,47,147
Ohio,2017,48,237
Ohio,2017,49,289
Ohio,2017,50,262
Ohio,2017,51,363
Ohio,2017,52,474
Ohio,2018,1,470
Ohio,2018,2,615
Ohio,2018,3,698
Ohio,2018,4,882
Ohio,2018,5,1009
Ohio,2018,6,1098
Ohio,2018,7,816
Ohio,2018,8,652
Ohio,2018,9,368
Ohio,2018,10,347
Ohio,2018,11,301
Ohio,2018,12,278
