,Avg,
2013/1/1,30.6,-0.777777778
2013/1/2,19.2,-7.111111111
2013/1/3,21.9,-5.611111111
2013/1/4,28.9,-1.722222222
2013/1/5,28.3,-2.055555556
2013/1/6,33.7,0.944444444
2013/1/7,30.8,-0.666666667
2013/1/8,33.3,0.722222222
2013/1/9,39.8,4.333333333
2013/1/10,35.2,1.777777778
2013/1/11,52.6,11.44444444
2013/1/12,58.5,14.72222222
2013/1/13,57,13.88888889
2013/1/14,31.7,-0.166666667
2013/1/15,29,-1.666666667
2013/1/16,33.5,0.833333333
2013/1/17,34.5,1.388888889
2013/1/18,28.1,-2.166666667
2013/1/19,43.2,6.222222222
2013/1/20,33.1,0.611111111
2013/1/21,20.9,-6.166666667
2013/1/22,11.4,-11.44444444
2013/1/23,16.7,-8.5
2013/1/24,18.2,-7.666666667
2013/1/25,19.6,-6.888888889
2013/1/26,25.9,-3.388888889
2013/1/27,25.9,-3.388888889
2013/1/28,42.8,6
2013/1/29,55.4,13
2013/1/30,54.9,12.72222222
2013/1/31,26.9,-2.833333333
2013/2/1,14.1,-9.944444444
2013/2/2,21.6,-5.777777778
2013/2/3,22.9,-5.055555556
2013/2/4,24.7,-4.055555556
2013/2/5,29.4,-1.444444444
2013/2/6,31.5,-0.277777778
2013/2/7,37.2,2.888888889
2013/2/8,36.6,2.555555556
2013/2/9,28.5,-1.944444444
2013/2/10,39.3,4.055555556
2013/2/11,46.6,8.111111111
2013/2/12,38.3,3.5
2013/2/13,31.1,-0.5
2013/2/14,35.6,2
2013/2/15,33,0.555555556
2013/2/16,25.3,-3.722222222
2013/2/17,19.2,-7.111111111
2013/2/18,35.5,1.944444444
2013/2/19,33.1,0.611111111
2013/2/20,20.7,-6.277777778
2013/2/21,24.1,-4.388888889
2013/2/22,34,1.111111111
2013/2/23,36.7,2.611111111
2013/2/24,30.9,-0.611111111
2013/2/25,35,1.666666667
2013/2/26,40,4.444444444
2013/2/27,38.7,3.722222222
2013/2/28,34.8,1.555555556
2013/3/1,31.9,-0.055555556
2013/3/2,27.8,-2.333333333
2013/3/3,26.7,-2.944444444
2013/3/4,30.3,-0.944444444
2013/3/5,35.5,1.944444444
2013/3/6,35,1.666666667
2013/3/7,35.9,2.166666667
2013/3/8,37.6,3.111111111
2013/3/9,42.6,5.888888889
2013/3/10,58.6,14.77777778
2013/3/11,51.2,10.66666667
2013/3/12,37.4,3
2013/3/13,31.4,-0.333333333
2013/3/14,32.6,0.333333333
2013/3/15,39.8,4.333333333
2013/3/16,42.7,5.944444444
2013/3/17,35,1.666666667
2013/3/18,41.7,5.388888889
2013/3/19,36.5,2.5
2013/3/20,31.7,-0.166666667
2013/3/21,25,-3.888888889
2013/3/22,32.3,0.166666667
2013/3/23,36.1,2.277777778
2013/3/24,34.7,1.5
2013/3/25,33.2,0.666666667
2013/3/26,36.5,2.5
2013/3/27,37.8,3.222222222
2013/3/28,40.2,4.555555556
2013/3/29,41.8,5.444444444
2013/3/30,44,6.666666667
2013/3/31,48.5,9.166666667
2013/4/1,41.4,5.222222222
2013/4/2,35.3,1.833333333
2013/4/3,36.4,2.444444444
2013/4/4,40.9,4.944444444
2013/4/5,44.4,6.888888889
2013/4/6,47,8.333333333
2013/4/7,64.1,17.83333333
2013/4/8,63.4,17.44444444
2013/4/9,69.3,20.72222222
2013/4/10,71,21.66666667
2013/4/11,61.8,16.55555556
2013/4/12,50.2,10.11111111
2013/4/13,45.9,7.722222222
2013/4/14,51.5,10.83333333
2013/4/15,62.4,16.88888889
2013/4/16,64.3,17.94444444
2013/4/17,59.5,15.27777778
2013/4/18,72.8,22.66666667
2013/4/19,53.4,11.88888889
2013/4/20,40.7,4.833333333
2013/4/21,43.6,6.444444444
2013/4/22,55,12.77777778
2013/4/23,61.2,16.22222222
2013/4/24,52.8,11.55555556
2013/4/25,45.5,7.5
2013/4/26,48.8,9.333333333
2013/4/27,57.6,14.22222222
2013/4/28,58.2,14.55555556
2013/4/29,58.9,14.94444444
2013/4/30,63.5,17.5
2013/5/1,69.7,20.94444444
2013/5/2,67.9,19.94444444
2013/5/3,68.6,20.33333333
2013/5/4,63.8,17.66666667
2013/5/5,64.1,17.83333333
2013/5/6,62,16.66666667
2013/5/7,63,17.22222222
2013/5/8,63.9,17.72222222
2013/5/9,67.8,19.88888889
2013/5/10,64.6,18.11111111
2013/5/11,55.3,12.94444444
2013/5/12,47.3,8.5
2013/5/13,48.3,9.055555556
2013/5/14,59.7,15.38888889
2013/5/15,77.5,25.27777778
2013/5/16,70.8,21.55555556
2013/5/17,67.2,19.55555556
2013/5/18,70.9,21.61111111
2013/5/19,72.7,22.61111111
2013/5/20,75.1,23.94444444
2013/5/21,78.1,25.61111111
2013/5/22,73.2,22.88888889
2013/5/23,63.6,17.55555556
2013/5/24,50.7,10.38888889
2013/5/25,53.2,11.77777778
2013/5/26,57.6,14.22222222
2013/5/27,60,15.55555556
2013/5/28,75.3,24.05555556
2013/5/29,78.8,26
2013/5/30,78.9,26.05555556
2013/5/31,76,24.44444444
2013/6/1,76.5,24.72222222
2013/6/2,71.3,21.83333333
2013/6/3,62.5,16.94444444
2013/6/4,63.8,17.66666667
2013/6/5,70.8,21.55555556
2013/6/6,66.6,19.22222222
2013/6/7,61.7,16.5
2013/6/8,64.5,18.05555556
2013/6/9,74.2,23.44444444
2013/6/10,70.1,21.16666667
2013/6/11,72.7,22.61111111
2013/6/12,80,26.66666667
2013/6/13,70.9,21.61111111
2013/6/14,69.3,20.72222222
2013/6/15,69.6,20.88888889
2013/6/16,73.4,23
2013/6/17,74,23.33333333
2013/6/18,73.2,22.88888889
2013/6/19,68.4,20.22222222
2013/6/20,72.3,22.38888889
2013/6/21,76.2,24.55555556
2013/6/22,79.5,26.38888889
2013/6/23,79.6,26.44444444
2013/6/24,78.8,26
2013/6/25,81.6,27.55555556
2013/6/26,74.5,23.61111111
2013/6/27,73.3,22.94444444
2013/6/28,75.4,24.11111111
2013/6/29,69,20.55555556
2013/6/30,70.6,21.44444444
2013/7/1,72.4,22.44444444
2013/7/2,74.4,23.55555556
2013/7/3,77.2,25.11111111
2013/7/4,73.4,23
2013/7/5,71.2,21.77777778
2013/7/6,75.4,24.11111111
2013/7/7,72.6,22.55555556
2013/7/8,71,21.66666667
