REGION,YEAR,WEEK,ILITOTAL
South Dakota,2013,40,40
South Dakota,2013,41,53
South Dakota,2013,42,33
South Dakota,2013,43,33
South Dakota,2013,44,39
South Dakota,2013,45,48
South Dakota,2013,46,64
South Dakota,2013,47,54
South Dakota,2013,48,61
South Dakota,2013,49,66
South Dakota,2013,50,62
South Dakota,2013,51,86
South Dakota,2013,52,86
South Dakota,2014,1,109
South Dakota,2014,2,131
South Dakota,2014,3,104
South Dakota,2014,4,112
South Dakota,2014,5,129
South Dakota,2014,6,113
South Dakota,2014,7,110
South Dakota,2014,8,112
South Dakota,2014,9,93
South Dakota,2014,10,123
South Dakota,2014,11,60
South Dakota,2014,12,48
South Dakota,2014,13,58
South Dakota,2014,14,45
South Dakota,2014,15,49
South Dakota,2014,16,44
South Dakota,2014,17,52
South Dakota,2014,18,49
South Dakota,2014,19,77
South Dakota,2014,20,55
South Dakota,2014,21,42
South Dakota,2014,22,33
South Dakota,2014,23,20
South Dakota,2014,24,30
South Dakota,2014,25,23
South Dakota,2014,26,37
South Dakota,2014,27,13
South Dakota,2014,28,24
South Dakota,2014,29,22
South Dakota,2014,30,34
South Dakota,2014,31,29
South Dakota,2014,32,32
South Dakota,2014,33,31
South Dakota,2014,34,35
South Dakota,2014,35,34
South Dakota,2014,36,33
South Dakota,2014,37,37
South Dakota,2014,38,31
South Dakota,2014,39,26
South Dakota,2014,40,47
South Dakota,2014,41,45
South Dakota,2014,42,51
South Dakota,2014,43,63
South Dakota,2014,44,38
South Dakota,2014,45,52
South Dakota,2014,46,44
South Dakota,2014,47,63
South Dakota,2014,48,44
South Dakota,2014,49,51
South Dakota,2014,50,81
South Dakota,2014,51,104
South Dakota,2014,52,120
South Dakota,2014,53,161
South Dakota,2015,1,155
South Dakota,2015,2,215
South Dakota,2015,3,202
South Dakota,2015,4,151
South Dakota,2015,5,141
South Dakota,2015,6,148
South Dakota,2015,7,121
South Dakota,2015,8,127
South Dakota,2015,9,112
South Dakota,2015,10,98
South Dakota,2015,11,83
South Dakota,2015,12,101
South Dakota,2015,13,102
South Dakota,2015,14,76
South Dakota,2015,15,76
South Dakota,2015,16,72
South Dakota,2015,17,65
South Dakota,2015,18,33
South Dakota,2015,19,29
South Dakota,2015,20,38
South Dakota,2015,21,29
South Dakota,2015,22,39
South Dakota,2015,23,31
South Dakota,2015,24,21
South Dakota,2015,25,30
South Dakota,2015,26,45
South Dakota,2015,27,31
