"","x"
"-22",1.28347788544782
"-21",1.27864419012796
"-20",1.2738065842624
"-19",1.26894437952359
"-18",1.26403720787418
"-17",1.25906502717941
"-16",1.2540081300325
"-15",1.24884715569604
"-14",1.24356310505763
"-13",1.23813735849215
"-12",1.23255169651578
"-11",1.22678832310848
"-10",1.22082989157198
"-9",1.21465953278025
"-8",1.2082608856674
"-7",1.20161812978628
"-6",1.19471601975792
"-5",1.18753992141843
"-4",1.1800758494565
"-3",1.17231050632007
"-2",1.1642313221569
"-1",1.15582649553961
"0",1.14708503471153
"1",1.13799679907686
"2",1.12855254064517
"3",1.11874394512883
"4",1.10856367238059
"5",1.09800539584907
"6",1.08706384072164
"7",1.07573482342619
"8",1.06401824712044
"9",1.05192346419152
"10",1.03946195418724
"11",1.02664574791784
"12",1.01348740669198
"13",1
"14",0.986197081696548
"15",0.972092664740849
"16",0.957701194559542
"17",0.943037521103017
"18",0.928116869672265
"19",0.912954810598984
"20",0.897567227867127
"21",0.881976006148538
"22",0.866234301122498
"23",0.850403483951636
"24",0.83454154528629
"25",0.818703033229318
"26",0.80293903866572
"27",0.787297213332352
"28",0.771821817358061
"29",0.756553793043688
"30",0.741530861735949
